"LateScoringAverage_RANKTHISWEEK_2016","LateScoringAverage_RANKLASTWEEK_2016","LateScoringAverage_PLAYERNAME_2016","LateScoringAverage_ROUNDS_2016","LateScoringAverage_AVG_2016","LateScoringAverage_TOTALSTROKES_2016","LateScoringAverage_TOTALLATEROUNDS_2016","stat_name","year"
153,154,"Brendon de Jonge",55,71.78,1651,23,"LateScoringAverage",2016
154,159,"Chesson Hadley",51,71.79,2010,28,"LateScoringAverage",2016
154,148,"Kelly Kraft",35,71.79,1364,19,"LateScoringAverage",2016
156,154,"Carlos Ortiz",47,71.8,1436,20,"LateScoringAverage",2016
157,168,"Michael Kim",62,71.81,1867,26,"LateScoringAverage",2016
158,165,"Bernd Wiesberger",23,71.83,862,12,"LateScoringAverage",2016
159,153,"Cameron Smith",45,71.84,1365,19,"LateScoringAverage",2016
160,166,"Pat Perez",28,71.85,934,13,"LateScoringAverage",2016
161,151,"Jamie Donaldson",28,71.86,1006,14,"LateScoringAverage",2016
162,158,"Ian Poulter",37,71.87,1078,15,"LateScoringAverage",2016
163,169,"Billy Horschel",45,71.89,1366,19,"LateScoringAverage",2016
164,170,"Andrew Landry",24,71.9,719,10,"LateScoringAverage",2016
165,166,"Johnson Wagner",44,71.91,1582,22,"LateScoringAverage",2016
166,161,"Tom Hoge",47,71.92,1726,24,"LateScoringAverage",2016
167,160,"JJ Henry",44,71.94,1223,17,"LateScoringAverage",2016
168,164,"Chad Collins",45,72,1296,18,"LateScoringAverage",2016
168,171,"Billy Hurley III",22,72,792,11,"LateScoringAverage",2016
168,171,"Cameron Percy",22,72,792,11,"LateScoringAverage",2016
168,171,"DJ Trahan",23,72,864,12,"LateScoringAverage",2016
172,156,"Brian Stuard",24,72.09,793,11,"LateScoringAverage",2016
173,175,"Steve Marino",40,72.16,1371,19,"LateScoringAverage",2016
174,178,"Keegan Bradley",40,72.17,1299,18,"LateScoringAverage",2016
174,171,"Mark Wilson",42,72.17,1299,18,"LateScoringAverage",2016
176,177,"Brendon Todd",43,72.18,1588,22,"LateScoringAverage",2016
177,163,"Emiliano Grillo",47,72.19,1155,16,"LateScoringAverage",2016
177,180,"Troy Merritt",41,72.19,1516,21,"LateScoringAverage",2016
179,184,"Rory Sabbatini",40,72.25,1156,16,"LateScoringAverage",2016
180,186,"Louis Oosthuizen",25,72.27,795,11,"LateScoringAverage",2016
181,179,"Erik Compton",45,72.28,1301,18,"LateScoringAverage",2016
182,181,"Sam Saunders",40,72.29,1518,21,"LateScoringAverage",2016
183,189,"Ken Duke",26,72.33,868,12,"LateScoringAverage",2016
183,190,"Robert Garrigus",34,72.33,868,12,"LateScoringAverage",2016
185,184,"Shane Lowry",35,72.35,1230,17,"LateScoringAverage",2016
186,190,"Darron Stiles",28,72.36,796,11,"LateScoringAverage",2016
187,192,"Miguel Angel Carballo",24,72.38,941,13,"LateScoringAverage",2016
188,175,"Shawn Stefani",45,72.4,1448,20,"LateScoringAverage",2016
189,193,"Ollie Schniederjans",23,72.44,652,9,"LateScoringAverage",2016
190,181,"Justin Hicks",26,72.45,797,11,"LateScoringAverage",2016
191,186,"Matt Every",34,72.5,1160,16,"LateScoringAverage",2016
192,195,"Rhein Gibson",36,72.6,1452,20,"LateScoringAverage",2016
192,194,"Matt Jones",45,72.6,1452,20,"LateScoringAverage",2016
194,196,"Abraham Ancer",26,72.67,872,12,"LateScoringAverage",2016
195,188,"Anirban Lahiri",44,72.68,1381,19,"LateScoringAverage",2016
196,199,"Brian Gay",22,72.78,655,9,"LateScoringAverage",2016
197,200,"Dicky Pride",33,72.79,1019,14,"LateScoringAverage",2016
198,181,"Ernie Els",34,72.83,874,12,"LateScoringAverage",2016
198,201,"Carl Pettersson",31,72.83,1311,18,"LateScoringAverage",2016
200,201,"George McNeill",33,72.84,1384,19,"LateScoringAverage",2016
201,203,"Angel Cabrera",42,72.94,1313,18,"LateScoringAverage",2016
202,198,"Robert Allenby",35,73,1314,18,"LateScoringAverage",2016
202,197,"Geoff Ogilvy",37,73,1241,17,"LateScoringAverage",2016
204,204,"Steven Bowditch",40,73.15,1463,20,"LateScoringAverage",2016
205,205,"Lucas Lee",22,73.29,1026,14,"LateScoringAverage",2016
206,207,"DH Lee",35,74.53,1118,15,"LateScoringAverage",2016
207,208,"Charlie Beljan",26,74.82,823,11,"LateScoringAverage",2016
