"ProximitytoHole_RANKTHISWEEK_2006","ProximitytoHole_RANKLASTWEEK_2006","ProximitytoHole_PLAYERNAME_2006","ProximitytoHole_ROUNDS_2006","ProximitytoHole_AVG_2006","ProximitytoHole_TOTALDISTANCEFEET_2006","ProximitytoHole_OFATTEMPTS_2006","ProximitytoHole_GIRRANK_2006","stat_name","year"
104,104,"David Howell",52,NA,19297.667,536,152,"ProximitytoHole",2006
104,104,"Ian Leggatt",80,NA,44939.75,1249,151,"ProximitytoHole",2006
104,104,"Larry Mize",53,NA,26380,733,132,"ProximitytoHole",2006
108,108,"Dudley Hart",83,NA,45987.5,1275,141,"ProximitytoHole",2006
108,108,"Tom Lehman",70,NA,30444.917,844,81,"ProximitytoHole",2006
108,108,"David McKenzie",82,NA,44631,1237,86,"ProximitytoHole",2006
111,111,"Mark Calcavecchia",94,NA,51064.333,1413,177,"ProximitytoHole",2006
111,111,"JB Holmes",81,NA,40671.667,1124,101,"ProximitytoHole",2006
111,111,"Brandt Jobe",91,NA,45269,1253,42,"ProximitytoHole",2006
111,111,"Billy Mayfair",94,NA,49903.583,1381,55,"ProximitytoHole",2006
