"ScramblingAverageDistancetoHole_RANKTHISWEEK_2007","ScramblingAverageDistancetoHole_RANKLASTWEEK_2007","ScramblingAverageDistancetoHole_PLAYERNAME_2007","ScramblingAverageDistancetoHole_ROUNDS_2007","ScramblingAverageDistancetoHole_AVGDTP_2007","ScramblingAverageDistancetoHole_TOTALDISTANCEFEET_2007","ScramblingAverageDistancetoHole_ATTEMPTS_2007","stat_name","year"
161,161,"Will Ma Kenzie",100,NA,4701.667,495,"ScramblingAverageDistancetoHole",2007
161,161,"Daisuke Maruyama",86,NA,4029.917,426,"ScramblingAverageDistancetoHole",2007
161,161,"Troy Matteson",87,NA,4110.583,433,"ScramblingAverageDistancetoHole",2007
161,161,"Jim Rutledge",59,NA,2422.917,255,"ScramblingAverageDistancetoHole",2007
167,167,"Michael Allen",74,NA,3189.667,333,"ScramblingAverageDistancetoHole",2007
167,167,"Chad Campbell",96,NA,3727.917,389,"ScramblingAverageDistancetoHole",2007
167,167,"Jesper Parnevik",88,NA,3715.667,389,"ScramblingAverageDistancetoHole",2007
170,170,"Chris Couch",76,NA,3900.833,405,"ScramblingAverageDistancetoHole",2007
170,170,"Ben Curtis",80,NA,3861.833,401,"ScramblingAverageDistancetoHole",2007
170,170,"John Daly",59,NA,2611.667,271,"ScramblingAverageDistancetoHole",2007
170,170,"Greg Owen",81,NA,3334.333,346,"ScramblingAverageDistancetoHole",2007
174,174,"Rich Barcelo",80,NA,3827.917,393,"ScramblingAverageDistancetoHole",2007
174,174,"Brian Bateman",55,NA,2470.667,253,"ScramblingAverageDistancetoHole",2007
174,174,"Kevin Stadler",95,NA,4116.333,421,"ScramblingAverageDistancetoHole",2007
177,177,"Ryan Armour",107,NA,4922.25,499,"ScramblingAverageDistancetoHole",2007
177,177,"Rich Beem",89,NA,3601.667,365,"ScramblingAverageDistancetoHole",2007
177,177,"Charley Hoffman",97,NA,4560.583,462,"ScramblingAverageDistancetoHole",2007
180,180,"Robert Allenby",90,NA,3602.75,362,"ScramblingAverageDistancetoHole",2007
180,180,"Kyle Reifers",71,NA,3380.75,340,"ScramblingAverageDistancetoHole",2007
180,180,"Chris Tidland",59,NA,2838.167,286,"ScramblingAverageDistancetoHole",2007
183,183,"Robert Gamez",88,NA,4000.667,401,"ScramblingAverageDistancetoHole",2007
183,183,"Robert Garrigus",95,NA,4433.167,442,"ScramblingAverageDistancetoHole",2007
183,183,"Mathias Gronberg",95,NA,5084.583,510,"ScramblingAverageDistancetoHole",2007
183,183,"Ryan Palmer",91,NA,4356,435,"ScramblingAverageDistancetoHole",2007
183,183,"Duffy Waldorf",69,NA,3121.583,312,"ScramblingAverageDistancetoHole",2007
188,188,"Michael Putnam",96,NA,3961.5,393,"ScramblingAverageDistancetoHole",2007
189,189,"Hunter Mahan",91,NA,3734.833,367,"ScramblingAverageDistancetoHole",2007
190,190,"Frank Lickliter II",95,NA,4625.583,453,"ScramblingAverageDistancetoHole",2007
191,191,"David Branshaw",83,NA,4377.833,421,"ScramblingAverageDistancetoHole",2007
192,192,"Tom Byrum",50,NA,2334.583,222,"ScramblingAverageDistancetoHole",2007
192,192,"Scott Gutschewski",67,NA,3661.917,348,"ScramblingAverageDistancetoHole",2007
192,192,"Steve Wheatcroft",73,NA,3693.417,351,"ScramblingAverageDistancetoHole",2007
195,195,"Todd Hamilton",76,NA,3965.167,366,"ScramblingAverageDistancetoHole",2007
196,196,"Matt Hendrix",63,NA,3334.833,300,"ScramblingAverageDistancetoHole",2007
