"DrivingAccuracyPercentage_RANKTHISWEEK_2005","DrivingAccuracyPercentage_RANKLASTWEEK_2005","DrivingAccuracyPercentage_PLAYERNAME_2005","DrivingAccuracyPercentage_ROUNDS_2005","DrivingAccuracyPercentage_Pct_2005","DrivingAccuracyPercentage_FAIRWAYSHIT_2005","DrivingAccuracyPercentage_POSSIBLEFAIRWAYS_2005","stat_name","year"
176,176,"Freddie Jacobson",72,57.4,574,1000,"DrivingAccuracyPercentage",2005
176,176,"Adam Scott",72,57.4,551,960,"DrivingAccuracyPercentage",2005
178,178,"Brandt Jobe",96,57.29,735,1283,"DrivingAccuracyPercentage",2005
179,179,"Tim Petrovic",97,57.26,745,1301,"DrivingAccuracyPercentage",2005
180,180,"Thomas Levet",54,56.88,426,749,"DrivingAccuracyPercentage",2005
181,181,"Andrew Magee",82,56.76,617,1087,"DrivingAccuracyPercentage",2005
182,182,"Brett Wetterich",76,56.64,584,1031,"DrivingAccuracyPercentage",2005
183,183,"Ben Crane",78,56.63,581,1026,"DrivingAccuracyPercentage",2005
184,184,"Lee Janzen",75,56.61,574,1014,"DrivingAccuracyPercentage",2005
185,185,"Brendan Jones",81,55.84,617,1105,"DrivingAccuracyPercentage",2005
186,186,"Rory Sabbatini",81,55.63,608,1093,"DrivingAccuracyPercentage",2005
187,187,"Daniel Chopra",108,55.52,805,1450,"DrivingAccuracyPercentage",2005
188,188,"Dennis Paulson",63,54.62,479,877,"DrivingAccuracyPercentage",2005
189,189,"Padraig Harrington",50,54.61,367,672,"DrivingAccuracyPercentage",2005
189,189,"Tag Ridings",93,54.61,693,1269,"DrivingAccuracyPercentage",2005
191,191,"Tiger Woods",76,54.58,572,1048,"DrivingAccuracyPercentage",2005
192,192,"Michael Allen",90,54.18,681,1257,"DrivingAccuracyPercentage",2005
193,193,"Craig Perks",67,53.91,489,907,"DrivingAccuracyPercentage",2005
194,194,"Aaron Baddeley",84,53.32,610,1144,"DrivingAccuracyPercentage",2005
195,195,"James Driscoll",73,53.09,524,987,"DrivingAccuracyPercentage",2005
196,196,"John Elliott",58,52.89,412,779,"DrivingAccuracyPercentage",2005
197,197,"Steve Stricker",62,52.25,452,865,"DrivingAccuracyPercentage",2005
198,198,"Brenden Pappas",51,50.63,361,713,"DrivingAccuracyPercentage",2005
199,199,"Hank Kuehne",84,49.87,557,1117,"DrivingAccuracyPercentage",2005
200,200,"John Daly",78,49.35,529,1072,"DrivingAccuracyPercentage",2005
201,201,"Jason Allred",75,47.1,479,1017,"DrivingAccuracyPercentage",2005
202,202,"Scott Hend",75,45.36,464,1023,"DrivingAccuracyPercentage",2005
