"MissedFairwayPercentOther_RANKTHISWEEK_2012","MissedFairwayPercentOther_RANKLASTWEEK_2012","MissedFairwayPercentOther_PLAYERNAME_2012","MissedFairwayPercentOther_ROUNDS_2012","MissedFairwayPercentOther_Pct_2012","MissedFairwayPercentOther_TOTALMISSED_2012","MissedFairwayPercentOther_TOTALFWYS_2012","MissedFairwayPercentOther_RELATIVETOPAR_2012","stat_name","year"
160,160,"Charley Hoffman",88,3.9,41,1052,0.49,"MissedFairwayPercentOther",2012
161,161,"Carl Pettersson",92,3.96,44,1110,0.64,"MissedFairwayPercentOther",2012
162,162,"Gary Woodland",70,4,29,725,1,"MissedFairwayPercentOther",2012
163,163,"Robert Garrigus",89,4.01,41,1022,0.22,"MissedFairwayPercentOther",2012
163,163,"Ryuji Imada",78,4.01,38,948,0.71,"MissedFairwayPercentOther",2012
165,165,"Garth Mulroy",59,4.09,26,636,0.69,"MissedFairwayPercentOther",2012
165,165,"Kevin Na",80,4.09,37,904,0.32,"MissedFairwayPercentOther",2012
167,167,"Andres Romero",68,4.18,31,741,0.87,"MissedFairwayPercentOther",2012
168,168,"Billy Hurley III",70,4.19,33,787,0.85,"MissedFairwayPercentOther",2012
169,169,"Jason Day",57,4.2,27,643,0.74,"MissedFairwayPercentOther",2012
169,169,"James Driscoll",83,4.2,40,952,0.6,"MissedFairwayPercentOther",2012
171,171,"John Daly",50,4.23,22,520,0.95,"MissedFairwayPercentOther",2012
172,172,"Sung Kang",75,4.24,36,850,0.92,"MissedFairwayPercentOther",2012
173,173,"Roland Thatcher",55,4.28,26,608,0.88,"MissedFairwayPercentOther",2012
174,174,"Tom Pernice Jr",62,4.34,31,715,0.9,"MissedFairwayPercentOther",2012
175,175,"Robert Karlsson",54,4.4,25,568,0.56,"MissedFairwayPercentOther",2012
176,176,"Daniel Chopra",55,4.51,26,577,0.58,"MissedFairwayPercentOther",2012
176,176,"Harrison Frazar",56,4.51,30,665,0.5,"MissedFairwayPercentOther",2012
178,178,"Matt Bettencourt",80,4.61,38,825,0.74,"MissedFairwayPercentOther",2012
179,179,"Marco Dawson",60,4.9,31,633,0.97,"MissedFairwayPercentOther",2012
180,180,"Stewart Cink",71,5.01,37,738,0.73,"MissedFairwayPercentOther",2012
181,181,"Mark Anderson",75,5.04,42,833,0.6,"MissedFairwayPercentOther",2012
182,182,"Tommy Gainey",98,5.06,63,1246,0.75,"MissedFairwayPercentOther",2012
183,183,"Jason Kokrak",79,5.08,48,945,0.65,"MissedFairwayPercentOther",2012
184,184,"Tommy Biershenk",74,5.26,42,799,0.67,"MissedFairwayPercentOther",2012
185,185,"JB Holmes",90,5.27,56,1062,0.55,"MissedFairwayPercentOther",2012
186,186,"Matt Jones",53,5.29,32,605,0.69,"MissedFairwayPercentOther",2012
187,187,"Jhonattan Vegas",77,5.36,51,951,0.88,"MissedFairwayPercentOther",2012
188,188,"Michael Bradley",63,5.46,41,751,0.93,"MissedFairwayPercentOther",2012
189,189,"Angel Cabrera",54,5.68,29,511,0.41,"MissedFairwayPercentOther",2012
190,190,"Derek Lamely",64,5.75,44,765,0.73,"MissedFairwayPercentOther",2012
191,191,"Stephen Gangluff",57,7.34,43,586,0.81,"MissedFairwayPercentOther",2012
