"3PuttAvoidance_RANKTHISWEEK_2008","3PuttAvoidance_RANKLASTWEEK_2008","3PuttAvoidance_PLAYERNAME_2008","3PuttAvoidance_ROUNDS_2008","3PuttAvoidance_Pct_2008","3PuttAvoidance_TOTAL3PUTTS_2008","3PuttAvoidance_TOTALHOLESOVERALL_2008","stat_name","year"
38,38,"Jin Park",85,2.61,40,1530,"3PuttAvoidance",2008
39,39,"Jeff Quinney",87,2.62,41,1566,"3PuttAvoidance",2008
40,40,"Paul Claxton",63,2.65,30,1134,"3PuttAvoidance",2008
40,40,"Jerry Kelly",89,2.65,42,1584,"3PuttAvoidance",2008
42,42,"Jason Day",81,2.67,39,1458,"3PuttAvoidance",2008
42,42,"Shigeki Maruyama",50,2.67,24,900,"3PuttAvoidance",2008
44,44,"KJ Choi",74,2.7,34,1260,"3PuttAvoidance",2008
44,44,"Steve Stricker",75,2.7,35,1296,"3PuttAvoidance",2008
46,46,"Zach Johnson",85,2.71,41,1512,"3PuttAvoidance",2008
47,47,"Greg Kraft",63,2.73,31,1134,"3PuttAvoidance",2008
47,47,"Bob Sowards",61,2.73,30,1098,"3PuttAvoidance",2008
49,49,"Bill Haas",99,2.75,49,1782,"3PuttAvoidance",2008
50,50,"Stuart Appleby",87,2.78,42,1512,"3PuttAvoidance",2008
50,50,"Padraig Harrington",52,2.78,25,900,"3PuttAvoidance",2008
50,50,"John Huston",56,2.78,28,1008,"3PuttAvoidance",2008
50,50,"Dustin Johnson",92,2.78,46,1656,"3PuttAvoidance",2008
50,50,"Phil Mickelson",80,2.78,39,1404,"3PuttAvoidance",2008
55,55,"Jimmy Walker",73,2.82,37,1314,"3PuttAvoidance",2008
56,56,"JJ Henry",108,2.83,55,1944,"3PuttAvoidance",2008
56,56,"Stephen Leaney",53,2.83,27,954,"3PuttAvoidance",2008
56,56,"Ian Poulter",51,2.83,25,882,"3PuttAvoidance",2008
59,59,"Ben Crane",86,2.84,44,1548,"3PuttAvoidance",2008
60,60,"Brett Rumford",72,2.85,37,1296,"3PuttAvoidance",2008
61,61,"Mark Wilson",107,2.86,55,1926,"3PuttAvoidance",2008
62,62,"Scott Sterling",89,2.87,46,1602,"3PuttAvoidance",2008
63,63,"Tom Scherrer",56,2.88,29,1008,"3PuttAvoidance",2008
64,64,"Bob Estes",90,2.9,47,1620,"3PuttAvoidance",2008
64,64,"JP Hayes",67,2.9,35,1206,"3PuttAvoidance",2008
64,64,"Ryan Palmer",69,2.9,36,1242,"3PuttAvoidance",2008
67,67,"Carl Pettersson",110,2.93,58,1980,"3PuttAvoidance",2008
68,68,"Joe Ogilvie",100,2.94,53,1800,"3PuttAvoidance",2008
69,69,"Dean Wilson",109,2.96,58,1962,"3PuttAvoidance",2008
70,70,"Charles Howell III",101,2.97,53,1782,"3PuttAvoidance",2008
70,70,"Vaughn Taylor",103,2.97,55,1854,"3PuttAvoidance",2008
72,72,"Tim Herron",97,2.98,52,1746,"3PuttAvoidance",2008
72,72,"Cliff Kresge",84,2.98,45,1512,"3PuttAvoidance",2008
74,74,"Lucas Glover",91,2.99,49,1638,"3PuttAvoidance",2008
74,74,"Freddie Jacobson",78,2.99,42,1404,"3PuttAvoidance",2008
74,74,"Camilo Villegas",79,2.99,42,1404,"3PuttAvoidance",2008
77,77,"Dudley Hart",74,3,40,1332,"3PuttAvoidance",2008
78,78,"Sean OHair",81,3.02,44,1458,"3PuttAvoidance",2008
78,78,"David Toms",70,3.02,37,1224,"3PuttAvoidance",2008
80,80,"Brenden Pappas",66,3.03,36,1188,"3PuttAvoidance",2008
82,82,"Alex Cejka",75,3.04,41,1350,"3PuttAvoidance",2008
82,82,"Carlos Franco",73,3.04,40,1314,"3PuttAvoidance",2008
82,82,"Jim McGovern",75,3.04,41,1350,"3PuttAvoidance",2008
82,82,"Tom Pernice Jr",104,3.04,57,1872,"3PuttAvoidance",2008
86,86,"Michael Allen",91,3.05,50,1638,"3PuttAvoidance",2008
86,86,"Mathew Goggin",91,3.05,50,1638,"3PuttAvoidance",2008
88,88,"Kevin Stadler",90,3.09,50,1620,"3PuttAvoidance",2008
88,88,"Scott Verplank",82,3.09,45,1458,"3PuttAvoidance",2008
90,90,"Kyle Thompson",70,3.1,39,1260,"3PuttAvoidance",2008
