"BirdieorBetterConversionPercentage_RANKTHISWEEK_2009","BirdieorBetterConversionPercentage_RANKLASTWEEK_2009","BirdieorBetterConversionPercentage_PLAYERNAME_2009","BirdieorBetterConversionPercentage_ROUNDS_2009","BirdieorBetterConversionPercentage_Pct_2009","BirdieorBetterConversionPercentage_BIRDIES_2009","BirdieorBetterConversionPercentage_GREENSHIT_2009","stat_name","year"
121,121,"Johnson Wagner",81,28.24,270,956,"BirdieorBetterConversionPercentage",2009
122,122,"Colt Knost",71,28.23,212,751,"BirdieorBetterConversionPercentage",2009
123,123,"Boo Weekley",79,28.11,260,925,"BirdieorBetterConversionPercentage",2009
124,124,"Jason Bohn",88,28.07,309,1101,"BirdieorBetterConversionPercentage",2009
125,125,"Greg Owen",97,28.04,316,1127,"BirdieorBetterConversionPercentage",2009
126,126,"John Senden",100,27.94,356,1274,"BirdieorBetterConversionPercentage",2009
127,127,"Tom Pernice Jr",82,27.91,266,953,"BirdieorBetterConversionPercentage",2009
127,127,"Kirk Triplett",60,27.91,204,731,"BirdieorBetterConversionPercentage",2009
129,129,"Charles Howell III",99,27.89,306,1097,"BirdieorBetterConversionPercentage",2009
130,130,"Brad Faxon",59,27.88,155,556,"BirdieorBetterConversionPercentage",2009
131,131,"Jason Gore",74,27.8,226,813,"BirdieorBetterConversionPercentage",2009
132,132,"Mathew Goggin",76,27.78,242,871,"BirdieorBetterConversionPercentage",2009
133,133,"Adam Scott",53,27.77,163,587,"BirdieorBetterConversionPercentage",2009
134,134,"David Mathis",82,27.73,239,862,"BirdieorBetterConversionPercentage",2009
135,135,"Richard Johnson",85,27.7,274,989,"BirdieorBetterConversionPercentage",2009
136,136,"Bill Lunde",83,27.69,270,975,"BirdieorBetterConversionPercentage",2009
137,137,"Vijay Singh",71,27.59,226,819,"BirdieorBetterConversionPercentage",2009
138,138,"Briny Baird",89,27.57,290,1052,"BirdieorBetterConversionPercentage",2009
139,139,"Chris DiMarco",97,27.48,296,1077,"BirdieorBetterConversionPercentage",2009
140,140,"Darron Stiles",52,27.43,155,565,"BirdieorBetterConversionPercentage",2009
141,141,"Rich Beem",77,27.39,232,847,"BirdieorBetterConversionPercentage",2009
142,142,"Jeff Klauk",97,27.36,310,1133,"BirdieorBetterConversionPercentage",2009
143,143,"Troy Matteson",95,27.24,304,1116,"BirdieorBetterConversionPercentage",2009
144,144,"Stewart Cink",79,27.23,226,830,"BirdieorBetterConversionPercentage",2009
145,145,"Tommy Armour III",58,27.22,190,698,"BirdieorBetterConversionPercentage",2009
146,146,"Eric Axley",71,27.1,187,690,"BirdieorBetterConversionPercentage",2009
