"PercentageofAvailablePurseWon_RANKTHISWEEK_2007","PercentageofAvailablePurseWon_RANKLASTWEEK_2007","PercentageofAvailablePurseWon_PLAYERNAME_2007","PercentageofAvailablePurseWon_EVENTS_2007","PercentageofAvailablePurseWon_Pct_2007","PercentageofAvailablePurseWon_OFFICIALMONEYWON_2007","PercentageofAvailablePurseWon_TOTALPURSEAVAILABLE_2007","stat_name","year"
159,159,"Mathias Gronberg",31,0.48,785178,163500000,"PercentageofAvailablePurseWon",2007
159,159,"Bob Heintz",27,0.48,649340,135600000,"PercentageofAvailablePurseWon",2007
159,159,"Skip Kendall",5,0.48,116345,2.4e+07,"PercentageofAvailablePurseWon",2007
159,159,"Michael Sim",17,0.48,399898,83900000,"PercentageofAvailablePurseWon",2007
159,159,"Kevin Stadler",31,0.48,810875,167777452,"PercentageofAvailablePurseWon",2007
164,164,"BJ Staten",7,0.47,175505,37400000,"PercentageofAvailablePurseWon",2007
165,165,"Marco Dawson",23,0.46,521430,113100000,"PercentageofAvailablePurseWon",2007
165,165,"Robert Gamez",30,0.46,693464,151800000,"PercentageofAvailablePurseWon",2007
165,165,"Anders Hansen",17,0.46,461213,99977452,"PercentageofAvailablePurseWon",2007
165,165,"Dudley Hart",12,0.46,299249,65300000,"PercentageofAvailablePurseWon",2007
165,165,"Prom Meesawat",1,0.46,36750,8e+06,"PercentageofAvailablePurseWon",2007
165,165,"Brett Quigley",25,0.46,717410,156877452,"PercentageofAvailablePurseWon",2007
171,171,"Todd Fischer",4,0.45,92000,20500000,"PercentageofAvailablePurseWon",2007
172,172,"Parker McLachlin",28,0.44,627581,141300000,"PercentageofAvailablePurseWon",2007
172,172,"John Merrick",29,0.44,649437,147300000,"PercentageofAvailablePurseWon",2007
174,174,"Steve Lowery",22,0.43,502621,116900000,"PercentageofAvailablePurseWon",2007
174,174,"Ted Purdy",33,0.43,758732,177100000,"PercentageofAvailablePurseWon",2007
176,176,"Thomas Bjorn",6,0.42,188043,45177452,"PercentageofAvailablePurseWon",2007
176,176,"Joe Durant",28,0.42,723597,171277452,"PercentageofAvailablePurseWon",2007
176,176,"Craig Kanada",34,0.42,743303,178800000,"PercentageofAvailablePurseWon",2007
179,179,"Harrison Frazar",32,0.41,698534,171200000,"PercentageofAvailablePurseWon",2007
179,179,"Kent Jones",30,0.41,651108,157800000,"PercentageofAvailablePurseWon",2007
179,179,"Vance Veazey",9,0.41,185208,4.5e+07,"PercentageofAvailablePurseWon",2007
182,182,"Neal Lancaster",13,0.4,229052,57600000,"PercentageofAvailablePurseWon",2007
182,182,"Tag Ridings",18,0.4,351589,87400000,"PercentageofAvailablePurseWon",2007
182,182,"Garrett Willis",13,0.4,233568,5.9e+07,"PercentageofAvailablePurseWon",2007
185,185,"Andrew Buckle",26,0.39,513629,1.32e+08,"PercentageofAvailablePurseWon",2007
185,185,"Shingo Katayama",7,0.39,194927,50200000,"PercentageofAvailablePurseWon",2007
187,187,"Olin Browne",15,0.37,304604,82300000,"PercentageofAvailablePurseWon",2007
187,187,"Bradley Dredge",4,0.37,112533,30177452,"PercentageofAvailablePurseWon",2007
189,189,"Ross Bain",1,0.36,29820,8177452,"PercentageofAvailablePurseWon",2007
189,189,"Gavin Coles",28,0.36,511350,142300000,"PercentageofAvailablePurseWon",2007
189,189,"Marcus Fraser",1,0.36,25016,7e+06,"PercentageofAvailablePurseWon",2007
192,192,"Frank Lickliter II",30,0.35,584081,165800000,"PercentageofAvailablePurseWon",2007
192,192,"Daisuke Maruyama",28,0.35,499205,144300000,"PercentageofAvailablePurseWon",2007
192,192,"Corey Pavin",25,0.35,498250,141100000,"PercentageofAvailablePurseWon",2007
192,192,"Omar Uresti",4,0.35,64350,18500000,"PercentageofAvailablePurseWon",2007
196,196,"Billy Andrade",27,0.34,499195,148100000,"PercentageofAvailablePurseWon",2007
196,196,"Brendon de Jonge",26,0.34,447171,129900000,"PercentageofAvailablePurseWon",2007
196,196,"Jay Delsing",12,0.34,181808,52700000,"PercentageofAvailablePurseWon",2007
196,196,"Jason Dufner",32,0.34,574989,1.69e+08,"PercentageofAvailablePurseWon",2007
196,196,"Dan Forsman",12,0.34,185522,55100000,"PercentageofAvailablePurseWon",2007
196,196,"Doug LaBelle II",33,0.34,604631,175400000,"PercentageofAvailablePurseWon",2007
196,196,"Dicky Pride",25,0.34,415790,123800000,"PercentageofAvailablePurseWon",2007
203,203,"Jeff Gove",30,0.33,526642,158700000,"PercentageofAvailablePurseWon",2007
203,203,"Lee Janzen",24,0.33,409188,123500000,"PercentageofAvailablePurseWon",2007
203,203,"Won Joon Lee",1,0.33,26735,8177452,"PercentageofAvailablePurseWon",2007
203,203,"Jarrod Lyle",24,0.33,390302,118300000,"PercentageofAvailablePurseWon",2007
203,203,"Ryan Palmer",30,0.33,524986,159600000,"PercentageofAvailablePurseWon",2007
203,203,"Chris Tidland",21,0.33,339480,102500000,"PercentageofAvailablePurseWon",2007
209,209,"Bob May",16,0.32,244968,76700000,"PercentageofAvailablePurseWon",2007
209,209,"Colin Montgomerie",9,0.32,216988,67677452,"PercentageofAvailablePurseWon",2007
211,211,"Sandy Lyle",2,0.31,47493,15177452,"PercentageofAvailablePurseWon",2007
211,211,"Paul Stankowski",18,0.31,282388,92300000,"PercentageofAvailablePurseWon",2007
213,213,"Danny Ellis",2,0.3,28770,9600000,"PercentageofAvailablePurseWon",2007
213,213,"David Howell",10,0.3,213581,72177452,"PercentageofAvailablePurseWon",2007
213,213,"Bill Lunde",1,0.3,12093,4e+06,"PercentageofAvailablePurseWon",2007
