"Last5EventsShortGame_RANKTHISWEEK_2006","Last5EventsShortGame_RANKLASTWEEK_2006","Last5EventsShortGame_PLAYERNAME_2006","Last5EventsShortGame_EVENTS_2006","Last5EventsShortGame_RATING_2006","stat_name","year"
37,37,"Ryuji Imada",5,7.3,"Last5EventsShortGame",2006
37,37,"Rob Oppenheim",1,7.3,"Last5EventsShortGame",2006
37,37,"Rod Pampling",4,7.3,"Last5EventsShortGame",2006
37,111,"Adam Scott",3,7.3,"Last5EventsShortGame",2006
37,37,"David Toms",4,7.3,"Last5EventsShortGame",2006
49,48,"Jay Haas",2,7.2,"Last5EventsShortGame",2006
49,48,"Charley Hoffman",4,7.2,"Last5EventsShortGame",2006
49,48,"Paul Stankowski",1,7.2,"Last5EventsShortGame",2006
52,51,"Ben Crane",4,7.1,"Last5EventsShortGame",2006
52,51,"Joe Durant",5,7.1,"Last5EventsShortGame",2006
52,51,"Mark Hensby",2,7.1,"Last5EventsShortGame",2006
52,51,"Shingo Katayama",2,7.1,"Last5EventsShortGame",2006
56,55,"Neal Lancaster",2,7,"Last5EventsShortGame",2006
56,55,"Franklin Langham",2,7,"Last5EventsShortGame",2006
56,55,"Stephen Leaney",2,7,"Last5EventsShortGame",2006
56,55,"Jose Maria Olazabal",1,7,"Last5EventsShortGame",2006
56,55,"Scott Parel",1,7,"Last5EventsShortGame",2006
56,55,"Vijay Singh",5,7,"Last5EventsShortGame",2006
62,61,"David Berganio Jr",1,6.9,"Last5EventsShortGame",2006
62,61,"Mark Brooks",1,6.9,"Last5EventsShortGame",2006
62,61,"Daniel Chopra",4,6.9,"Last5EventsShortGame",2006
62,61,"Tim Clark",4,6.9,"Last5EventsShortGame",2006
62,61,"Michael Connell",1,6.9,"Last5EventsShortGame",2006
62,61,"David Duval",2,6.9,"Last5EventsShortGame",2006
62,61,"David Edwards",2,6.9,"Last5EventsShortGame",2006
62,61,"Kent Jones",3,6.9,"Last5EventsShortGame",2006
