"PuttingAverage_RANKTHISWEEK_2006","PuttingAverage_RANKLASTWEEK_2006","PuttingAverage_PLAYERNAME_2006","PuttingAverage_ROUNDS_2006","PuttingAverage_AVG_2006","PuttingAverage_GIRPUTTS_2006","PuttingAverage_GREENSHIT_2006","PuttingAverage_BIRDIECONVERSION_2006","PuttingAverage_GIRRANK_2006","stat_name","year"
22,22,"Vance Veazey",59,1.752,1146,654,30.02,180,"PuttingAverage",2006
22,22,"Mike Weir",88,1.752,1782,1017,30.73,59,"PuttingAverage",2006
28,28,"JP Hayes",55,1.753,1115,636,32.6,127,"PuttingAverage",2006
28,28,"Charley Hoffman",100,1.753,2060,1175,31.94,53,"PuttingAverage",2006
28,28,"Vijay Singh",103,1.753,2141,1221,31.77,31,"PuttingAverage",2006
31,31,"Stephen Leaney",84,1.755,1781,1015,27.88,45,"PuttingAverage",2006
31,31,"Chris Riley",86,1.755,1618,922,30.03,173,"PuttingAverage",2006
31,31,"John Rollins",93,1.755,1901,1083,30.73,73,"PuttingAverage",2006
31,31,"Scott Verplank",88,1.755,1794,1022,29.9,77,"PuttingAverage",2006
35,35,"Stewart Cink",93,1.756,1805,1028,30.99,114,"PuttingAverage",2006
35,35,"Tom Pernice Jr",108,1.756,2121,1208,31.7,120,"PuttingAverage",2006
35,35,"Tiger Woods",55,1.756,1219,694,35.26,1,"PuttingAverage",2006
38,38,"Nathan Green",108,1.757,2073,1180,31.32,158,"PuttingAverage",2006
38,38,"Joe Ogilvie",95,1.757,1873,1066,30.99,111,"PuttingAverage",2006
38,38,"Kirk Triplett",58,1.757,1156,658,29.05,104,"PuttingAverage",2006
41,41,"Padraig Harrington",54,1.758,1032,587,31.18,109,"PuttingAverage",2006
41,41,"Mark Wilson",79,1.758,1635,930,29.85,26,"PuttingAverage",2006
43,43,"Ernie Els",69,1.759,1291,734,30.51,143,"PuttingAverage",2006
43,43,"Justin Rose",98,1.759,2042,1161,31.72,29,"PuttingAverage",2006
43,43,"David Toms",76,1.759,1446,822,31.43,71,"PuttingAverage",2006
46,46,"Freddie Jacobson",56,1.76,1135,645,29.61,138,"PuttingAverage",2006
47,47,"Arjun Atwal",97,1.761,1928,1095,29.32,135,"PuttingAverage",2006
48,48,"Kent Jones",103,1.762,2097,1190,29.54,92,"PuttingAverage",2006
49,49,"Tim Clark",80,1.763,1654,938,30.66,80,"PuttingAverage",2006
49,49,"Lucas Glover",105,1.763,2158,1224,32.02,40,"PuttingAverage",2006
49,49,"Frank Lickliter II",99,1.763,2093,1187,29.87,26,"PuttingAverage",2006
49,49,"Jeff Sluman",101,1.763,2091,1186,29.54,108,"PuttingAverage",2006
53,53,"Olin Browne",108,1.764,2124,1204,29.06,126,"PuttingAverage",2006
53,53,"Greg Chalmers",71,1.764,1256,712,29.06,191,"PuttingAverage",2006
53,53,"Danny Ellis",68,1.764,1272,721,28.93,170,"PuttingAverage",2006
53,53,"Ryuji Imada",105,1.764,2099,1190,28.04,116,"PuttingAverage",2006
53,53,"Richard Johnson",94,1.764,1970,1117,28.43,77,"PuttingAverage",2006
53,53,"Ryan Palmer",101,1.764,2018,1144,30.93,129,"PuttingAverage",2006
53,53,"Jimmy Walker",60,1.764,1141,647,28.84,179,"PuttingAverage",2006
60,60,"Lee Janzen",79,1.765,1583,897,30.58,157,"PuttingAverage",2006
60,60,"Dean Wilson",115,1.765,2301,1304,29.26,106,"PuttingAverage",2006
62,62,"Tag Ridings",103,1.766,1946,1102,31.72,183,"PuttingAverage",2006
62,62,"Brett Wetterich",82,1.766,1768,1001,32.23,33,"PuttingAverage",2006
64,64,"David Duval",71,1.767,1318,746,30.91,187,"PuttingAverage",2006
64,64,"Adam Scott",70,1.767,1495,846,30.39,12,"PuttingAverage",2006
66,66,"Paul Azinger",87,1.769,1728,977,28,174,"PuttingAverage",2006
66,66,"Craig Barlow",77,1.769,1528,864,30.54,87,"PuttingAverage",2006
66,66,"Geoff Ogilvy",76,1.769,1403,793,31.44,160,"PuttingAverage",2006
69,69,"Scott Gutschewski",53,1.77,1083,612,29.06,52,"PuttingAverage",2006
69,69,"Skip Kendall",72,1.77,1542,871,27.24,43,"PuttingAverage",2006
69,69,"Greg Kraft",79,1.77,1499,847,27.22,164,"PuttingAverage",2006
69,69,"Jose Maria Olazabal",62,1.77,1211,684,28.89,91,"PuttingAverage",2006
73,73,"Brad Faxon",78,1.771,1443,815,28.13,194,"PuttingAverage",2006
73,73,"Steve Flesch",119,1.771,2419,1366,28.43,79,"PuttingAverage",2006
73,73,"Retief Goosen",68,1.771,1252,707,30.26,92,"PuttingAverage",2006
73,73,"Trevor Immelman",86,1.771,1893,1069,30.06,14,"PuttingAverage",2006
73,73,"Pat Perez",50,1.771,1031,582,30.05,118,"PuttingAverage",2006
73,73,"Bob Tway",81,1.771,1596,901,27.68,131,"PuttingAverage",2006
79,79,"Chris DiMarco",83,1.772,1653,933,29.22,60,"PuttingAverage",2006
79,79,"Ian Poulter",53,1.772,1095,618,28.8,75,"PuttingAverage",2006
79,79,"Bo Van Pelt",102,1.772,2162,1220,31.09,60,"PuttingAverage",2006
82,82,"Woody Austin",107,1.773,2140,1207,30.49,167,"PuttingAverage",2006
