"LeftRoughTendency_RANKTHISWEEK_2013","LeftRoughTendency_RANKLASTWEEK_2013","LeftRoughTendency_PLAYERNAME_2013","LeftRoughTendency_ROUNDS_2013","LeftRoughTendency_Pct_2013","LeftRoughTendency_TOTALLEFTROUGH_2013","LeftRoughTendency_POSSIBLEFWYS_2013","LeftRoughTendency_RELATIVETOPAR_2013","stat_name","year"
160,160,"Nicolas Colsaerts",50,16.57,82,495,0.09,"LeftRoughTendency",2013
161,161,"Tommy Gainey",84,16.76,174,1038,0.11,"LeftRoughTendency",2013
162,162,"Sergio Garcia",65,16.93,109,644,-0.02,"LeftRoughTendency",2013
163,163,"Robert Garrigus",69,16.96,114,672,-0.03,"LeftRoughTendency",2013
164,164,"Dustin Johnson",71,17.26,121,701,0.01,"LeftRoughTendency",2013
165,165,"Robert Streb",75,17.3,146,844,0.1,"LeftRoughTendency",2013
166,166,"Jason Kokrak",78,17.56,173,985,0.01,"LeftRoughTendency",2013
167,167,"Aaron Baddeley",68,17.6,141,801,-0.06,"LeftRoughTendency",2013
168,168,"Robert Allenby",58,17.89,127,710,0.15,"LeftRoughTendency",2013
168,168,"Phil Mickelson",78,17.89,139,777,-0.02,"LeftRoughTendency",2013
170,170,"Eric Meierdierks",48,17.91,91,508,0.18,"LeftRoughTendency",2013
171,171,"Ryo Ishikawa",72,17.94,136,758,0.11,"LeftRoughTendency",2013
172,172,"Peter Hanson",45,18.12,83,458,0.06,"LeftRoughTendency",2013
173,173,"Johnson Wagner",64,18.19,131,720,0.18,"LeftRoughTendency",2013
174,174,"Martin Flores",83,18.36,192,1046,0.08,"LeftRoughTendency",2013
175,175,"James Driscoll",76,18.49,159,860,0.05,"LeftRoughTendency",2013
176,176,"Seung Yul Noh",71,18.58,157,845,0.06,"LeftRoughTendency",2013
177,177,"Casey Wittenberg",72,19.26,161,836,0.14,"LeftRoughTendency",2013
178,178,"Michael Bradley",56,19.42,114,587,0.15,"LeftRoughTendency",2013
179,179,"Shawn Stefani",63,19.71,134,680,0.11,"LeftRoughTendency",2013
180,180,"Luke List",65,22.66,157,693,0.03,"LeftRoughTendency",2013
