"CarryDistance_RANKTHISWEEK_2011","CarryDistance_RANKLASTWEEK_2011","CarryDistance_PLAYERNAME_2011","CarryDistance_ROUNDS_2011","CarryDistance_AVG_2011","CarryDistance_TOTALDISTTOIMPACT_2011","CarryDistance_TOTALATTEMPTS_2011","CarryDistance_LONGESTCARRYDISTANCE_2011","CarryDistance_SHORTESTCARRYDISTANCE_2011","stat_name","year"
92,92,"YE Yang",63,272.3,9531.6,35,315.9,246.8,"CarryDistance",2011
94,94,"Kevin Streelman",90,272.2,15241,56,303,251.4,"CarryDistance",2011
95,95,"Chris Stroud",88,272.1,16327.1,60,298.2,232.3,"CarryDistance",2011
96,96,"Matt Bettencourt",84,271.5,16562.5,61,306.1,236,"CarryDistance",2011
97,97,"DJ Brigman",67,271.3,10037.3,37,301.9,244.3,"CarryDistance",2011
98,98,"Tim Herron",85,271.1,14913.2,55,300.3,236.4,"CarryDistance",2011
99,99,"Chad Campbell",99,270.8,16517.4,61,294.7,233.1,"CarryDistance",2011
100,100,"Ryan Moore",79,270.5,13793.6,51,288.7,240.8,"CarryDistance",2011
101,101,"John Merrick",71,270.3,13243.8,49,291.4,228.6,"CarryDistance",2011
102,102,"Jarrod Lyle",83,270.2,14590.5,54,295.7,242.8,"CarryDistance",2011
103,103,"Andres Gonzales",60,269.9,9447.7,35,297,247.3,"CarryDistance",2011
103,103,"Boo Weekley",66,269.9,11874.1,44,297.9,241.6,"CarryDistance",2011
105,105,"Fabian Gomez",84,269.8,12142.2,45,291.7,240.2,"CarryDistance",2011
106,106,"Carl Pettersson",95,269.7,20494.6,76,292.9,240.1,"CarryDistance",2011
107,107,"Steve Stricker",70,269.5,14553.1,54,306.6,243.5,"CarryDistance",2011
108,108,"Scott McCarron",65,269.2,11576.5,43,292.7,236.3,"CarryDistance",2011
109,109,"Stuart Appleby",65,269.1,11033.3,41,292.1,222.9,"CarryDistance",2011
109,109,"Woody Austin",59,269.1,9687.9,36,295,247,"CarryDistance",2011
109,109,"JJ Henry",96,269.1,18834.2,70,292.1,233.8,"CarryDistance",2011
112,112,"Martin Piller",63,268.8,10483.3,39,289.6,237.1,"CarryDistance",2011
113,113,"Ricky Barnes",78,268.6,12353.3,46,296.1,232.2,"CarryDistance",2011
114,114,"Lee Janzen",62,268.5,11275.4,42,288.6,238.1,"CarryDistance",2011
