"LeftTendency_RANKTHISWEEK_2011","LeftTendency_RANKLASTWEEK_2011","LeftTendency_PLAYERNAME_2011","LeftTendency_EVENTS_2011","LeftTendency_Pct_2011","LeftTendency_NUMBEROFTIMES_2011","LeftTendency_ATTEMPTS_2011","LeftTendency_AVGRTPSCORE_2011","stat_name","year"
72,72,"Joe Durant",25,47.1,97,206,2.89,"LeftTendency",2011
72,72,"David Mathis",25,47.1,140,297,2.36,"LeftTendency",2011
72,72,"Billy Mayfair",29,47.1,156,331,1.22,"LeftTendency",2011
75,75,"Matt Jones",25,47.2,170,360,1.12,"LeftTendency",2011
76,76,"Sergio Garcia",16,47.3,113,239,0.88,"LeftTendency",2011
77,77,"Alex Cejka",21,47.4,99,209,1.31,"LeftTendency",2011
77,77,"Trevor Immelman",25,47.4,164,346,0.37,"LeftTendency",2011
79,79,"Kent Jones",25,47.5,141,297,2.55,"LeftTendency",2011
80,80,"Kevin Kisner",24,47.6,139,292,2.23,"LeftTendency",2011
80,80,"Pat Perez",24,47.6,158,332,1.33,"LeftTendency",2011
80,80,"Aron Price",18,47.6,89,187,2.47,"LeftTendency",2011
80,80,"Cameron Tringale",32,47.6,233,489,1.46,"LeftTendency",2011
84,84,"Briny Baird",19,47.7,94,197,1.7,"LeftTendency",2011
84,84,"Shane Bertsch",20,47.7,104,218,1.73,"LeftTendency",2011
84,84,"Hunter Haas",30,47.7,194,407,1.03,"LeftTendency",2011
84,84,"JB Holmes",16,47.7,134,281,0.22,"LeftTendency",2011
88,88,"Bobby Gates",29,47.8,164,343,3.23,"LeftTendency",2011
88,88,"Tom Gillis",19,47.8,119,249,2.94,"LeftTendency",2011
88,88,"Tim Herron",28,47.8,211,441,1.85,"LeftTendency",2011
88,88,"Bill Lunde",28,47.8,188,393,2.23,"LeftTendency",2011
92,92,"Chris Couch",21,47.9,139,290,0.86,"LeftTendency",2011
92,92,"Rickie Fowler",24,47.9,175,365,0.51,"LeftTendency",2011
94,94,"Vijay Singh",25,48,183,381,0.77,"LeftTendency",2011
95,95,"KJ Choi",22,48.3,139,288,1.15,"LeftTendency",2011
95,95,"Hunter Mahan",25,48.3,172,356,1.34,"LeftTendency",2011
