"GIRPercentageLess125yards_RANKTHISWEEK_2007","GIRPercentageLess125yards_RANKLASTWEEK_2007","GIRPercentageLess125yards_PLAYERNAME_2007","GIRPercentageLess125yards_ROUNDS_2007","GIRPercentageLess125yards_Pct_2007","GIRPercentageLess125yards_GREENSHIT_2007","GIRPercentageLess125yards_TOTALHOLES_2007","GIRPercentageLess125yards_RELATIVETOPAR_2007","stat_name","year"
129,129,"Darron Stiles",65,79.53,237,298,-0.45,"GIRPercentageLess125yards",2007
129,129,"Bob Tway",103,79.53,369,464,-0.4,"GIRPercentageLess125yards",2007
131,131,"Vaughn Taylor",91,79.5,287,361,-0.49,"GIRPercentageLess125yards",2007
132,132,"Tag Ridings",52,79.46,236,297,-0.44,"GIRPercentageLess125yards",2007
133,133,"Ted Purdy",102,79.44,398,501,-0.43,"GIRPercentageLess125yards",2007
134,134,"Marco Dawson",73,79.4,289,364,-0.41,"GIRPercentageLess125yards",2007
135,135,"Trevor Immelman",74,79.39,208,262,-0.41,"GIRPercentageLess125yards",2007
136,136,"Brendon de Jonge",76,79.31,322,406,-0.46,"GIRPercentageLess125yards",2007
137,137,"Steve Elkington",87,79.26,298,376,-0.42,"GIRPercentageLess125yards",2007
138,138,"Hunter Mahan",91,79.21,301,380,-0.46,"GIRPercentageLess125yards",2007
139,139,"George McNeill",95,79.19,350,442,-0.45,"GIRPercentageLess125yards",2007
140,140,"Jeff Overton",60,79.17,304,384,-0.4,"GIRPercentageLess125yards",2007
141,141,"Mark Hensby",81,79.16,300,379,-0.41,"GIRPercentageLess125yards",2007
142,142,"Anthony Kim",93,78.98,372,471,-0.43,"GIRPercentageLess125yards",2007
143,143,"Jim Rutledge",59,78.97,214,271,-0.29,"GIRPercentageLess125yards",2007
144,144,"Paul Stankowski",52,78.95,195,247,-0.39,"GIRPercentageLess125yards",2007
145,145,"Jason Gore",86,78.88,366,464,-0.45,"GIRPercentageLess125yards",2007
145,145,"Mathias Gronberg",95,78.88,437,554,-0.41,"GIRPercentageLess125yards",2007
145,145,"John Mallinger",96,78.88,366,464,-0.42,"GIRPercentageLess125yards",2007
148,148,"Scott Gutschewski",67,78.86,276,350,-0.46,"GIRPercentageLess125yards",2007
149,149,"Brett Quigley",79,78.79,260,330,-0.45,"GIRPercentageLess125yards",2007
150,150,"Padraig Harrington",64,78.69,192,244,-0.44,"GIRPercentageLess125yards",2007
151,151,"Ben Curtis",80,78.67,236,300,-0.35,"GIRPercentageLess125yards",2007
152,152,"Greg Owen",81,78.64,335,426,-0.38,"GIRPercentageLess125yards",2007
153,153,"Kyle Reifers",71,78.59,268,341,-0.37,"GIRPercentageLess125yards",2007
154,154,"Michael Sim",52,78.55,249,317,-0.37,"GIRPercentageLess125yards",2007
155,155,"Robert Garrigus",95,78.52,446,568,-0.43,"GIRPercentageLess125yards",2007
156,156,"Mike Weir",82,78.5,252,321,-0.45,"GIRPercentageLess125yards",2007
157,157,"Mark Calcavecchia",93,78.49,343,437,-0.48,"GIRPercentageLess125yards",2007
157,157,"JP Hayes",89,78.49,354,451,-0.43,"GIRPercentageLess125yards",2007
159,159,"Cliff Kresge",107,78.44,382,487,-0.43,"GIRPercentageLess125yards",2007
160,160,"Craig Lile",77,78.43,280,357,-0.4,"GIRPercentageLess125yards",2007
161,161,"Kevin Stadler",95,78.42,396,505,-0.36,"GIRPercentageLess125yards",2007
162,162,"Peter Lonard",85,78.33,329,420,-0.38,"GIRPercentageLess125yards",2007
163,163,"Luke Donald",69,78.11,182,233,-0.43,"GIRPercentageLess125yards",2007
163,163,"Charley Hoffman",97,78.11,389,498,-0.46,"GIRPercentageLess125yards",2007
163,163,"Troy Matteson",87,78.11,339,434,-0.42,"GIRPercentageLess125yards",2007
163,163,"Mark Wilson",87,78.11,289,370,-0.39,"GIRPercentageLess125yards",2007
167,167,"Chris Couch",76,78.06,363,465,-0.41,"GIRPercentageLess125yards",2007
168,168,"Brian Davis",101,78.01,376,482,-0.44,"GIRPercentageLess125yards",2007
169,169,"Dean Wilson",92,77.87,278,357,-0.42,"GIRPercentageLess125yards",2007
170,170,"Jason Schultz",63,77.85,225,289,-0.4,"GIRPercentageLess125yards",2007
171,171,"Jeff Quinney",95,77.83,323,415,-0.43,"GIRPercentageLess125yards",2007
172,172,"Boo Weekley",101,77.78,371,477,-0.41,"GIRPercentageLess125yards",2007
173,173,"Brian Bateman",55,77.73,185,238,-0.35,"GIRPercentageLess125yards",2007
174,174,"Ryan Moore",92,77.58,301,388,-0.45,"GIRPercentageLess125yards",2007
175,175,"David Branshaw",83,77.54,321,414,-0.4,"GIRPercentageLess125yards",2007
176,176,"Ryan Palmer",91,77.49,358,462,-0.4,"GIRPercentageLess125yards",2007
177,177,"Jaco Van Zyl",51,77.46,189,244,-0.32,"GIRPercentageLess125yards",2007
178,178,"Tom Pernice Jr",104,77.37,335,433,-0.44,"GIRPercentageLess125yards",2007
179,179,"Rocco Mediate",72,77.31,259,335,-0.42,"GIRPercentageLess125yards",2007
180,180,"Doug LaBelle II",104,77.23,329,426,-0.37,"GIRPercentageLess125yards",2007
181,181,"Steve Allan",63,77.18,257,333,-0.45,"GIRPercentageLess125yards",2007
182,182,"Chris DiMarco",79,77.13,253,328,-0.38,"GIRPercentageLess125yards",2007
183,183,"Tim Clark",66,77.12,209,271,-0.47,"GIRPercentageLess125yards",2007
184,184,"Harrison Frazar",88,77.08,343,445,-0.44,"GIRPercentageLess125yards",2007
185,185,"Dicky Pride",71,76.9,233,303,-0.35,"GIRPercentageLess125yards",2007
186,186,"Carl Pettersson",111,76.89,406,528,-0.47,"GIRPercentageLess125yards",2007
187,187,"Daniel Chopra",106,76.6,442,577,-0.43,"GIRPercentageLess125yards",2007
188,188,"Gavin Coles",87,76.42,256,335,-0.36,"GIRPercentageLess125yards",2007
189,189,"Matt Hendrix",63,75.68,252,333,-0.36,"GIRPercentageLess125yards",2007
190,190,"Andrew Buckle",77,75.46,289,383,-0.39,"GIRPercentageLess125yards",2007
191,191,"Jose Coceres",50,75.38,147,195,-0.35,"GIRPercentageLess125yards",2007
192,192,"Todd Hamilton",76,74.34,226,304,-0.42,"GIRPercentageLess125yards",2007
193,193,"Kevin Na",84,74.22,311,419,-0.5,"GIRPercentageLess125yards",2007
194,194,"Davis Love III",66,73.82,234,317,-0.41,"GIRPercentageLess125yards",2007
195,195,"Henrik Stenson",52,72.52,161,222,-0.35,"GIRPercentageLess125yards",2007
196,196,"Retief Goosen",50,72.43,134,185,-0.4,"GIRPercentageLess125yards",2007
