"ScoringAverageBeforeCut_RANKTHISWEEK_2005","ScoringAverageBeforeCut_RANKLASTWEEK_2005","ScoringAverageBeforeCut_PLAYERNAME_2005","ScoringAverageBeforeCut__2005","ScoringAverageBeforeCut_AVG_2005","ScoringAverageBeforeCut_TOTALSTROKES_2005","ScoringAverageBeforeCut_TOTALROUNDS_2005","stat_name","year"
156,156,"Steve Flesch",NA,71.67,4085,57,"ScoringAverageBeforeCut",2005
156,156,"Tom Gillis",NA,71.67,3942,55,"ScoringAverageBeforeCut",2005
159,159,"Mark OMeara",NA,71.69,3226,45,"ScoringAverageBeforeCut",2005
160,160,"John Cook",NA,71.71,3729,52,"ScoringAverageBeforeCut",2005
160,160,"Todd Hamilton",NA,71.71,4231,59,"ScoringAverageBeforeCut",2005
160,160,"Shaun Micheel",NA,71.71,4159,58,"ScoringAverageBeforeCut",2005
160,160,"Tjaart van der Walt",NA,71.71,2725,38,"ScoringAverageBeforeCut",2005
164,164,"Larry Mize",NA,71.74,2511,35,"ScoringAverageBeforeCut",2005
165,165,"Chris Anderson",NA,71.77,3445,48,"ScoringAverageBeforeCut",2005
165,165,"Ian Poulter",NA,71.77,2799,39,"ScoringAverageBeforeCut",2005
167,167,"Matt Gogel",NA,71.79,4092,57,"ScoringAverageBeforeCut",2005
168,168,"Paul Azinger",NA,71.8,3303,46,"ScoringAverageBeforeCut",2005
169,169,"Kevin Stadler",NA,71.81,4811,67,"ScoringAverageBeforeCut",2005
170,170,"Matt Kuchar",NA,71.84,3089,43,"ScoringAverageBeforeCut",2005
171,171,"Bob Heintz",NA,71.86,3521,49,"ScoringAverageBeforeCut",2005
171,171,"Skip Kendall",NA,71.86,4599,64,"ScoringAverageBeforeCut",2005
173,173,"DA Points",NA,71.88,4672,65,"ScoringAverageBeforeCut",2005
174,174,"Mike Weir",NA,71.89,3235,45,"ScoringAverageBeforeCut",2005
175,175,"Glen Hnatiuk",NA,71.9,3020,42,"ScoringAverageBeforeCut",2005
176,176,"Andrew Magee",NA,71.91,4099,57,"ScoringAverageBeforeCut",2005
177,177,"James Driscoll",NA,71.92,3668,51,"ScoringAverageBeforeCut",2005
178,178,"Justin Bolli",NA,71.96,3382,47,"ScoringAverageBeforeCut",2005
179,179,"Paul Claxton",NA,71.98,4319,60,"ScoringAverageBeforeCut",2005
179,179,"Franklin Langham",NA,71.98,4463,62,"ScoringAverageBeforeCut",2005
181,181,"Mark Brooks",NA,72.04,3962,55,"ScoringAverageBeforeCut",2005
182,182,"DJ Brigman",NA,72.08,3676,51,"ScoringAverageBeforeCut",2005
183,183,"Jose Coceres",NA,72.1,3028,42,"ScoringAverageBeforeCut",2005
184,184,"Hank Kuehne",NA,72.12,4183,58,"ScoringAverageBeforeCut",2005
185,185,"Chris Riley",NA,72.13,3462,48,"ScoringAverageBeforeCut",2005
186,186,"Jeff Hart",NA,72.18,3176,44,"ScoringAverageBeforeCut",2005
186,186,"Bradley Hughes",NA,72.18,2887,40,"ScoringAverageBeforeCut",2005
188,188,"Danny Briggs",NA,72.19,3898,54,"ScoringAverageBeforeCut",2005
188,188,"Jim Carter",NA,72.19,3465,48,"ScoringAverageBeforeCut",2005
190,190,"Steve Jones",NA,72.23,2889,40,"ScoringAverageBeforeCut",2005
191,191,"Scott Hend",NA,72.25,3974,55,"ScoringAverageBeforeCut",2005
192,192,"Dennis Paulson",NA,72.44,3477,48,"ScoringAverageBeforeCut",2005
193,193,"Hideto Tanihara",NA,72.51,2828,39,"ScoringAverageBeforeCut",2005
194,194,"Rob Rashell",NA,72.53,3844,53,"ScoringAverageBeforeCut",2005
195,195,"Len Mattiace",NA,72.6,4864,67,"ScoringAverageBeforeCut",2005
196,196,"Jason Allred",NA,72.66,4287,59,"ScoringAverageBeforeCut",2005
197,197,"Ben Curtis",NA,72.68,3634,50,"ScoringAverageBeforeCut",2005
198,198,"Rich Beem",NA,72.8,3713,51,"ScoringAverageBeforeCut",2005
198,198,"Matt Davidson",NA,72.8,2985,41,"ScoringAverageBeforeCut",2005
200,200,"John Elliott",NA,72.83,3423,47,"ScoringAverageBeforeCut",2005
201,201,"Thomas Levet",NA,72.97,2700,37,"ScoringAverageBeforeCut",2005
202,202,"Craig Perks",NA,73.04,3871,53,"ScoringAverageBeforeCut",2005
