"GIRPercentage100125yards_RANKTHISWEEK_2014","GIRPercentage100125yards_RANKLASTWEEK_2014","GIRPercentage100125yards_PLAYERNAME_2014","GIRPercentage100125yards_ROUNDS_2014","GIRPercentage100125yards_Pct_2014","GIRPercentage100125yards_GREENSHIT_2014","GIRPercentage100125yards_TOTALHOLES_2014","GIRPercentage100125yards_RELATIVETOPAR_2014","stat_name","year"
135,135,"Brian Stuard",91,72.19,109,151,-0.35,"GIRPercentage100125yards",2014
136,136,"Aaron Baddeley",74,72.16,70,97,-0.36,"GIRPercentage100125yards",2014
137,137,"Brooks Koepka",56,72.15,57,79,-0.18,"GIRPercentage100125yards",2014
138,138,"Ken Duke",80,72.09,93,129,-0.22,"GIRPercentage100125yards",2014
139,139,"Chris Stroud",88,72.06,98,136,-0.32,"GIRPercentage100125yards",2014
140,140,"Vijay Singh",83,71.97,113,157,-0.22,"GIRPercentage100125yards",2014
141,141,"Rickie Fowler",91,71.93,82,114,-0.34,"GIRPercentage100125yards",2014
142,142,"Retief Goosen",94,71.85,97,135,-0.23,"GIRPercentage100125yards",2014
143,143,"Charl Schwartzel",64,71.76,61,85,-0.3,"GIRPercentage100125yards",2014
143,143,"Kevin Tway",64,71.76,61,85,-0.07,"GIRPercentage100125yards",2014
145,145,"Jeff Overton",80,71.74,99,138,-0.28,"GIRPercentage100125yards",2014
146,146,"Robert Garrigus",80,71.64,96,134,-0.23,"GIRPercentage100125yards",2014
147,147,"Brad Fritsch",50,71.43,55,77,-0.42,"GIRPercentage100125yards",2014
148,148,"Scott Brown",100,71.35,127,178,-0.27,"GIRPercentage100125yards",2014
149,149,"Scott Stallings",77,71.32,92,129,-0.13,"GIRPercentage100125yards",2014
150,150,"Morgan Hoffmann",103,71.26,119,167,-0.21,"GIRPercentage100125yards",2014
150,150,"Chris Kirk",105,71.26,124,174,-0.29,"GIRPercentage100125yards",2014
152,152,"Pat Perez",84,71.11,96,135,-0.31,"GIRPercentage100125yards",2014
153,153,"David Lingmerth",80,71.01,98,138,-0.34,"GIRPercentage100125yards",2014
