"PercentageofYardagecoveredbyTeeShots_RANKTHISWEEK_2010","PercentageofYardagecoveredbyTeeShots_RANKLASTWEEK_2010","PercentageofYardagecoveredbyTeeShots_PLAYERNAME_2010","PercentageofYardagecoveredbyTeeShots_ROUNDS_2010","PercentageofYardagecoveredbyTeeShots_AVGPct_2010","PercentageofYardagecoveredbyTeeShots_TOTALSHOTDISTANCE_2010","PercentageofYardagecoveredbyTeeShots_TOTALDISTANCE_2010","stat_name","year"
94,94,"Padraig Harrington",57,61.86,172956,279585,"PercentageofYardagecoveredbyTeeShots",2010
95,95,"Henrik Bjornstad",72,61.79,231373.1,374445,"PercentageofYardagecoveredbyTeeShots",2010
96,96,"Pat Perez",90,61.77,325940.2,527652,"PercentageofYardagecoveredbyTeeShots",2010
97,97,"Brendon de Jonge",114,61.74,355419.1,575661,"PercentageofYardagecoveredbyTeeShots",2010
97,97,"Scott McCarron",90,61.74,323886,524567,"PercentageofYardagecoveredbyTeeShots",2010
99,99,"Tom Gillis",97,61.73,352906.7,571731,"PercentageofYardagecoveredbyTeeShots",2010
100,100,"YE Yang",72,61.72,229990.7,372622,"PercentageofYardagecoveredbyTeeShots",2010
101,101,"Matt Kuchar",97,61.69,294365.6,477155,"PercentageofYardagecoveredbyTeeShots",2010
102,102,"Robert Allenby",76,61.67,240652.9,390221,"PercentageofYardagecoveredbyTeeShots",2010
103,103,"Brian Stuard",81,61.65,276219.3,448025,"PercentageofYardagecoveredbyTeeShots",2010
104,104,"Rich Barcelo",70,61.57,226972.6,368646,"PercentageofYardagecoveredbyTeeShots",2010
105,105,"Webb Simpson",98,61.54,356526.7,579383,"PercentageofYardagecoveredbyTeeShots",2010
106,106,"Geoff Ogilvy",62,61.52,198200.6,322194,"PercentageofYardagecoveredbyTeeShots",2010
107,107,"Justin Rose",78,61.5,274267.6,445951,"PercentageofYardagecoveredbyTeeShots",2010
107,107,"Jay Williamson",76,61.5,236605,384725,"PercentageofYardagecoveredbyTeeShots",2010
109,109,"Steve Elkington",74,61.47,228612.1,371921,"PercentageofYardagecoveredbyTeeShots",2010
110,110,"Kevin Sutherland",86,61.45,302691.4,492617,"PercentageofYardagecoveredbyTeeShots",2010
111,111,"Ernie Els",72,61.39,217804,354816,"PercentageofYardagecoveredbyTeeShots",2010
112,112,"Ricky Barnes",103,61.38,322093.1,524717,"PercentageofYardagecoveredbyTeeShots",2010
112,112,"Mark Calcavecchia",50,61.38,129181.9,210452,"PercentageofYardagecoveredbyTeeShots",2010
114,114,"Vaughn Taylor",87,61.36,309098.6,503730,"PercentageofYardagecoveredbyTeeShots",2010
115,115,"Lee Janzen",77,61.33,270713.6,441415,"PercentageofYardagecoveredbyTeeShots",2010
116,116,"Carl Pettersson",99,61.32,320919.4,523331,"PercentageofYardagecoveredbyTeeShots",2010
117,117,"Kris Blanks",91,61.3,286866.5,468008,"PercentageofYardagecoveredbyTeeShots",2010
118,118,"Freddie Jacobson",83,61.29,300066.5,489580,"PercentageofYardagecoveredbyTeeShots",2010
119,119,"James Nitties",92,61.27,313367.6,511430,"PercentageofYardagecoveredbyTeeShots",2010
120,120,"Chad Campbell",95,61.25,314654.1,513683,"PercentageofYardagecoveredbyTeeShots",2010
121,121,"Cameron Beckman",68,61.22,227787.8,372082,"PercentageofYardagecoveredbyTeeShots",2010
122,122,"Cliff Kresge",50,61.18,173695.9,283932,"PercentageofYardagecoveredbyTeeShots",2010
123,123,"Jeff Maggert",76,61.12,243148.3,397826,"PercentageofYardagecoveredbyTeeShots",2010
123,123,"Billy Mayfair",78,61.12,251483.9,411438,"PercentageofYardagecoveredbyTeeShots",2010
125,125,"Rod Pampling",77,61.11,270722.3,443034,"PercentageofYardagecoveredbyTeeShots",2010
126,126,"Jerod Turner",54,61.1,153527.1,251279,"PercentageofYardagecoveredbyTeeShots",2010
127,127,"Ben Crane",85,61.07,257341.4,421416,"PercentageofYardagecoveredbyTeeShots",2010
128,128,"David Duval",71,61.02,216630.8,355030,"PercentageofYardagecoveredbyTeeShots",2010
128,128,"Chris Riley",73,61.02,242115.5,396773,"PercentageofYardagecoveredbyTeeShots",2010
130,130,"Aron Price",70,61,239709,392970,"PercentageofYardagecoveredbyTeeShots",2010
131,131,"Ian Poulter",55,60.99,132548.9,217339,"PercentageofYardagecoveredbyTeeShots",2010
131,131,"Michael Sim",64,60.99,205520.9,336998,"PercentageofYardagecoveredbyTeeShots",2010
131,131,"David Toms",86,60.99,269318.2,441598,"PercentageofYardagecoveredbyTeeShots",2010
134,134,"Woody Austin",93,60.98,320572.4,525689,"PercentageofYardagecoveredbyTeeShots",2010
135,135,"Spencer Levin",110,60.93,377843.9,620116,"PercentageofYardagecoveredbyTeeShots",2010
136,136,"KJ Choi",82,60.91,237182.8,389395,"PercentageofYardagecoveredbyTeeShots",2010
137,137,"Jason Dufner",87,60.9,267429.3,439132,"PercentageofYardagecoveredbyTeeShots",2010
138,138,"Mark Wilson",87,60.88,306618.4,503680,"PercentageofYardagecoveredbyTeeShots",2010
139,139,"Bob Estes",79,60.84,272212.3,447443,"PercentageofYardagecoveredbyTeeShots",2010
140,140,"Zach Johnson",93,60.82,291625.3,479513,"PercentageofYardagecoveredbyTeeShots",2010
140,140,"Steve Stricker",73,60.82,218827.7,359811,"PercentageofYardagecoveredbyTeeShots",2010
142,142,"Michael Bradley",77,60.81,261865.9,430649,"PercentageofYardagecoveredbyTeeShots",2010
142,142,"Vance Veazey",58,60.81,185579.8,305181,"PercentageofYardagecoveredbyTeeShots",2010
144,144,"Shaun Micheel",70,60.8,203569,334832,"PercentageofYardagecoveredbyTeeShots",2010
145,145,"JP Hayes",79,60.79,261269.2,429765,"PercentageofYardagecoveredbyTeeShots",2010
146,146,"DA Points",90,60.77,305774.5,503207,"PercentageofYardagecoveredbyTeeShots",2010
146,146,"Brett Quigley",96,60.77,338564.7,557095,"PercentageofYardagecoveredbyTeeShots",2010
148,148,"Stephen Ames",75,60.74,266938.4,439497,"PercentageofYardagecoveredbyTeeShots",2010
148,148,"John Mallinger",78,60.74,250800.3,412896,"PercentageofYardagecoveredbyTeeShots",2010
150,150,"Briny Baird",87,60.71,301948.7,497401,"PercentageofYardagecoveredbyTeeShots",2010
151,151,"Johnson Wagner",85,60.62,284396.3,469123,"PercentageofYardagecoveredbyTeeShots",2010
152,152,"Garrett Willis",82,60.59,272896.4,450424,"PercentageofYardagecoveredbyTeeShots",2010
153,153,"Heath Slocum",97,60.58,281827.3,465186,"PercentageofYardagecoveredbyTeeShots",2010
154,154,"Chris DiMarco",88,60.56,297309.2,490931,"PercentageofYardagecoveredbyTeeShots",2010
155,155,"Michael Connell",89,60.54,295419.7,487981,"PercentageofYardagecoveredbyTeeShots",2010
156,156,"Charlie Wi",95,60.48,339728.1,561706,"PercentageofYardagecoveredbyTeeShots",2010
156,156,"Dean Wilson",54,60.48,179789.4,297248,"PercentageofYardagecoveredbyTeeShots",2010
158,158,"Justin Bolli",55,60.47,161360.6,266842,"PercentageofYardagecoveredbyTeeShots",2010
159,159,"Tim Petrovic",105,60.45,361239.7,597571,"PercentageofYardagecoveredbyTeeShots",2010
160,160,"Brian Davis",101,60.37,340630.9,564271,"PercentageofYardagecoveredbyTeeShots",2010
161,161,"Rocco Mediate",71,60.36,232352.6,384959,"PercentageofYardagecoveredbyTeeShots",2010
162,162,"Ryuji Imada",90,60.32,321255,532619,"PercentageofYardagecoveredbyTeeShots",2010
163,163,"Jerry Kelly",99,60.31,313087,519145,"PercentageofYardagecoveredbyTeeShots",2010
164,164,"Jason Bohn",84,60.3,282269.3,468097,"PercentageofYardagecoveredbyTeeShots",2010
165,165,"Skip Kendall",58,60.22,186884.7,310360,"PercentageofYardagecoveredbyTeeShots",2010
165,165,"Justin Leonard",89,60.22,274322.7,455498,"PercentageofYardagecoveredbyTeeShots",2010
165,165,"Scott Verplank",74,60.22,213409.6,354387,"PercentageofYardagecoveredbyTeeShots",2010
168,168,"Brandt Snedeker",89,60.2,285821.5,474785,"PercentageofYardagecoveredbyTeeShots",2010
169,169,"Kevin Na",94,60.12,288505.5,479885,"PercentageofYardagecoveredbyTeeShots",2010
170,170,"Brent Delahoussaye",57,60.11,178214.9,296493,"PercentageofYardagecoveredbyTeeShots",2010
171,171,"Greg Chalmers",93,60.1,330125.5,549297,"PercentageofYardagecoveredbyTeeShots",2010
172,172,"Trevor Immelman",55,60,161765.3,269630,"PercentageofYardagecoveredbyTeeShots",2010
173,173,"Nathan Green",86,59.99,308910.6,514922,"PercentageofYardagecoveredbyTeeShots",2010
174,174,"Kevin Johnson",62,59.94,185418.9,309360,"PercentageofYardagecoveredbyTeeShots",2010
174,174,"Tom Pernice Jr",74,59.94,220591,368050,"PercentageofYardagecoveredbyTeeShots",2010
176,176,"Chad Collins",87,59.83,283561.5,473946,"PercentageofYardagecoveredbyTeeShots",2010
177,177,"Bryce Molder",84,59.82,276660.1,462500,"PercentageofYardagecoveredbyTeeShots",2010
178,178,"Jim Furyk",76,59.74,228208.6,382023,"PercentageofYardagecoveredbyTeeShots",2010
179,179,"Steve Flesch",78,59.7,245117,410558,"PercentageofYardagecoveredbyTeeShots",2010
180,180,"Richard Johnson",90,59.66,275206.2,461296,"PercentageofYardagecoveredbyTeeShots",2010
181,181,"Ben Curtis",78,59.64,250311.3,419693,"PercentageofYardagecoveredbyTeeShots",2010
182,182,"Alex Cejka",81,59.61,257241.7,431533,"PercentageofYardagecoveredbyTeeShots",2010
182,182,"Greg Kraft",52,59.61,147155.7,246855,"PercentageofYardagecoveredbyTeeShots",2010
184,184,"Tim Clark",88,59.37,256182.1,431471,"PercentageofYardagecoveredbyTeeShots",2010
185,185,"Paul Goydos",78,59.27,248516.2,419312,"PercentageofYardagecoveredbyTeeShots",2010
186,186,"Jeff Quinney",91,59.25,298817.9,504304,"PercentageofYardagecoveredbyTeeShots",2010
186,186,"Omar Uresti",74,59.25,228712.1,385981,"PercentageofYardagecoveredbyTeeShots",2010
188,188,"Luke Donald",71,59.1,199498.8,337559,"PercentageofYardagecoveredbyTeeShots",2010
189,189,"Mike Weir",59,58.82,148260.2,252052,"PercentageofYardagecoveredbyTeeShots",2010
190,190,"Craig Bowden",56,58.55,179470.1,306532,"PercentageofYardagecoveredbyTeeShots",2010
191,191,"Brian Gay",101,58.32,302702.6,519003,"PercentageofYardagecoveredbyTeeShots",2010
192,192,"Brad Faxon",58,57.97,176058.2,303716,"PercentageofYardagecoveredbyTeeShots",2010
