"AverageDistanceofPuttsmade_RANKTHISWEEK_2009","AverageDistanceofPuttsmade_RANKLASTWEEK_2009","AverageDistanceofPuttsmade_PLAYERNAME_2009","AverageDistanceofPuttsmade_ROUNDS_2009","AverageDistanceofPuttsmade_AVG_2009","AverageDistanceofPuttsmade_TOTALDISTINCHES_2009","AverageDistanceofPuttsmade_TOTALROUNDS_2009","AverageDistanceofPuttsmade_AVGDIST_2009","AverageDistanceofPuttsmade_BESTROUND_2009","stat_name","year"
49,49,"Paul Goydos",79,NA,59158,65,NA,NA,"AverageDistanceofPuttsmade",2009
49,49,"Steve Marino",98,NA,76430,84,NA,NA,"AverageDistanceofPuttsmade",2009
51,51,"Bill Lunde",83,NA,68181,75,NA,NA,"AverageDistanceofPuttsmade",2009
51,51,"DA Points",99,NA,78206,86,NA,NA,"AverageDistanceofPuttsmade",2009
53,53,"Lee Janzen",74,NA,55384,61,NA,NA,"AverageDistanceofPuttsmade",2009
53,53,"Zach Johnson",94,NA,71743,79,NA,NA,"AverageDistanceofPuttsmade",2009
53,53,"Kevin Sutherland",96,NA,66306,73,NA,NA,"AverageDistanceofPuttsmade",2009
56,56,"Jeff Quinney",78,NA,64367,71,NA,NA,"AverageDistanceofPuttsmade",2009
56,56,"Marc Turnesa",77,NA,64407,71,NA,NA,"AverageDistanceofPuttsmade",2009
58,58,"Bryce Molder",69,NA,48894,54,NA,NA,"AverageDistanceofPuttsmade",2009
59,59,"Spencer Levin",75,NA,60583,67,NA,NA,"AverageDistanceofPuttsmade",2009
59,59,"Steve Lowery",83,NA,69635,77,NA,NA,"AverageDistanceofPuttsmade",2009
59,59,"Justin Rose",71,NA,50602,56,NA,NA,"AverageDistanceofPuttsmade",2009
62,62,"Jim Furyk",86,NA,58678,65,NA,NA,"AverageDistanceofPuttsmade",2009
63,63,"Kevin Streelman",97,NA,78466,87,NA,NA,"AverageDistanceofPuttsmade",2009
63,63,"David Toms",98,NA,72150,80,NA,NA,"AverageDistanceofPuttsmade",2009
65,65,"Tim Petrovic",97,NA,77441,86,NA,NA,"AverageDistanceofPuttsmade",2009
66,66,"Cameron Beckman",87,NA,67462,75,NA,NA,"AverageDistanceofPuttsmade",2009
66,66,"Lucas Glover",93,NA,71022,79,NA,NA,"AverageDistanceofPuttsmade",2009
68,68,"Harrison Frazar",93,NA,75370,84,NA,NA,"AverageDistanceofPuttsmade",2009
68,68,"Patrick Sheehan",51,NA,35000,39,NA,NA,"AverageDistanceofPuttsmade",2009
70,70,"Brian Vranesh",51,NA,38516,43,NA,NA,"AverageDistanceofPuttsmade",2009
71,71,"Daniel Chopra",89,NA,74154,83,NA,NA,"AverageDistanceofPuttsmade",2009
71,71,"Freddie Jacobson",83,NA,65173,73,NA,NA,"AverageDistanceofPuttsmade",2009
73,73,"Richard Johnson",85,NA,65994,74,NA,NA,"AverageDistanceofPuttsmade",2009
73,73,"Kirk Triplett",60,NA,49056,55,NA,NA,"AverageDistanceofPuttsmade",2009
