"ScoringAverage_RANKTHISWEEK_2012","ScoringAverage_RANKLASTWEEK_2012","ScoringAverage_PLAYERNAME_2012","ScoringAverage_ROUNDS_2012","ScoringAverage_AVG_2012","ScoringAverage_TOTALSTROKES_2012","ScoringAverage_TOTALADJUSTMENT_2012","ScoringAverage_TOTALROUNDS_2012","stat_name","year"
22,22,"John Senden",81,70.05,5487,NA,78,"ScoringAverage",2012
23,23,"Robert Garrigus",89,70.066,6264,NA,89,"ScoringAverage",2012
24,24,"Lee Westwood",60,70.084,3822,NA,54,"ScoringAverage",2012
25,25,"Ernie Els",80,70.131,5519,NA,78,"ScoringAverage",2012
26,26,"Brendon de Jonge",115,70.137,8070,NA,115,"ScoringAverage",2012
27,27,"Jason Day",57,70.152,3895,NA,55,"ScoringAverage",2012
28,28,"Vijay Singh",99,70.156,6984,NA,99,"ScoringAverage",2012
29,29,"Ian Poulter",57,70.176,3965,NA,56,"ScoringAverage",2012
30,30,"Davis Love III",64,70.194,4526,NA,64,"ScoringAverage",2012
31,31,"Jeff Overton",101,70.197,7093,NA,101,"ScoringAverage",2012
32,32,"Graeme McDowell",55,70.229,3829,NA,54,"ScoringAverage",2012
33,33,"Henrik Stenson",51,70.239,3610,NA,51,"ScoringAverage",2012
34,34,"Jonas Blixt",72,70.244,5050,7.585,72,"ScoringAverage",2012
35,35,"Ryan Palmer",81,70.252,5716,NA,81,"ScoringAverage",2012
36,36,"Seung Yul Noh",105,70.256,7120,NA,101,"ScoringAverage",2012
37,37,"Charl Schwartzel",56,70.281,3826,NA,54,"ScoringAverage",2012
38,38,"Ryan Moore",89,70.3,6278,NA,89,"ScoringAverage",2012
39,39,"Hunter Mahan",88,70.346,5823,NA,82,"ScoringAverage",2012
40,40,"Will Claxton",99,70.369,6963,3.547,99,"ScoringAverage",2012
41,41,"Ken Duke",104,70.376,7318,1.081,104,"ScoringAverage",2012
42,42,"Pat Perez",81,70.378,5578,NA,79,"ScoringAverage",2012
43,43,"John Huh",99,70.384,7004,NA,99,"ScoringAverage",2012
44,44,"Charles Howell III",98,70.385,6927,NA,98,"ScoringAverage",2012
45,45,"Scott Piercy",95,70.409,6697,NA,95,"ScoringAverage",2012
46,46,"Greg Chalmers",88,70.417,6169,NA,87,"ScoringAverage",2012
47,47,"Bob Estes",78,70.418,5532,NA,78,"ScoringAverage",2012
48,48,"Roberto Castro",92,70.434,6340,NA,90,"ScoringAverage",2012
49,49,"Geoff Ogilvy",73,70.436,5111,NA,72,"ScoringAverage",2012
50,50,"Greg Owen",90,70.444,6368,NA,90,"ScoringAverage",2012
51,51,"Bud Cauley",99,70.458,6982,NA,99,"ScoringAverage",2012
52,52,"Bill Haas",79,70.484,5519,NA,78,"ScoringAverage",2012
