"AverageApproachDistanceBirdieorBetter_RANKTHISWEEK_2012","AverageApproachDistanceBirdieorBetter_RANKLASTWEEK_2012","AverageApproachDistanceBirdieorBetter_PLAYERNAME_2012","AverageApproachDistanceBirdieorBetter_ROUNDS_2012","AverageApproachDistanceBirdieorBetter_AVGYARDS_2012","AverageApproachDistanceBirdieorBetter_TOTALDISTANCEINCHES_2012","AverageApproachDistanceBirdieorBetter_NUMBEROFAPPROACHSHOTS_2012","stat_name","year"
70,70,"Derek Lamely",64,171.5,1104838,179,"AverageApproachDistanceBirdieorBetter",2012
70,70,"Camilo Villegas",79,171.5,1592802,258,"AverageApproachDistanceBirdieorBetter",2012
73,73,"Matt Every",80,171.7,1570103,254,"AverageApproachDistanceBirdieorBetter",2012
73,73,"John Mallinger",74,171.7,1285379,208,"AverageApproachDistanceBirdieorBetter",2012
73,73,"Rod Pampling",88,171.7,1347355,218,"AverageApproachDistanceBirdieorBetter",2012
76,76,"Robert Allenby",76,171.9,1299818,210,"AverageApproachDistanceBirdieorBetter",2012
77,77,"Miguel Angel Carballo",73,172,1158187,187,"AverageApproachDistanceBirdieorBetter",2012
77,77,"David Hearn",95,172,1838821,297,"AverageApproachDistanceBirdieorBetter",2012
77,77,"Trevor Immelman",76,172,1158048,187,"AverageApproachDistanceBirdieorBetter",2012
77,77,"Greg Owen",90,172,1740036,281,"AverageApproachDistanceBirdieorBetter",2012
81,81,"Kevin Kisner",69,172.2,1103526,178,"AverageApproachDistanceBirdieorBetter",2012
82,82,"Danny Lee",74,172.3,1339638,216,"AverageApproachDistanceBirdieorBetter",2012
83,83,"Scott Brown",65,172.4,1142061,184,"AverageApproachDistanceBirdieorBetter",2012
83,83,"Hunter Haas",69,172.4,1061387,171,"AverageApproachDistanceBirdieorBetter",2012
85,85,"Chris Kirk",93,172.5,1999472,322,"AverageApproachDistanceBirdieorBetter",2012
86,86,"Harrison Frazar",56,172.6,1043634,168,"AverageApproachDistanceBirdieorBetter",2012
86,86,"Stephen Gangluff",57,172.6,751687,121,"AverageApproachDistanceBirdieorBetter",2012
88,88,"Jason Dufner",83,173,1662861,267,"AverageApproachDistanceBirdieorBetter",2012
89,89,"Mark Anderson",75,173.2,1340829,215,"AverageApproachDistanceBirdieorBetter",2012
89,89,"Russell Knox",72,173.2,1191186,191,"AverageApproachDistanceBirdieorBetter",2012
89,89,"Charlie Wi",86,173.2,1565039,251,"AverageApproachDistanceBirdieorBetter",2012
92,92,"Tommy Gainey",98,173.3,2002450,321,"AverageApproachDistanceBirdieorBetter",2012
92,92,"Ryan Palmer",81,173.3,1765681,283,"AverageApproachDistanceBirdieorBetter",2012
92,92,"Tom Pernice Jr",62,173.3,992160,159,"AverageApproachDistanceBirdieorBetter",2012
95,95,"Tommy Biershenk",74,173.4,1285997,206,"AverageApproachDistanceBirdieorBetter",2012
96,96,"Jason Day",57,173.5,1174479,188,"AverageApproachDistanceBirdieorBetter",2012
97,97,"Richard Lee",71,173.6,1287567,206,"AverageApproachDistanceBirdieorBetter",2012
98,98,"Bill Lunde",83,173.7,1525630,244,"AverageApproachDistanceBirdieorBetter",2012
99,99,"Rory McIlroy",60,173.8,1163875,186,"AverageApproachDistanceBirdieorBetter",2012
99,99,"Ryan Moore",89,173.8,1970339,315,"AverageApproachDistanceBirdieorBetter",2012
101,101,"Martin Flores",95,174,1841205,294,"AverageApproachDistanceBirdieorBetter",2012
101,101,"Jason Kokrak",79,174,1434647,229,"AverageApproachDistanceBirdieorBetter",2012
101,101,"Nick Watney",97,174,1847395,295,"AverageApproachDistanceBirdieorBetter",2012
104,104,"KJ Choi",71,174.1,1253830,200,"AverageApproachDistanceBirdieorBetter",2012
105,105,"Blake Adams",107,174.2,2044376,326,"AverageApproachDistanceBirdieorBetter",2012
105,105,"Marc Leishman",84,174.2,1624283,259,"AverageApproachDistanceBirdieorBetter",2012
105,105,"Hunter Mahan",88,174.2,1398165,223,"AverageApproachDistanceBirdieorBetter",2012
105,105,"Johnson Wagner",88,174.2,1699473,271,"AverageApproachDistanceBirdieorBetter",2012
109,109,"Kevin Stadler",85,174.5,1488452,237,"AverageApproachDistanceBirdieorBetter",2012
110,110,"Bobby Gates",87,175.1,1613682,256,"AverageApproachDistanceBirdieorBetter",2012
110,110,"Brandt Snedeker",81,175.1,1601319,254,"AverageApproachDistanceBirdieorBetter",2012
112,112,"Sung Kang",75,175.2,1110293,176,"AverageApproachDistanceBirdieorBetter",2012
113,113,"Jeff Overton",101,175.3,2266124,359,"AverageApproachDistanceBirdieorBetter",2012
114,114,"Ben Crane",73,175.4,1604085,254,"AverageApproachDistanceBirdieorBetter",2012
115,115,"Sangmoon Bae",81,175.5,1314508,208,"AverageApproachDistanceBirdieorBetter",2012
116,116,"Jonathan Byrd",69,175.7,1290069,204,"AverageApproachDistanceBirdieorBetter",2012
116,116,"Bill Haas",79,175.7,1372438,217,"AverageApproachDistanceBirdieorBetter",2012
118,118,"Edward Loar",59,176,880915,139,"AverageApproachDistanceBirdieorBetter",2012
118,118,"DA Points",88,176,1932680,305,"AverageApproachDistanceBirdieorBetter",2012
120,120,"Robert Garrigus",89,176.1,1914913,302,"AverageApproachDistanceBirdieorBetter",2012
120,120,"Spencer Levin",81,176.1,1413532,223,"AverageApproachDistanceBirdieorBetter",2012
122,122,"Davis Love III",64,176.2,1262470,199,"AverageApproachDistanceBirdieorBetter",2012
123,123,"Stewart Cink",71,176.3,1154793,182,"AverageApproachDistanceBirdieorBetter",2012
123,123,"Adam Scott",59,176.3,1047460,165,"AverageApproachDistanceBirdieorBetter",2012
