"FirstTeeEarlyPar5ScoringAverage_RANKTHISWEEK_2011","FirstTeeEarlyPar5ScoringAverage_RANKLASTWEEK_2011","FirstTeeEarlyPar5ScoringAverage_PLAYERNAME_2011","FirstTeeEarlyPar5ScoringAverage_ROUNDS_2011","FirstTeeEarlyPar5ScoringAverage_AVG_2011","FirstTeeEarlyPar5ScoringAverage_TOTALSTROKES_2011","FirstTeeEarlyPar5ScoringAverage_TOTALHOLES_2011","stat_name","year"
143,143,"Camilo Villegas",69,4.76,281,59,"FirstTeeEarlyPar5ScoringAverage",2011
143,143,"Johnson Wagner",81,4.76,376,79,"FirstTeeEarlyPar5ScoringAverage",2011
153,153,"Tommy Gainey",104,4.77,439,92,"FirstTeeEarlyPar5ScoringAverage",2011
153,153,"Scott Gutschewski",67,4.77,339,71,"FirstTeeEarlyPar5ScoringAverage",2011
153,153,"Ben Martin",74,4.77,329,69,"FirstTeeEarlyPar5ScoringAverage",2011
153,153,"Roland Thatcher",67,4.77,305,64,"FirstTeeEarlyPar5ScoringAverage",2011
157,157,"Ricky Barnes",78,4.78,301,63,"FirstTeeEarlyPar5ScoringAverage",2011
157,157,"KJ Choi",77,4.78,191,40,"FirstTeeEarlyPar5ScoringAverage",2011
157,157,"Fabian Gomez",84,4.78,311,65,"FirstTeeEarlyPar5ScoringAverage",2011
157,157,"Lee Janzen",62,4.78,445,93,"FirstTeeEarlyPar5ScoringAverage",2011
157,157,"Bryce Molder",82,4.78,320,67,"FirstTeeEarlyPar5ScoringAverage",2011
157,157,"Kevin Stadler",88,4.78,468,98,"FirstTeeEarlyPar5ScoringAverage",2011
163,163,"Billy Horschel",75,4.79,340,71,"FirstTeeEarlyPar5ScoringAverage",2011
163,163,"Davis Love III",70,4.79,201,42,"FirstTeeEarlyPar5ScoringAverage",2011
163,163,"Zack Miller",86,4.79,436,91,"FirstTeeEarlyPar5ScoringAverage",2011
163,163,"Daniel Summerhays",75,4.79,369,77,"FirstTeeEarlyPar5ScoringAverage",2011
163,163,"Garrett Willis",71,4.79,302,63,"FirstTeeEarlyPar5ScoringAverage",2011
168,168,"Colt Knost",80,4.8,283,59,"FirstTeeEarlyPar5ScoringAverage",2011
168,168,"Shaun Micheel",77,4.8,389,81,"FirstTeeEarlyPar5ScoringAverage",2011
170,170,"Troy Merritt",63,4.81,346,72,"FirstTeeEarlyPar5ScoringAverage",2011
171,171,"Steve Elkington",50,4.82,212,44,"FirstTeeEarlyPar5ScoringAverage",2011
172,172,"Jim Furyk",87,4.83,309,64,"FirstTeeEarlyPar5ScoringAverage",2011
172,172,"David Mathis",83,4.83,415,86,"FirstTeeEarlyPar5ScoringAverage",2011
174,174,"Rich Beem",53,4.84,237,49,"FirstTeeEarlyPar5ScoringAverage",2011
174,174,"Jim Renner",65,4.84,324,67,"FirstTeeEarlyPar5ScoringAverage",2011
176,176,"David Duval",67,4.85,383,79,"FirstTeeEarlyPar5ScoringAverage",2011
176,176,"Richard Johnson",64,4.85,407,84,"FirstTeeEarlyPar5ScoringAverage",2011
176,176,"Rocco Mediate",53,4.85,267,55,"FirstTeeEarlyPar5ScoringAverage",2011
179,179,"Joe Durant",71,4.86,321,66,"FirstTeeEarlyPar5ScoringAverage",2011
179,179,"Hunter Haas",96,4.86,452,93,"FirstTeeEarlyPar5ScoringAverage",2011
181,181,"Tim Petrovic",88,4.87,365,75,"FirstTeeEarlyPar5ScoringAverage",2011
182,182,"Briny Baird",60,4.88,312,64,"FirstTeeEarlyPar5ScoringAverage",2011
183,183,"Matt McQuillan",59,4.89,298,61,"FirstTeeEarlyPar5ScoringAverage",2011
183,183,"Marc Turnesa",54,4.89,259,53,"FirstTeeEarlyPar5ScoringAverage",2011
185,185,"Paul Goydos",81,4.92,300,61,"FirstTeeEarlyPar5ScoringAverage",2011
186,186,"Padraig Harrington",60,4.96,233,47,"FirstTeeEarlyPar5ScoringAverage",2011
