"GIRPuttingAvg3035_RANKTHISWEEK_2009","GIRPuttingAvg3035_RANKLASTWEEK_2009","GIRPuttingAvg3035_PLAYERNAME_2009","GIRPuttingAvg3035_ROUNDS_2009","GIRPuttingAvg3035_PctMADE_2009","GIRPuttingAvg3035_ATTEMPTS_2009","GIRPuttingAvg3035_PUTTSMADE_2009","stat_name","year"
70,70,"Stephen Ames",77,0.7,57,4,"GIRPuttingAvg3035",2009
70,70,"Matt Weibring",65,0.7,43,3,"GIRPuttingAvg3035",2009
72,72,"Adam Scott",53,0.69,29,2,"GIRPuttingAvg3035",2009
72,72,"Mark Wilson",99,0.69,58,4,"GIRPuttingAvg3035",2009
74,74,"KJ Choi",65,0.68,44,3,"GIRPuttingAvg3035",2009
74,74,"Steve Elkington",70,0.68,59,4,"GIRPuttingAvg3035",2009
76,76,"Davis Love III",89,0.67,60,4,"GIRPuttingAvg3035",2009
77,77,"Mark Calcavecchia",72,0.66,61,4,"GIRPuttingAvg3035",2009
77,77,"George McNeill",82,0.66,76,5,"GIRPuttingAvg3035",2009
79,79,"Sergio Garcia",59,0.65,46,3,"GIRPuttingAvg3035",2009
79,79,"Charley Hoffman",97,0.65,77,5,"GIRPuttingAvg3035",2009
81,81,"Dustin Johnson",85,0.64,47,3,"GIRPuttingAvg3035",2009
81,81,"Billy Mayfair",83,0.64,47,3,"GIRPuttingAvg3035",2009
83,83,"Cameron Beckman",87,0.63,64,4,"GIRPuttingAvg3035",2009
83,83,"Kevin Na",91,0.63,63,4,"GIRPuttingAvg3035",2009
83,83,"Joe Ogilvie",85,0.63,63,4,"GIRPuttingAvg3035",2009
86,86,"David Toms",98,0.62,65,4,"GIRPuttingAvg3035",2009
87,87,"Kent Jones",73,0.61,66,4,"GIRPuttingAvg3035",2009
87,87,"Nick OHern",90,0.61,82,5,"GIRPuttingAvg3035",2009
87,87,"Jeff Overton",92,0.61,66,4,"GIRPuttingAvg3035",2009
87,87,"Tim Petrovic",97,0.61,66,4,"GIRPuttingAvg3035",2009
91,91,"John Senden",100,0.6,83,5,"GIRPuttingAvg3035",2009
92,92,"Chad Campbell",90,0.59,51,3,"GIRPuttingAvg3035",2009
92,92,"DA Points",99,0.59,85,5,"GIRPuttingAvg3035",2009
94,94,"Charles Howell III",99,0.58,69,4,"GIRPuttingAvg3035",2009
94,94,"Michael Letzig",96,0.58,69,4,"GIRPuttingAvg3035",2009
96,96,"Chris DiMarco",97,0.57,70,4,"GIRPuttingAvg3035",2009
96,96,"Steve Marino",98,0.57,70,4,"GIRPuttingAvg3035",2009
98,98,"Brad Adamonis",70,0.56,54,3,"GIRPuttingAvg3035",2009
98,98,"Briny Baird",89,0.56,72,4,"GIRPuttingAvg3035",2009
98,98,"Jeff Maggert",79,0.56,54,3,"GIRPuttingAvg3035",2009
98,98,"Scott McCarron",91,0.56,90,5,"GIRPuttingAvg3035",2009
102,102,"Glen Day",79,0.55,55,3,"GIRPuttingAvg3035",2009
102,102,"JJ Henry",97,0.55,73,4,"GIRPuttingAvg3035",2009
102,102,"Hunter Mahan",94,0.55,73,4,"GIRPuttingAvg3035",2009
105,105,"Chris Riley",77,0.54,56,3,"GIRPuttingAvg3035",2009
106,106,"Ernie Els",70,0.53,38,2,"GIRPuttingAvg3035",2009
106,106,"Steve Flesch",77,0.53,57,3,"GIRPuttingAvg3035",2009
106,106,"Todd Hamilton",83,0.53,57,3,"GIRPuttingAvg3035",2009
109,109,"Tom Pernice Jr",82,0.51,59,3,"GIRPuttingAvg3035",2009
109,109,"Chez Reavie",81,0.51,59,3,"GIRPuttingAvg3035",2009
109,109,"Kirk Triplett",60,0.51,39,2,"GIRPuttingAvg3035",2009
112,112,"Rich Beem",77,0.5,40,2,"GIRPuttingAvg3035",2009
112,112,"Brendon de Jonge",90,0.5,60,3,"GIRPuttingAvg3035",2009
112,112,"Chris Stroud",88,0.5,60,3,"GIRPuttingAvg3035",2009
112,112,"Mike Weir",85,0.5,60,3,"GIRPuttingAvg3035",2009
116,116,"Charlie Wi",92,0.49,61,3,"GIRPuttingAvg3035",2009
117,117,"Brian Bateman",55,0.48,42,2,"GIRPuttingAvg3035",2009
117,117,"Andres Romero",58,0.48,42,2,"GIRPuttingAvg3035",2009
119,119,"Kevin Sutherland",96,0.47,64,3,"GIRPuttingAvg3035",2009
119,119,"Bubba Watson",73,0.47,43,2,"GIRPuttingAvg3035",2009
119,119,"Gary Woodland",53,0.47,43,2,"GIRPuttingAvg3035",2009
122,122,"Justin Leonard",95,0.46,65,3,"GIRPuttingAvg3035",2009
123,123,"Eric Axley",71,0.45,44,2,"GIRPuttingAvg3035",2009
123,123,"Webb Simpson",94,0.45,67,3,"GIRPuttingAvg3035",2009
123,123,"Jay Williamson",69,0.45,44,2,"GIRPuttingAvg3035",2009
126,126,"Bill Haas",91,0.44,68,3,"GIRPuttingAvg3035",2009
126,126,"Casey Wittenberg",71,0.44,45,2,"GIRPuttingAvg3035",2009
128,128,"Troy Matteson",95,0.43,92,4,"GIRPuttingAvg3035",2009
129,129,"Tommy Armour III",58,0.41,49,2,"GIRPuttingAvg3035",2009
129,129,"Nick Watney",86,0.41,74,3,"GIRPuttingAvg3035",2009
131,131,"Camilo Villegas",76,0.4,50,2,"GIRPuttingAvg3035",2009
132,132,"Heath Slocum",95,0.39,76,3,"GIRPuttingAvg3035",2009
133,133,"Ryuji Imada",85,0.38,52,2,"GIRPuttingAvg3035",2009
133,133,"Greg Owen",97,0.38,80,3,"GIRPuttingAvg3035",2009
133,133,"YE Yang",83,0.38,52,2,"GIRPuttingAvg3035",2009
136,136,"Jonathan Byrd",89,0.36,55,2,"GIRPuttingAvg3035",2009
136,136,"Alex Cejka",82,0.36,56,2,"GIRPuttingAvg3035",2009
136,136,"Tag Ridings",50,0.36,28,1,"GIRPuttingAvg3035",2009
139,139,"Kevin Streelman",97,0.35,85,3,"GIRPuttingAvg3035",2009
139,139,"Jimmy Walker",74,0.35,57,2,"GIRPuttingAvg3035",2009
141,141,"Tom Lehman",55,0.34,29,1,"GIRPuttingAvg3035",2009
141,141,"Charles Warren",63,0.34,59,2,"GIRPuttingAvg3035",2009
143,143,"Nathan Green",104,0.33,90,3,"GIRPuttingAvg3035",2009
143,143,"Ryan Palmer",78,0.33,61,2,"GIRPuttingAvg3035",2009
143,143,"Bo Van Pelt",100,0.33,60,2,"GIRPuttingAvg3035",2009
143,143,"Brian Vranesh",51,0.33,30,1,"GIRPuttingAvg3035",2009
147,147,"Ian Poulter",59,0.32,31,1,"GIRPuttingAvg3035",2009
147,147,"Nicholas Thompson",96,0.32,93,3,"GIRPuttingAvg3035",2009
147,147,"Scott Verplank",88,0.32,63,2,"GIRPuttingAvg3035",2009
150,150,"Aron Price",89,0.31,65,2,"GIRPuttingAvg3035",2009
151,151,"Zach Johnson",94,0.3,67,2,"GIRPuttingAvg3035",2009
151,151,"Patrick Sheehan",51,0.3,33,1,"GIRPuttingAvg3035",2009
151,151,"Peter Tomasulo",61,0.3,33,1,"GIRPuttingAvg3035",2009
154,154,"Brian Gay",96,0.29,70,2,"GIRPuttingAvg3035",2009
154,154,"Peter Lonard",86,0.29,70,2,"GIRPuttingAvg3035",2009
156,156,"Matt Bettencourt",98,0.28,72,2,"GIRPuttingAvg3035",2009
156,156,"Bob Heintz",59,0.28,36,1,"GIRPuttingAvg3035",2009
158,158,"Matt Jones",56,0.27,37,1,"GIRPuttingAvg3035",2009
158,158,"Marc Leishman",91,0.27,75,2,"GIRPuttingAvg3035",2009
160,160,"Ricky Barnes",67,0.26,39,1,"GIRPuttingAvg3035",2009
160,160,"Cliff Kresge",78,0.26,39,1,"GIRPuttingAvg3035",2009
162,162,"Stewart Cink",79,0.24,41,1,"GIRPuttingAvg3035",2009
162,162,"Tim Clark",81,0.24,41,1,"GIRPuttingAvg3035",2009
162,162,"Jason Gore",74,0.24,42,1,"GIRPuttingAvg3035",2009
162,162,"Jarrod Lyle",65,0.24,41,1,"GIRPuttingAvg3035",2009
162,162,"Will Ma Kenzie",69,0.24,41,1,"GIRPuttingAvg3035",2009
167,167,"Joe Durant",62,0.23,43,1,"GIRPuttingAvg3035",2009
167,167,"JB Holmes",74,0.23,44,1,"GIRPuttingAvg3035",2009
167,167,"Rick Price",54,0.23,43,1,"GIRPuttingAvg3035",2009
170,170,"Ken Duke",87,0.21,47,1,"GIRPuttingAvg3035",2009
171,171,"Jerry Kelly",90,0.2,50,1,"GIRPuttingAvg3035",2009
172,172,"Stuart Appleby",79,0.19,54,1,"GIRPuttingAvg3035",2009
173,173,"Robert Allenby",71,0.18,57,1,"GIRPuttingAvg3035",2009
173,173,"Boo Weekley",79,0.18,56,1,"GIRPuttingAvg3035",2009
173,173,"Dean Wilson",81,0.18,56,1,"GIRPuttingAvg3035",2009
176,176,"Lucas Glover",93,0.17,59,1,"GIRPuttingAvg3035",2009
176,176,"Sean OHair",80,0.17,58,1,"GIRPuttingAvg3035",2009
178,178,"Tim Herron",87,0.16,63,1,"GIRPuttingAvg3035",2009
178,178,"Freddie Jacobson",83,0.16,61,1,"GIRPuttingAvg3035",2009
180,180,"Jason Bohn",88,0.12,85,1,"GIRPuttingAvg3035",2009
181,181,"Mathew Goggin",76,0,65,NA,"GIRPuttingAvg3035",2009
181,181,"David Mathis",82,0,46,NA,"GIRPuttingAvg3035",2009
181,181,"John Merrick",91,0,57,NA,"GIRPuttingAvg3035",2009
181,181,"Scott Sterling",51,0,36,NA,"GIRPuttingAvg3035",2009
