"RyderCupEuroPoints_RANKTHISWEEK_2010","RyderCupEuroPoints_RANKLASTWEEK_2010","RyderCupEuroPoints_PLAYERNAME_2010","RyderCupEuroPoints__2010","RyderCupEuroPoints_POINTS_2010","stat_name","year"
132,NA,"Jose Filipe Lima",NA,64227.99,"RyderCupEuroPoints",2010
133,NA,"Julien Quesne",NA,61980.06,"RyderCupEuroPoints",2010
134,NA,"Joakim Haeggman",NA,60809.23,"RyderCupEuroPoints",2010
135,NA,"Seve Benson",NA,59652.75,"RyderCupEuroPoints",2010
136,NA,"Emanuele Canonica",NA,59613.6,"RyderCupEuroPoints",2010
137,NA,"Charles Edouard Russo",NA,57540,"RyderCupEuroPoints",2010
138,NA,"George Murray",NA,55920,"RyderCupEuroPoints",2010
139,NA,"Gary Orr",NA,55793.75,"RyderCupEuroPoints",2010
140,NA,"Alvaro Velasco",NA,54387.17,"RyderCupEuroPoints",2010
141,NA,"Magnus Carlsson",NA,52991.11,"RyderCupEuroPoints",2010
142,NA,"Mads Vibe Hastrup",NA,46909.68,"RyderCupEuroPoints",2010
143,NA,"Julien Clement",NA,45515,"RyderCupEuroPoints",2010
144,NA,"Jose Maria Olazabal",NA,43112.5,"RyderCupEuroPoints",2010
145,NA,"Colm Moriarty",NA,41388.8,"RyderCupEuroPoints",2010
146,NA,"Steven Jeppesen",NA,41384,"RyderCupEuroPoints",2010
147,NA,"Gary Clark",NA,36331.9,"RyderCupEuroPoints",2010
148,NA,"Carl Suneson",NA,36077,"RyderCupEuroPoints",2010
149,NA,"Santiago Luna",NA,35580,"RyderCupEuroPoints",2010
151,NA,"Simon Wakefield",NA,33700,"RyderCupEuroPoints",2010
152,NA,"Lee Slattery",NA,31976.21,"RyderCupEuroPoints",2010
153,NA,"Bernhard Langer",NA,31328.92,"RyderCupEuroPoints",2010
155,NA,"Peter Baker",NA,29062.5,"RyderCupEuroPoints",2010
156,NA,"Carlos Rodiles",NA,28945,"RyderCupEuroPoints",2010
157,NA,"John Bickerton",NA,27774.84,"RyderCupEuroPoints",2010
158,NA,"Neil Cheetham",NA,26247,"RyderCupEuroPoints",2010
159,NA,"Steven Tiley",NA,25472.96,"RyderCupEuroPoints",2010
160,NA,"Gabriel Canizares",NA,25133.33,"RyderCupEuroPoints",2010
162,NA,"Alexandre Kaleka",NA,24315,"RyderCupEuroPoints",2010
164,NA,"Stuart Manley",NA,23500,"RyderCupEuroPoints",2010
166,NA,"Andrew Marshall",NA,23197.73,"RyderCupEuroPoints",2010
167,NA,"John Morgan",NA,22300,"RyderCupEuroPoints",2010
168,NA,"Brian Davis",NA,21429.74,"RyderCupEuroPoints",2010
169,NA,"Alan McLean",NA,20626.83,"RyderCupEuroPoints",2010
170,NA,"Bernd Wiesberger",NA,18171.87,"RyderCupEuroPoints",2010
171,NA,"Jean Francois Remesy",NA,17800,"RyderCupEuroPoints",2010
173,NA,"Chris Gane",NA,16086.84,"RyderCupEuroPoints",2010
174,NA,"Zane Scotland",NA,14760.96,"RyderCupEuroPoints",2010
176,NA,"Fredrik Henge",NA,14180,"RyderCupEuroPoints",2010
177,NA,"Jamie McLeary",NA,14150,"RyderCupEuroPoints",2010
180,NA,"Jan Are Larsen",NA,11620,"RyderCupEuroPoints",2010
181,NA,"Tom Whitehouse",NA,10747.36,"RyderCupEuroPoints",2010
183,NA,"Sam Walker",NA,10310.97,"RyderCupEuroPoints",2010
184,NA,"Steve Lewton",NA,10103.33,"RyderCupEuroPoints",2010
185,NA,"Garry Houston",NA,9939.95,"RyderCupEuroPoints",2010
186,NA,"Thomas Feyrsinger",NA,9580,"RyderCupEuroPoints",2010
187,NA,"Mikko Korhonen",NA,9580,"RyderCupEuroPoints",2010
189,NA,"Andrew Willey",NA,8050,"RyderCupEuroPoints",2010
190,NA,"Ben Evans",NA,8040,"RyderCupEuroPoints",2010
193,NA,"Jesus Maria Arruti",NA,7820,"RyderCupEuroPoints",2010
194,NA,"Inder Van Weerelt",NA,7811.11,"RyderCupEuroPoints",2010
196,NA,"Wil Besseling",NA,7380.5,"RyderCupEuroPoints",2010
197,NA,"Philip Golding",NA,7370,"RyderCupEuroPoints",2010
198,NA,"Benoit Telleria",NA,7370,"RyderCupEuroPoints",2010
199,NA,"Nicholas Redfern",NA,7314.51,"RyderCupEuroPoints",2010
200,NA,"Luis Claverie",NA,6213.2,"RyderCupEuroPoints",2010
