"PuttsperRoundRound1_RANKTHISWEEK_2009","PuttsperRoundRound1_RANKLASTWEEK_2009","PuttsperRoundRound1_PLAYERNAME_2009","PuttsperRoundRound1__2009","PuttsperRoundRound1_AVG_2009","PuttsperRoundRound1_TOTALPUTTS_2009","PuttsperRoundRound1_TOTALROUNDS_2009","stat_name","year"
167,167,"JB Holmes",NA,30.12,753,25,"PuttsperRoundRound1",2009
168,168,"Scott Piercy",NA,30.22,816,27,"PuttsperRoundRound1",2009
169,169,"Glen Day",NA,30.25,726,24,"PuttsperRoundRound1",2009
170,170,"Brian Vranesh",NA,30.28,545,18,"PuttsperRoundRound1",2009
171,171,"Rory Sabbatini",NA,30.29,727,24,"PuttsperRoundRound1",2009
172,172,"Will Ma Kenzie",NA,30.33,728,24,"PuttsperRoundRound1",2009
173,173,"JJ Henry",NA,30.37,820,27,"PuttsperRoundRound1",2009
174,174,"Ernie Els",NA,30.39,547,18,"PuttsperRoundRound1",2009
175,175,"Brendon Todd",NA,30.45,609,20,"PuttsperRoundRound1",2009
176,176,"Joe Durant",NA,30.5,549,18,"PuttsperRoundRound1",2009
176,176,"Adam Scott",NA,30.5,549,18,"PuttsperRoundRound1",2009
178,178,"Robert Allenby",NA,30.55,611,20,"PuttsperRoundRound1",2009
178,178,"Marc Turnesa",NA,30.55,886,29,"PuttsperRoundRound1",2009
180,180,"Gary Woodland",NA,30.56,489,16,"PuttsperRoundRound1",2009
181,181,"Tom Lehman",NA,30.6,459,15,"PuttsperRoundRound1",2009
182,182,"Billy Mayfair",NA,30.68,859,28,"PuttsperRoundRound1",2009
183,183,"Jay Williamson",NA,30.75,615,20,"PuttsperRoundRound1",2009
184,184,"Peter Tomasulo",NA,30.87,710,23,"PuttsperRoundRound1",2009
