"Approachesfrominside100yards_RANKTHISWEEK_2007","Approachesfrominside100yards_RANKLASTWEEK_2007","Approachesfrominside100yards_PLAYERNAME_2007","Approachesfrominside100yards_ROUNDS_2007","Approachesfrominside100yards_AVG_2007","Approachesfrominside100yards_TOTALDISTANCEFEET_2007","Approachesfrominside100yards_OFATTEMPTS_2007","Approachesfrominside100yards_RELATIVETOPAR_2007","stat_name","year"
128,128,"Chris Couch",76,NA,1761.5,98,-0.05,"Approachesfrominside100yards",2007
128,128,"Jeff Quinney",95,NA,2047.75,114,0.05,"Approachesfrominside100yards",2007
131,131,"Tommy Armour III",81,NA,1953.417,108,-0.19,"Approachesfrominside100yards",2007
131,131,"Aaron Baddeley",83,NA,1341.083,74,-0.04,"Approachesfrominside100yards",2007
131,131,"Craig Lile",77,NA,1664.667,92,-0.11,"Approachesfrominside100yards",2007
131,131,"Jason Schultz",63,NA,1028.667,57,-0.09,"Approachesfrominside100yards",2007
135,135,"Briny Baird",115,NA,2509.167,138,-0.09,"Approachesfrominside100yards",2007
135,135,"DJ Brigman",67,NA,1199.417,66,0.05,"Approachesfrominside100yards",2007
135,135,"Bo Van Pelt",104,NA,2234.833,123,-0.17,"Approachesfrominside100yards",2007
135,135,"Charles Warren",101,NA,1891.417,104,-0.14,"Approachesfrominside100yards",2007
139,139,"Brian Bateman",55,NA,985.5,54,-0.04,"Approachesfrominside100yards",2007
139,139,"Todd Hamilton",76,NA,1513.583,83,-0.02,"Approachesfrominside100yards",2007
139,139,"Matt Hendrix",63,NA,1312.333,72,0,"Approachesfrominside100yards",2007
139,139,"Zach Johnson",76,NA,1459.083,80,-0.06,"Approachesfrominside100yards",2007
139,139,"Boo Weekley",101,NA,1949.667,107,-0.11,"Approachesfrominside100yards",2007
144,144,"Steve Elkington",87,NA,1958.833,107,-0.15,"Approachesfrominside100yards",2007
144,144,"Scott Gutschewski",67,NA,1284.25,70,-0.19,"Approachesfrominside100yards",2007
144,144,"Joe Ogilvie",102,NA,2529.083,138,-0.13,"Approachesfrominside100yards",2007
144,144,"Ryan Palmer",91,NA,1812.667,99,0.06,"Approachesfrominside100yards",2007
144,144,"Michael Sim",52,NA,1556.583,85,-0.21,"Approachesfrominside100yards",2007
144,144,"Kevin Sutherland",85,NA,1336.083,73,-0.15,"Approachesfrominside100yards",2007
