"ProximitytoHolefromOtherLocations_RANKTHISWEEK_2011","ProximitytoHolefromOtherLocations_RANKLASTWEEK_2011","ProximitytoHolefromOtherLocations_PLAYERNAME_2011","ProximitytoHolefromOtherLocations_ROUNDS_2011","ProximitytoHolefromOtherLocations_AVGDTP_2011","ProximitytoHolefromOtherLocations_TOTALDISTANCEFEET_2011","ProximitytoHolefromOtherLocations_OFSHOTS_2011","ProximitytoHolefromOtherLocations_SCRAMBLINGRANK_2011","stat_name","year"
171,171,"Joseph Bramlett",73,NA,11.742,125,119,"ProximitytoHolefromOtherLocations",2011
171,171,"Justin Hicks",60,NA,8.864,94,185,"ProximitytoHolefromOtherLocations",2011
173,173,"Tommy Gainey",104,NA,16.313,171,133,"ProximitytoHolefromOtherLocations",2011
173,173,"Robert Karlsson",61,NA,6.454,68,40,"ProximitytoHolefromOtherLocations",2011
173,173,"Marc Turnesa",54,NA,6.808,72,171,"ProximitytoHolefromOtherLocations",2011
173,173,"Jhonattan Vegas",84,NA,11.827,124,148,"ProximitytoHolefromOtherLocations",2011
177,177,"John Senden",94,NA,13.082,135,145,"ProximitytoHolefromOtherLocations",2011
178,178,"Brandt Jobe",100,NA,12.805,131,67,"ProximitytoHolefromOtherLocations",2011
179,179,"Anthony Kim",72,NA,11.746,119,75,"ProximitytoHolefromOtherLocations",2011
180,180,"Kent Jones",76,NA,10.983,110,151,"ProximitytoHolefromOtherLocations",2011
181,181,"Robert Allenby",84,NA,10.248,101,66,"ProximitytoHolefromOtherLocations",2011
182,182,"Tag Ridings",87,NA,16.6,163,134,"ProximitytoHolefromOtherLocations",2011
183,183,"Scott McCarron",65,NA,11.859,113,36,"ProximitytoHolefromOtherLocations",2011
184,184,"Billy Horschel",75,NA,14.956,141,159,"ProximitytoHolefromOtherLocations",2011
185,185,"Chez Reavie",92,NA,16.827,156,140,"ProximitytoHolefromOtherLocations",2011
186,186,"Martin Piller",63,NA,12.187,110,172,"ProximitytoHolefromOtherLocations",2011
