"BallSpeed_RANKTHISWEEK_2009","BallSpeed_RANKLASTWEEK_2009","BallSpeed_PLAYERNAME_2009","BallSpeed_ROUNDS_2009","BallSpeed_AVG_2009","BallSpeed_TOTALBALLSPEED_2009","BallSpeed_TOTALATTEMPTS_2009","BallSpeed_FASTESTSPEED_2009","BallSpeed_SLOWESTSPEED_2009","stat_name","year"
88,88,"Joe Durant",62,165.77,7791.15,47,170.54,159.13,"BallSpeed",2009
88,88,"Kenny Perry",92,165.77,13427.33,81,170.43,140.43,"BallSpeed",2009
90,90,"Bob Estes",78,165.63,12256.73,74,170.46,159.14,"BallSpeed",2009
91,91,"Bill Lunde",83,165.58,12583.82,76,168.59,158.04,"BallSpeed",2009
91,91,"Jarrod Lyle",65,165.58,8278.98,50,170.97,155.15,"BallSpeed",2009
93,93,"Nathan Green",104,165.47,15057.94,91,173.35,153.84,"BallSpeed",2009
94,94,"Johnson Wagner",81,165.39,12238.76,74,169.6,161.29,"BallSpeed",2009
95,95,"Ken Duke",87,165.27,9916.43,60,171.22,160.16,"BallSpeed",2009
96,96,"Todd Hamilton",83,165.2,10407.38,63,171.75,157.71,"BallSpeed",2009
97,97,"Justin Rose",71,165.13,9247.47,56,171.72,158.41,"BallSpeed",2009
98,98,"Scott McCarron",91,165.07,12875.32,78,172.45,158.54,"BallSpeed",2009
99,99,"Woody Austin",84,164.96,13197.07,80,169.3,159.01,"BallSpeed",2009
100,100,"Charlie Wi",92,164.83,13186.05,80,169.58,153.97,"BallSpeed",2009
101,101,"Brian Bateman",55,164.71,8235.25,50,169.7,158.04,"BallSpeed",2009
101,101,"Steve Stricker",81,164.71,11364.99,69,170.01,160.38,"BallSpeed",2009
