"Front9Round1ScoringAverage_RANKTHISWEEK_2005","Front9Round1ScoringAverage_RANKLASTWEEK_2005","Front9Round1ScoringAverage_PLAYERNAME_2005","Front9Round1ScoringAverage__2005","Front9Round1ScoringAverage_AVG_2005","Front9Round1ScoringAverage_TOTALSTROKES_2005","Front9Round1ScoringAverage_TOTALROUNDS_2005","stat_name","year"
184,184,"Rich Beem",NA,36.16,904,25,"Front9Round1ScoringAverage",2005
185,185,"Jeff Hart",NA,36.18,796,22,"Front9Round1ScoringAverage",2005
185,185,"Freddie Jacobson",NA,36.18,796,22,"Front9Round1ScoringAverage",2005
185,185,"John Senden",NA,36.18,1013,28,"Front9Round1ScoringAverage",2005
188,188,"Ben Curtis",NA,36.21,869,24,"Front9Round1ScoringAverage",2005
189,189,"Tjaart van der Walt",NA,36.26,689,19,"Front9Round1ScoringAverage",2005
190,190,"Jay Haas",NA,36.33,545,15,"Front9Round1ScoringAverage",2005
191,191,"Kevin Stadler",NA,36.38,1164,32,"Front9Round1ScoringAverage",2005
192,192,"Glen Hnatiuk",NA,36.4,728,20,"Front9Round1ScoringAverage",2005
192,192,"Charles Warren",NA,36.4,1092,30,"Front9Round1ScoringAverage",2005
194,194,"Hank Kuehne",NA,36.41,1056,29,"Front9Round1ScoringAverage",2005
195,195,"Matt Davidson",NA,36.5,730,20,"Front9Round1ScoringAverage",2005
196,196,"Rob Rashell",NA,36.52,913,25,"Front9Round1ScoringAverage",2005
197,197,"Danny Briggs",NA,36.56,987,27,"Front9Round1ScoringAverage",2005
198,198,"Mark Brooks",NA,36.57,1024,28,"Front9Round1ScoringAverage",2005
199,199,"Craig Perks",NA,36.58,951,26,"Front9Round1ScoringAverage",2005
200,200,"Thomas Levet",NA,36.63,696,19,"Front9Round1ScoringAverage",2005
201,201,"Len Mattiace",NA,36.85,1216,33,"Front9Round1ScoringAverage",2005
202,202,"Bradley Hughes",NA,37.45,749,20,"Front9Round1ScoringAverage",2005
