"FirstTeeEarlyScoringAverage_RANKTHISWEEK_2010","FirstTeeEarlyScoringAverage_RANKLASTWEEK_2010","FirstTeeEarlyScoringAverage_PLAYERNAME_2010","FirstTeeEarlyScoringAverage_ROUNDS_2010","FirstTeeEarlyScoringAverage_AVG_2010","FirstTeeEarlyScoringAverage_TOTALSTROKES_2010","FirstTeeEarlyScoringAverage_TOTEARLYRDS1STTEE_2010","stat_name","year"
178,178,"Justin Bolli",55,71.8,1077,15,"FirstTeeEarlyScoringAverage",2010
179,179,"Tim Herron",79,71.81,1867,26,"FirstTeeEarlyScoringAverage",2010
179,179,"Kenny Perry",69,71.81,1508,21,"FirstTeeEarlyScoringAverage",2010
181,181,"Scott Verplank",74,71.84,2299,32,"FirstTeeEarlyScoringAverage",2010
182,182,"Roger Tambellini",77,71.87,1653,23,"FirstTeeEarlyScoringAverage",2010
183,183,"Kevin Johnson",62,71.9,1438,20,"FirstTeeEarlyScoringAverage",2010
184,184,"Chris Wilson",65,72.05,1369,19,"FirstTeeEarlyScoringAverage",2010
185,185,"Mike Weir",59,72.06,1225,17,"FirstTeeEarlyScoringAverage",2010
186,186,"Troy Merritt",86,72.13,1731,24,"FirstTeeEarlyScoringAverage",2010
187,187,"Nathan Green",86,72.18,2021,28,"FirstTeeEarlyScoringAverage",2010
188,188,"Jeff Gove",57,72.24,1228,17,"FirstTeeEarlyScoringAverage",2010
189,189,"Andrew McLardy",52,72.38,1158,16,"FirstTeeEarlyScoringAverage",2010
190,190,"David Duval",71,72.62,1525,21,"FirstTeeEarlyScoringAverage",2010
191,191,"Vance Veazey",58,72.88,1239,17,"FirstTeeEarlyScoringAverage",2010
192,192,"Greg Kraft",52,74.25,891,12,"FirstTeeEarlyScoringAverage",2010
