"FedExCupPointsperEventLeaders_RANKTHISWEEK_2010","FedExCupPointsperEventLeaders_RANKLASTWEEK_2010","FedExCupPointsperEventLeaders_PLAYERNAME_2010","FedExCupPointsperEventLeaders_EVENTS_2010","FedExCupPointsperEventLeaders_POINTSPEREVENT_2010","FedExCupPointsperEventLeaders_TOTALPOINTS_2010","stat_name","year"
121,121,"Josh Teater",25,20.076,501.89,"FedExCupPointsperEventLeaders",2010
122,122,"Kevin Streelman",23,20.005,460.11,"FedExCupPointsperEventLeaders",2010
123,123,"Webb Simpson",24,19.917,478.007,"FedExCupPointsperEventLeaders",2010
124,124,"Kirk Triplett",10,19.9,199,"FedExCupPointsperEventLeaders",2010
125,125,"Jonathan Byrd",21,19.778,415.347,"FedExCupPointsperEventLeaders",2010
126,126,"Michael Letzig",21,19.761,414.971,"FedExCupPointsperEventLeaders",2010
127,127,"Arjun Atwal",10,19.189,191.89,"FedExCupPointsperEventLeaders",2010
128,128,"Mike Weir",19,18.966,360.353,"FedExCupPointsperEventLeaders",2010
129,129,"Matt Every",17,18.941,321.99,"FedExCupPointsperEventLeaders",2010
130,130,"Nathan Green",22,18.823,414.1,"FedExCupPointsperEventLeaders",2010
131,131,"Bill Lunde",24,18.7,448.805,"FedExCupPointsperEventLeaders",2010
132,132,"Michael Allen",13,18.673,242.75,"FedExCupPointsperEventLeaders",2010
133,133,"Tom Pernice Jr",18,18.409,331.367,"FedExCupPointsperEventLeaders",2010
134,134,"John Merrick",25,17.96,449,"FedExCupPointsperEventLeaders",2010
135,135,"Shane Bertsch",3,17.82,53.46,"FedExCupPointsperEventLeaders",2010
136,136,"Trevor Immelman",15,17.764,266.46,"FedExCupPointsperEventLeaders",2010
137,137,"Matt Bettencourt",27,17.491,472.25,"FedExCupPointsperEventLeaders",2010
138,138,"Joe Ogilvie",26,17.445,453.56,"FedExCupPointsperEventLeaders",2010
139,139,"Scott Piercy",22,17.294,380.46,"FedExCupPointsperEventLeaders",2010
140,140,"Kevin Stadler",23,17.137,394.14,"FedExCupPointsperEventLeaders",2010
141,141,"Woody Austin",23,17.123,393.834,"FedExCupPointsperEventLeaders",2010
142,142,"Graham DeLaet",23,17.076,392.745,"FedExCupPointsperEventLeaders",2010
143,143,"Jeev Milkha Singh",15,16.867,253,"FedExCupPointsperEventLeaders",2010
144,144,"Chris Stroud",22,16.768,368.893,"FedExCupPointsperEventLeaders",2010
145,145,"James Driscoll",21,16.211,340.43,"FedExCupPointsperEventLeaders",2010
146,146,"Jeff Quinney",24,15.76,378.25,"FedExCupPointsperEventLeaders",2010
147,147,"Michael Connell",20,15.679,313.576,"FedExCupPointsperEventLeaders",2010
148,148,"Michael Bradley",20,15.311,306.22,"FedExCupPointsperEventLeaders",2010
149,149,"Jarrod Lyle",15,15.106,226.583,"FedExCupPointsperEventLeaders",2010
150,150,"Mark Wilson",23,14.907,342.87,"FedExCupPointsperEventLeaders",2010
151,151,"Will Ma Kenzie",18,14.849,267.283,"FedExCupPointsperEventLeaders",2010
152,152,"Jay Williamson",19,14.754,280.32,"FedExCupPointsperEventLeaders",2010
153,153,"Scott McCarron",24,14.733,353.583,"FedExCupPointsperEventLeaders",2010
154,154,"Richard Johnson",22,14.693,323.25,"FedExCupPointsperEventLeaders",2010
155,155,"George McNeill",23,14.689,337.85,"FedExCupPointsperEventLeaders",2010
156,156,"Chris DiMarco",20,14.31,286.2,"FedExCupPointsperEventLeaders",2010
157,157,"Billy Mayfair",22,14.278,314.111,"FedExCupPointsperEventLeaders",2010
