"TenthTeeLatePar3ScoringAverage_RANKTHISWEEK_2009","TenthTeeLatePar3ScoringAverage_RANKLASTWEEK_2009","TenthTeeLatePar3ScoringAverage_PLAYERNAME_2009","TenthTeeLatePar3ScoringAverage_ROUNDS_2009","TenthTeeLatePar3ScoringAverage_AVG_2009","TenthTeeLatePar3ScoringAverage_TOTALSTROKES_2009","TenthTeeLatePar3ScoringAverage_TOTALHOLES_2009","stat_name","year"
20,20,"Bryce Molder",69,2.97,178,60,"TenthTeeLatePar3ScoringAverage",2009
20,20,"Bo Van Pelt",100,2.97,258,87,"TenthTeeLatePar3ScoringAverage",2009
25,25,"Steve Elkington",70,2.98,155,52,"TenthTeeLatePar3ScoringAverage",2009
25,25,"Matt Jones",56,2.98,122,41,"TenthTeeLatePar3ScoringAverage",2009
25,25,"David Mathis",82,2.98,179,60,"TenthTeeLatePar3ScoringAverage",2009
25,25,"Webb Simpson",94,2.98,170,57,"TenthTeeLatePar3ScoringAverage",2009
25,25,"Charles Warren",63,2.98,134,45,"TenthTeeLatePar3ScoringAverage",2009
25,25,"Casey Wittenberg",71,2.98,182,61,"TenthTeeLatePar3ScoringAverage",2009
31,31,"Chris DiMarco",97,2.99,290,97,"TenthTeeLatePar3ScoringAverage",2009
31,31,"Charley Hoffman",97,2.99,263,88,"TenthTeeLatePar3ScoringAverage",2009
31,31,"Spencer Levin",75,2.99,209,70,"TenthTeeLatePar3ScoringAverage",2009
31,31,"Brett Quigley",92,2.99,329,110,"TenthTeeLatePar3ScoringAverage",2009
31,31,"Mark Wilson",99,2.99,206,69,"TenthTeeLatePar3ScoringAverage",2009
36,36,"Ricky Barnes",67,3,243,81,"TenthTeeLatePar3ScoringAverage",2009
36,36,"Mark Brooks",55,3,135,45,"TenthTeeLatePar3ScoringAverage",2009
36,36,"Jim Furyk",86,3,60,20,"TenthTeeLatePar3ScoringAverage",2009
36,36,"Sergio Garcia",59,3,36,12,"TenthTeeLatePar3ScoringAverage",2009
36,36,"Padraig Harrington",66,3,36,12,"TenthTeeLatePar3ScoringAverage",2009
36,36,"Bob Heintz",59,3,150,50,"TenthTeeLatePar3ScoringAverage",2009
36,36,"JJ Henry",97,3,159,53,"TenthTeeLatePar3ScoringAverage",2009
