"ScramblingFringeRTPScore_RANKTHISWEEK_2016","ScramblingFringeRTPScore_RANKLASTWEEK_2016","ScramblingFringeRTPScore_PLAYERNAME_2016","ScramblingFringeRTPScore_ROUNDS_2016","ScramblingFringeRTPScore_AVGRTP_2016","ScramblingFringeRTPScore_TOTALHOLES_2016","ScramblingFringeRTPScore_TOTALRTP_2016","stat_name","year"
49,51,"Rickie Fowler",42,0,14,0,"ScramblingFringeRTPScore",2016
49,51,"Sergio Garcia",28,0,10,0,"ScramblingFringeRTPScore",2016
49,51,"Brian Gay",22,0,19,0,"ScramblingFringeRTPScore",2016
49,51,"Andres Gonzales",46,0,26,0,"ScramblingFringeRTPScore",2016
49,24,"Emiliano Grillo",47,0,24,0,"ScramblingFringeRTPScore",2016
49,51,"John Huh",51,0,47,0,"ScramblingFringeRTPScore",2016
49,51,"Dustin Johnson",37,0,24,0,"ScramblingFringeRTPScore",2016
49,51,"Whee Kim",54,0,41,0,"ScramblingFringeRTPScore",2016
49,51,"Matt Kuchar",46,0,32,0,"ScramblingFringeRTPScore",2016
49,51,"Lucas Lee",22,0,22,0,"ScramblingFringeRTPScore",2016
49,51,"Justin Leonard",28,0,26,0,"ScramblingFringeRTPScore",2016
49,51,"Ben Martin",48,0,30,0,"ScramblingFringeRTPScore",2016
49,43,"William McGirt",54,0,38,0,"ScramblingFringeRTPScore",2016
49,51,"Troy Merritt",41,0,28,0,"ScramblingFringeRTPScore",2016
49,51,"Phil Mickelson",37,0,25,0,"ScramblingFringeRTPScore",2016
49,51,"Scott Piercy",45,0,21,0,"ScramblingFringeRTPScore",2016
49,51,"Martin Piller",37,0,36,0,"ScramblingFringeRTPScore",2016
49,51,"Wes Roach",33,0,30,0,"ScramblingFringeRTPScore",2016
49,51,"Charl Schwartzel",29,0,16,0,"ScramblingFringeRTPScore",2016
49,51,"Brandt Snedeker",47,0,30,0,"ScramblingFringeRTPScore",2016
49,51,"Daniel Summerhays",55,0,35,0,"ScramblingFringeRTPScore",2016
49,51,"DJ Trahan",23,0,9,0,"ScramblingFringeRTPScore",2016
49,51,"Jimmy Walker",43,0,31,0,"ScramblingFringeRTPScore",2016
49,51,"Bernd Wiesberger",23,0,7,0,"ScramblingFringeRTPScore",2016
49,51,"Will Wilcox",47,0,41,0,"ScramblingFringeRTPScore",2016
49,51,"Tim Wilkinson",40,0,30,0,"ScramblingFringeRTPScore",2016
82,85,"Tyrone Van Aswegen",67,0.018,55,1,"ScramblingFringeRTPScore",2016
83,86,"Michael Thompson",46,0.02,50,1,"ScramblingFringeRTPScore",2016
84,87,"Freddie Jacobson",54,0.021,47,1,"ScramblingFringeRTPScore",2016
84,89,"Sung Kang",51,0.021,48,1,"ScramblingFringeRTPScore",2016
86,88,"Charley Hoffman",49,0.022,45,1,"ScramblingFringeRTPScore",2016
87,51,"Blayne Barber",44,0.028,36,1,"ScramblingFringeRTPScore",2016
88,91,"Luke Guthrie",31,0.031,32,1,"ScramblingFringeRTPScore",2016
89,95,"Geoff Ogilvy",37,0.033,30,1,"ScramblingFringeRTPScore",2016
89,93,"Kevin Streelman",46,0.033,30,1,"ScramblingFringeRTPScore",2016
91,94,"Billy Horschel",45,0.036,28,1,"ScramblingFringeRTPScore",2016
91,95,"Cameron Smith",45,0.036,28,1,"ScramblingFringeRTPScore",2016
93,99,"Michael Kim",62,0.038,52,2,"ScramblingFringeRTPScore",2016
93,98,"Nick Taylor",57,0.038,53,2,"ScramblingFringeRTPScore",2016
95,102,"Steve Wheatcroft",53,0.039,51,2,"ScramblingFringeRTPScore",2016
96,51,"Anirban Lahiri",44,0.04,25,1,"ScramblingFringeRTPScore",2016
97,100,"Shane Lowry",35,0.042,24,1,"ScramblingFringeRTPScore",2016
98,104,"Morgan Hoffmann",43,0.043,23,1,"ScramblingFringeRTPScore",2016
98,104,"Colt Knost",56,0.043,46,2,"ScramblingFringeRTPScore",2016
98,102,"Bryce Molder",50,0.043,46,2,"ScramblingFringeRTPScore",2016
101,109,"Luke Donald",49,0.044,45,2,"ScramblingFringeRTPScore",2016
102,104,"Jon Curran",55,0.045,44,2,"ScramblingFringeRTPScore",2016
103,107,"Graeme McDowell",33,0.048,21,1,"ScramblingFringeRTPScore",2016
103,107,"Cameron Percy",22,0.048,21,1,"ScramblingFringeRTPScore",2016
105,109,"Billy Hurley III",22,0.05,20,1,"ScramblingFringeRTPScore",2016
105,51,"Justin Rose",35,0.05,20,1,"ScramblingFringeRTPScore",2016
