"PGAChampionshipPoints_RANKTHISWEEK_2006","PGAChampionshipPoints_RANKLASTWEEK_2006","PGAChampionshipPoints_PLAYERNAME_2006","PGAChampionshipPoints_EVENTS_2006","PGAChampionshipPoints_POINTS_2006","stat_name","year"
159,159,"Jeff Maggert",7,75624,"PGAChampionshipPoints",2006
160,160,"Mathias Gronberg",10,75592,"PGAChampionshipPoints",2006
161,161,"Tjaart van der Walt",8,74954,"PGAChampionshipPoints",2006
162,162,"John Huston",10,73615,"PGAChampionshipPoints",2006
163,163,"David Branshaw",9,73260,"PGAChampionshipPoints",2006
164,164,"Dudley Hart",9,71711,"PGAChampionshipPoints",2006
165,165,"Paul Stankowski",6,70400,"PGAChampionshipPoints",2006
166,166,"Mike Sposa",9,70150,"PGAChampionshipPoints",2006
167,167,"Henrik Bjornstad",9,69802,"PGAChampionshipPoints",2006
168,168,"Steve Elkington",6,69663,"PGAChampionshipPoints",2006
169,169,"Darren Clarke",2,66667,"PGAChampionshipPoints",2006
170,170,"Rocco Mediate",6,66654,"PGAChampionshipPoints",2006
171,171,"Scott Gutschewski",7,66000,"PGAChampionshipPoints",2006
172,172,"Craig Parry",4,64477,"PGAChampionshipPoints",2006
173,173,"Chris Smith",5,60600,"PGAChampionshipPoints",2006
174,174,"Bob May",10,58705,"PGAChampionshipPoints",2006
175,175,"Skip Kendall",8,58611,"PGAChampionshipPoints",2006
176,176,"Graeme McDowell",2,57413,"PGAChampionshipPoints",2006
177,177,"Greg Chalmers",10,57400,"PGAChampionshipPoints",2006
178,178,"Wes Short Jr",9,56590,"PGAChampionshipPoints",2006
179,179,"Jerry Smith",9,55907,"PGAChampionshipPoints",2006
180,180,"Kris Cox",9,53203,"PGAChampionshipPoints",2006
181,181,"Anders Hansen",1,53100,"PGAChampionshipPoints",2006
182,182,"Pat Perez",4,51000,"PGAChampionshipPoints",2006
183,183,"Shane Bertsch",10,50768,"PGAChampionshipPoints",2006
184,184,"David Hearn",1,50438,"PGAChampionshipPoints",2006
185,185,"James Driscoll",8,50250,"PGAChampionshipPoints",2006
186,186,"Vance Veazey",7,49665,"PGAChampionshipPoints",2006
187,187,"Mark Hensby",4,47420,"PGAChampionshipPoints",2006
188,188,"John Engler Jr",9,46956,"PGAChampionshipPoints",2006
189,189,"Omar Uresti",9,46865,"PGAChampionshipPoints",2006
190,190,"Scott Piercy",3,46242,"PGAChampionshipPoints",2006
191,191,"Todd Fischer",11,41038,"PGAChampionshipPoints",2006
192,192,"Jason Schultz",10,39679,"PGAChampionshipPoints",2006
193,193,"Thomas Levet",2,39500,"PGAChampionshipPoints",2006
194,194,"Carlos Franco",9,38368,"PGAChampionshipPoints",2006
195,195,"Gabriel Hjertstedt",6,38365,"PGAChampionshipPoints",2006
196,196,"Dicky Pride",5,38034,"PGAChampionshipPoints",2006
197,197,"Ryan Hietala",9,37960,"PGAChampionshipPoints",2006
198,198,"Brian Henninger",4,36897,"PGAChampionshipPoints",2006
199,199,"Alex Aragon",9,36057,"PGAChampionshipPoints",2006
200,200,"Kevin Na",2,31657,"PGAChampionshipPoints",2006
201,201,"Jay Delsing",5,30565,"PGAChampionshipPoints",2006
202,202,"Larry Mize",6,30161,"PGAChampionshipPoints",2006
203,203,"Richard Green",1,29250,"PGAChampionshipPoints",2006
204,204,"Steve Jones",8,28591,"PGAChampionshipPoints",2006
205,205,"Len Mattiace",5,28328,"PGAChampionshipPoints",2006
206,206,"Yusaku Miyazato",1,28163,"PGAChampionshipPoints",2006
207,207,"Darron Stiles",4,28020,"PGAChampionshipPoints",2006
208,208,"David Frost",2,27300,"PGAChampionshipPoints",2006
209,209,"Todd Hamilton",7,25911,"PGAChampionshipPoints",2006
210,210,"WC Liang",1,25850,"PGAChampionshipPoints",2006
211,211,"Stephen Gangluff",1,24125,"PGAChampionshipPoints",2006
212,212,"Mark Brooks",11,22967,"PGAChampionshipPoints",2006
213,213,"Roger Tambellini",8,21800,"PGAChampionshipPoints",2006
214,214,"Michael Connell",9,20605,"PGAChampionshipPoints",2006
215,215,"Rob Oppenheim",2,19500,"PGAChampionshipPoints",2006
216,216,"Spike McRoy",3,18225,"PGAChampionshipPoints",2006
216,216,"Garrett Willis",4,18225,"PGAChampionshipPoints",2006
218,218,"Dan Forsman",5,16628,"PGAChampionshipPoints",2006
219,219,"Mike Small",4,16096,"PGAChampionshipPoints",2006
220,220,"Neal Lancaster",7,16055,"PGAChampionshipPoints",2006
221,221,"Hidemichi Tanaka",10,15824,"PGAChampionshipPoints",2006
222,222,"David Duval",7,15251,"PGAChampionshipPoints",2006
223,223,"Hideto Tanihara",1,14320,"PGAChampionshipPoints",2006
224,224,"Azuma Yano",1,14007,"PGAChampionshipPoints",2006
225,225,"Grant Waite",4,13825,"PGAChampionshipPoints",2006
226,226,"Blaine McCallister",3,13260,"PGAChampionshipPoints",2006
227,227,"Miguel Angel Jimenez",2,13175,"PGAChampionshipPoints",2006
228,228,"John Riegger",4,13074,"PGAChampionshipPoints",2006
229,229,"Jay Haas",1,12875,"PGAChampionshipPoints",2006
229,229,"Don Yrene",1,12875,"PGAChampionshipPoints",2006
231,231,"Jim Kane",1,12725,"PGAChampionshipPoints",2006
232,232,"Paul Casey",4,12672,"PGAChampionshipPoints",2006
233,233,"Gary Hallberg",3,12480,"PGAChampionshipPoints",2006
234,234,"Kane Webber",1,12045,"PGAChampionshipPoints",2006
235,235,"Doug Barron",9,11543,"PGAChampionshipPoints",2006
236,236,"Steven Bowditch",9,11160,"PGAChampionshipPoints",2006
237,237,"BJ Staten",3,11000,"PGAChampionshipPoints",2006
238,238,"Nick Price",6,10100,"PGAChampionshipPoints",2006
239,239,"Bob Burns",4,8560,"PGAChampionshipPoints",2006
239,239,"Scott Gump",5,8560,"PGAChampionshipPoints",2006
239,239,"Jimmy Walker",4,8560,"PGAChampionshipPoints",2006
242,242,"Guy Boros",2,7840,"PGAChampionshipPoints",2006
243,243,"Donnie Hammond",3,7560,"PGAChampionshipPoints",2006
244,244,"Michael Bradley",3,6840,"PGAChampionshipPoints",2006
245,245,"John Daly",5,6690,"PGAChampionshipPoints",2006
246,246,"Kirk Triplett",3,6300,"PGAChampionshipPoints",2006
247,247,"Phil Tataurangi",7,6090,"PGAChampionshipPoints",2006
248,248,"Jon Mills",8,6000,"PGAChampionshipPoints",2006
249,249,"Willie Wood",3,5910,"PGAChampionshipPoints",2006
250,250,"Andrew Magee",6,5820,"PGAChampionshipPoints",2006
251,251,"Jim McGovern",2,5790,"PGAChampionshipPoints",2006
252,252,"Notah Begay III",4,5700,"PGAChampionshipPoints",2006
253,253,"Joel Edwards",2,5580,"PGAChampionshipPoints",2006
254,254,"Phil Schmitt",1,5460,"PGAChampionshipPoints",2006
