"DistancefromEdgeofFairway_RANKTHISWEEK_2012","DistancefromEdgeofFairway_RANKLASTWEEK_2012","DistancefromEdgeofFairway_PLAYERNAME_2012","DistancefromEdgeofFairway_EVENTS_2012","DistancefromEdgeofFairway_AVG_2012","DistancefromEdgeofFairway_TOTALDISTANCEFEET_2012","DistancefromEdgeofFairway_TOTALSTROKES_2012","stat_name","year"
65,65,"JJ Henry",28,NA,8750.75,357,"DistancefromEdgeofFairway",2012
65,65,"Josh Teater",30,NA,10151.75,415,"DistancefromEdgeofFairway",2012
69,69,"Bob Estes",23,NA,8371.833,340,"DistancefromEdgeofFairway",2012
69,69,"William McGirt",30,NA,10193,414,"DistancefromEdgeofFairway",2012
71,71,"Brian Gay",28,NA,9724.25,394,"DistancefromEdgeofFairway",2012
71,71,"Freddie Jacobson",17,NA,6122.5,248,"DistancefromEdgeofFairway",2012
71,71,"Rory Sabbatini",29,NA,8964.75,363,"DistancefromEdgeofFairway",2012
74,74,"Steve Wheatcroft",22,NA,5049,204,"DistancefromEdgeofFairway",2012
75,75,"Chris Couch",21,NA,5628.667,227,"DistancefromEdgeofFairway",2012
75,75,"Luke Donald",17,NA,5942.75,239,"DistancefromEdgeofFairway",2012
75,75,"Alexandre Rocha",21,NA,5985.583,241,"DistancefromEdgeofFairway",2012
75,75,"Vijay Singh",27,NA,9870.917,397,"DistancefromEdgeofFairway",2012
75,75,"Cameron Tringale",26,NA,9002.833,363,"DistancefromEdgeofFairway",2012
80,80,"Stuart Appleby",24,NA,7382.25,296,"DistancefromEdgeofFairway",2012
80,80,"Daniel Summerhays",26,NA,8547.75,343,"DistancefromEdgeofFairway",2012
82,82,"Pat Perez",23,NA,8613.833,344,"DistancefromEdgeofFairway",2012
83,83,"Arjun Atwal",27,NA,8097.167,323,"DistancefromEdgeofFairway",2012
83,83,"Cameron Beckman",26,NA,8558.25,341,"DistancefromEdgeofFairway",2012
83,83,"Charlie Wi",25,NA,9232.583,368,"DistancefromEdgeofFairway",2012
86,86,"Rod Pampling",26,NA,8435.75,335,"DistancefromEdgeofFairway",2012
87,87,"Scott Brown",24,NA,6543.5,259,"DistancefromEdgeofFairway",2012
87,87,"Billy Mayfair",28,NA,8879.167,352,"DistancefromEdgeofFairway",2012
89,89,"Nick OHern",26,NA,8348,330,"DistancefromEdgeofFairway",2012
89,89,"Louis Oosthuizen",19,NA,6256.583,247,"DistancefromEdgeofFairway",2012
89,89,"Chris Stroud",28,NA,9612.083,379,"DistancefromEdgeofFairway",2012
92,92,"Greg Chalmers",25,NA,9838.333,387,"DistancefromEdgeofFairway",2012
92,92,"Carl Pettersson",26,NA,11232.75,442,"DistancefromEdgeofFairway",2012
94,94,"Charley Hoffman",27,NA,9561.667,375,"DistancefromEdgeofFairway",2012
94,94,"DA Points",29,NA,9245.417,363,"DistancefromEdgeofFairway",2012
94,94,"Bo Van Pelt",24,NA,8045.25,316,"DistancefromEdgeofFairway",2012
97,97,"Miguel Angel Carballo",25,NA,8027.333,314,"DistancefromEdgeofFairway",2012
97,97,"Matt Every",25,NA,8439.583,330,"DistancefromEdgeofFairway",2012
97,97,"Webb Simpson",22,NA,8600.167,336,"DistancefromEdgeofFairway",2012
100,100,"Bill Haas",23,NA,7685.667,299,"DistancefromEdgeofFairway",2012
101,101,"Jason Bohn",28,NA,7556.083,293,"DistancefromEdgeofFairway",2012
101,101,"Nathan Green",22,NA,8019.417,311,"DistancefromEdgeofFairway",2012
103,103,"Bud Cauley",28,NA,12080,466,"DistancefromEdgeofFairway",2012
104,104,"Graham DeLaet",23,NA,9295.25,358,"DistancefromEdgeofFairway",2012
104,104,"David Hearn",28,NA,11405.667,439,"DistancefromEdgeofFairway",2012
104,104,"Brandt Jobe",18,NA,5816,224,"DistancefromEdgeofFairway",2012
104,104,"John Merrick",26,NA,8881.833,342,"DistancefromEdgeofFairway",2012
104,104,"Bryce Molder",25,NA,9335.75,359,"DistancefromEdgeofFairway",2012
104,104,"Kyle Reifers",27,NA,9937.5,382,"DistancefromEdgeofFairway",2012
110,110,"George McNeill",25,NA,9666,370,"DistancefromEdgeofFairway",2012
110,110,"Sean OHair",24,NA,10194.417,391,"DistancefromEdgeofFairway",2012
112,112,"Jonas Blixt",21,NA,9188.25,351,"DistancefromEdgeofFairway",2012
