"ofPotentialPtswonFedExCupRegularSeason_RANKTHISWEEK_2016","ofPotentialPtswonFedExCupRegularSeason_RANKLASTWEEK_2016","ofPotentialPtswonFedExCupRegularSeason_PLAYERNAME_2016","ofPotentialPtswonFedExCupRegularSeason_EVENTS_2016","ofPotentialPtswonFedExCupRegularSeason_Pct_2016","ofPotentialPtswonFedExCupRegularSeason_POINTSWON_2016","ofPotentialPtswonFedExCupRegularSeason_POTENTIALPTS_2016","ofPotentialPtswonFedExCupRegularSeason_OFWINS_2016","ofPotentialPtswonFedExCupRegularSeason_OFTOP10S_2016","stat_name","year"
204,205,"Michael Putnam",7,0.95,30,3100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
205,204,"Andres Gonzales",17,0.9,73,8100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
206,206,"Geoff Ogilvy",14,0.84,59,7000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
207,207,"Bo Van Pelt",5,0.78,18,2300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
208,209,"Miguel Angel Carballo",11,0.7,36,5100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
208,209,"Carl Pettersson",14,0.7,47,6800,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
210,211,"Andrew Landry",9,0.69,28,4100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
211,208,"Brendon Todd",18,0.68,59,8600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
212,213,"Brian Davis",8,0.64,23,3600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
212,213,"Ted Purdy",4,0.64,10,1600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
214,215,"Pat Perez",11,0.62,34,5500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
215,212,"DA Points",11,0.61,31,5100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
216,216,"John Rollins",5,0.57,12,2100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
217,217,"Steve Flesch",3,0.55,6,1100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
218,218,"Rhein Gibson",13,0.54,33,6100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
219,219,"Abraham Ancer",11,0.49,25,5100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
220,220,"Greg Chalmers",5,0.45,11,2350,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
220,220,"Dicky Pride",13,0.45,28,6100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
222,220,"Justin Hicks",10,0.41,20,5000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
222,223,"Darron Stiles",10,0.41,19,4600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
224,224,"Trevor Immelman",7,0.29,7,2600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
225,225,"Tom Gillis",7,0.16,5,3100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
225,225,"Jarrod Lyle",7,0.16,5,3100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
227,227,"Mark Hensby",2,0.12,1,800,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
228,228,"Tim Petrovic",3,0.09,1,1100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
229,229,"Eric Axley",3,0.07,1,1100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
230,230,"Tommy Gainey",4,0.06,1,1600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
230,230,"John Peterson",3,0.06,1,1500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
232,232,"Alex Prugh",7,0.05,2,3100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
233,233,"Robert Allenby",16,0.02,2,7600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
234,234,"Charlie Beljan",13,0.01,1,6100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2016
