"LowestRound_RANKTHISWEEK_2013","LowestRound_RANKLASTWEEK_2013","LowestRound_PLAYERNAME_2013","LowestRound_ROUNDS_2013","LowestRound_VALUE_2013","LowestRound_TOURNCOURSE_2013","LowestRound_ROUND_2013","stat_name","year"
242,242,"Jeff Klauk",24,67,NA,1,"LowestRound",2013
242,242,"Michael Letzig",44,67,NA,1,"LowestRound",2013
242,242,"Peter Lonard",4,67,NA,2,"LowestRound",2013
242,242,"Steve Marino",33,67,NA,2,"LowestRound",2013
242,242,"Mark OMeara",8,67,NA,1,"LowestRound",2013
242,242,"Joe Ogilvie",40,67,NA,2,"LowestRound",2013
242,242,"Jesper Parnevik",32,67,NA,1,"LowestRound",2013
242,242,"Kenny Perry",10,67,NA,2,"LowestRound",2013
242,242,"Tim Petrovic",37,67,NA,3,"LowestRound",2013
242,242,"Chris Riley",11,67,NA,1,"LowestRound",2013
242,242,"Alexandre Rocha",11,67,NA,1,"LowestRound",2013
242,242,"Marcel Siem",27,67,NA,2,"LowestRound",2013
242,242,"Nate Smith",4,67,NA,1,"LowestRound",2013
242,242,"Richard Sterne",22,67,NA,4,"LowestRound",2013
242,242,"Duffy Waldorf",10,67,NA,2,"LowestRound",2013
242,242,"Marc Warren",6,67,NA,2,"LowestRound",2013
242,242,"Tom Watson",10,67,NA,4,"LowestRound",2013
242,242,"Steve Wheatcroft",4,67,NA,2,"LowestRound",2013
242,242,"Casey Wittenberg",72,67,NA,1,"LowestRound",2013
281,281,"Brad Adamonis",5,68,NA,1,"LowestRound",2013
281,281,"Blake Adams",4,68,NA,3,"LowestRound",2013
281,281,"Steven Alker",6,68,NA,2,"LowestRound",2013
281,281,"Kiradech Aphibarnrat",10,68,NA,1,"LowestRound",2013
281,281,"Eric Axley",3,68,NA,2,"LowestRound",2013
281,281,"Kevin Carll",2,68,NA,2,"LowestRound",2013
281,281,"Fred Couples",16,68,NA,1,"LowestRound",2013
281,281,"Gonzalo Fdez Castano",39,68,NA,3,"LowestRound",2013
281,281,"Oliver Fisher",4,68,NA,4,"LowestRound",2013
281,281,"Robert Gamez",10,68,NA,2,"LowestRound",2013
281,281,"Mathew Goggin",4,68,NA,1,"LowestRound",2013
281,281,"Scott Harrington",4,68,NA,3,"LowestRound",2013
281,281,"JB Holmes",12,68,NA,2,"LowestRound",2013
281,281,"Lee Janzen",28,68,NA,1,"LowestRound",2013
281,281,"Kent Jones",4,68,NA,3,"LowestRound",2013
281,281,"Shiv Kapur",4,68,NA,1,"LowestRound",2013
281,281,"Troy Kelly",26,68,NA,2,"LowestRound",2013
281,281,"Tom Lehman",6,68,NA,1,"LowestRound",2013
281,281,"Shane Lowry",27,68,NA,2,"LowestRound",2013
281,281,"Scott McCarron",20,68,NA,1,"LowestRound",2013
281,281,"Brett Quigley",3,68,NA,2,"LowestRound",2013
281,281,"Wes Short Jr",40,68,NA,3,"LowestRound",2013
281,281,"Chris Starkjohann",3,68,NA,1,"LowestRound",2013
281,281,"Jhonattan Vegas",7,68,NA,2,"LowestRound",2013
281,281,"Chris Williams",14,68,NA,2,"LowestRound",2013
281,281,"Dean Wilson",8,68,NA,2,"LowestRound",2013
307,307,"Michael Block",3,69,NA,1,"LowestRound",2013
307,307,"Darren Clarke",10,69,NA,1,"LowestRound",2013
307,307,"Eduardo De La Riva",4,69,NA,4,"LowestRound",2013
307,307,"Joe Durant",19,69,NA,3,"LowestRound",2013
307,307,"Brad Faxon",2,69,NA,1,"LowestRound",2013
307,307,"Steven Fox",18,69,NA,2,"LowestRound",2013
307,307,"David Frost",4,69,NA,4,"LowestRound",2013
307,307,"Fred Funk",2,69,NA,2,"LowestRound",2013
307,307,"Jason Gore",10,69,NA,2,"LowestRound",2013
307,307,"Hunter Haas",16,69,NA,2,"LowestRound",2013
307,307,"Todd Hamilton",11,69,NA,1,"LowestRound",2013
307,307,"Mark Hensby",2,69,NA,2,"LowestRound",2013
307,307,"John Hurley",2,69,NA,2,"LowestRound",2013
307,307,"Steven Ihm",2,69,NA,2,"LowestRound",2013
307,307,"Yuta Ikeda",2,69,NA,1,"LowestRound",2013
307,307,"Thongchai Jaidee",11,69,NA,4,"LowestRound",2013
307,307,"Scott Jamieson",10,69,NA,1,"LowestRound",2013
307,307,"Andrew Johnson",4,69,NA,2,"LowestRound",2013
307,307,"Shingo Katayama",4,69,NA,3,"LowestRound",2013
307,307,"Si Woo Kim",16,69,NA,2,"LowestRound",2013
307,307,"Kelly Kraft",8,69,NA,1,"LowestRound",2013
307,307,"Paul Lawrie",23,69,NA,1,"LowestRound",2013
307,307,"Frank Lickliter II",8,69,NA,2,"LowestRound",2013
307,307,"Jay McLuen",2,69,NA,2,"LowestRound",2013
307,307,"Alexander Noren",11,69,NA,1,"LowestRound",2013
307,307,"Corey Pavin",4,69,NA,2,"LowestRound",2013
307,307,"Justin Peters",2,69,NA,1,"LowestRound",2013
307,307,"Ted Purdy",7,69,NA,2,"LowestRound",2013
307,307,"Richie Ramsay",11,69,NA,2,"LowestRound",2013
307,307,"Mark Silvers",4,69,NA,1,"LowestRound",2013
307,307,"Andre Stolz",4,69,NA,4,"LowestRound",2013
307,307,"Guan Tian Liang",14,69,NA,2,"LowestRound",2013
307,307,"Marc Turnesa",8,69,NA,4,"LowestRound",2013
307,307,"Omar Uresti",2,69,NA,2,"LowestRound",2013
307,307,"Sebastian Vazquez",4,69,NA,3,"LowestRound",2013
307,307,"TJ Vogel",6,69,NA,1,"LowestRound",2013
307,307,"Danny Willett",8,69,NA,4,"LowestRound",2013
307,307,"Thaworn Wiratchant",8,69,NA,2,"LowestRound",2013
345,345,"Connor Arendell",2,70,NA,2,"LowestRound",2013
345,345,"Todd Baek",4,70,NA,4,"LowestRound",2013
345,345,"Thomas Bjorn",11,70,NA,1,"LowestRound",2013
345,345,"Gregory Bourdy",4,70,NA,2,"LowestRound",2013
345,345,"Alex Cejka",5,70,NA,1,"LowestRound",2013
345,345,"Chip Deason",2,70,NA,2,"LowestRound",2013
345,345,"David Duval",19,70,NA,1,"LowestRound",2013
345,345,"Stephen Gangluff",4,70,NA,2,"LowestRound",2013
345,345,"Jorge Garcia",4,70,NA,2,"LowestRound",2013
345,345,"Andrew Georgiou",2,70,NA,2,"LowestRound",2013
345,345,"Peter Hedblom",4,70,NA,1,"LowestRound",2013
345,345,"Stephan Jaeger",2,70,NA,1,"LowestRound",2013
345,345,"Satoshi Kodaira",6,70,NA,1,"LowestRound",2013
345,345,"Morten Orum Madsen",4,70,NA,3,"LowestRound",2013
345,345,"Michael McCabe",2,70,NA,1,"LowestRound",2013
345,345,"Andrew McLardy",2,70,NA,2,"LowestRound",2013
345,345,"Shaun Micheel",10,70,NA,1,"LowestRound",2013
345,345,"David Muttitt",2,70,NA,2,"LowestRound",2013
345,345,"Chris Naegel",2,70,NA,1,"LowestRound",2013
345,345,"Bret Nutt",3,70,NA,3,"LowestRound",2013
345,345,"David Peoples",2,70,NA,2,"LowestRound",2013
345,345,"Brett Rumford",8,70,NA,1,"LowestRound",2013
345,345,"Paul Scaletta",2,70,NA,2,"LowestRound",2013
345,345,"Trent Whitekiller",2,70,NA,2,"LowestRound",2013
345,345,"Bernd Wiesberger",6,70,NA,1,"LowestRound",2013
370,370,"Thomas Aiken",6,71,NA,1,"LowestRound",2013
370,370,"Max Alverio",2,71,NA,2,"LowestRound",2013
370,370,"Rich Beem",6,71,NA,1,"LowestRound",2013
370,370,"Tom Byrum",2,71,NA,2,"LowestRound",2013
370,370,"Corey Conners",2,71,NA,1,"LowestRound",2013
370,370,"Jeff Curl",2,71,NA,2,"LowestRound",2013
370,370,"Hiroyuki Fujita",9,71,NA,1,"LowestRound",2013
