"FirstTeeLatePar5ScoringAverage_RANKTHISWEEK_2005","FirstTeeLatePar5ScoringAverage_RANKLASTWEEK_2005","FirstTeeLatePar5ScoringAverage_PLAYERNAME_2005","FirstTeeLatePar5ScoringAverage_ROUNDS_2005","FirstTeeLatePar5ScoringAverage_AVG_2005","FirstTeeLatePar5ScoringAverage_TOTALSTROKES_2005","FirstTeeLatePar5ScoringAverage_TOTALHOLES_2005","stat_name","year"
107,107,"Luke Donald",67,4.69,352,75,"FirstTeeLatePar5ScoringAverage",2005
107,107,"Tim Herron",100,4.69,615,131,"FirstTeeLatePar5ScoringAverage",2005
107,107,"Matt Kuchar",60,4.69,328,70,"FirstTeeLatePar5ScoringAverage",2005
107,107,"Craig Perks",67,4.69,211,45,"FirstTeeLatePar5ScoringAverage",2005
107,107,"Brett Quigley",96,4.69,483,103,"FirstTeeLatePar5ScoringAverage",2005
107,107,"Hideto Tanihara",50,4.69,169,36,"FirstTeeLatePar5ScoringAverage",2005
107,107,"Mike Weir",71,4.69,253,54,"FirstTeeLatePar5ScoringAverage",2005
107,107,"Brett Wetterich",76,4.69,436,93,"FirstTeeLatePar5ScoringAverage",2005
118,118,"Steve Allan",102,4.7,470,100,"FirstTeeLatePar5ScoringAverage",2005
118,118,"Jason Allred",75,4.7,263,56,"FirstTeeLatePar5ScoringAverage",2005
118,118,"Craig Barlow",81,4.7,437,93,"FirstTeeLatePar5ScoringAverage",2005
118,118,"John Daly",78,4.7,371,79,"FirstTeeLatePar5ScoringAverage",2005
118,118,"Marco Dawson",82,4.7,376,80,"FirstTeeLatePar5ScoringAverage",2005
118,118,"Dan Forsman",52,4.7,174,37,"FirstTeeLatePar5ScoringAverage",2005
118,118,"JJ Henry",102,4.7,461,98,"FirstTeeLatePar5ScoringAverage",2005
118,118,"Rory Sabbatini",81,4.7,409,87,"FirstTeeLatePar5ScoringAverage",2005
118,118,"Darron Stiles",78,4.7,414,88,"FirstTeeLatePar5ScoringAverage",2005
118,118,"Hidemichi Tanaka",106,4.7,418,89,"FirstTeeLatePar5ScoringAverage",2005
118,118,"Roland Thatcher",75,4.7,381,81,"FirstTeeLatePar5ScoringAverage",2005
129,129,"Stuart Appleby",84,4.71,480,102,"FirstTeeLatePar5ScoringAverage",2005
129,129,"Alex Cejka",84,4.71,367,78,"FirstTeeLatePar5ScoringAverage",2005
129,129,"Brian Davis",75,4.71,339,72,"FirstTeeLatePar5ScoringAverage",2005
129,129,"Mathias Gronberg",60,4.71,292,62,"FirstTeeLatePar5ScoringAverage",2005
129,129,"David Hearn",68,4.71,259,55,"FirstTeeLatePar5ScoringAverage",2005
129,129,"Scott Hend",75,4.71,358,76,"FirstTeeLatePar5ScoringAverage",2005
129,129,"Scott McCarron",78,4.71,396,84,"FirstTeeLatePar5ScoringAverage",2005
136,136,"Fred Funk",102,4.72,477,101,"FirstTeeLatePar5ScoringAverage",2005
