"Front9ScoringAverage_RANKTHISWEEK_2006","Front9ScoringAverage_RANKLASTWEEK_2006","Front9ScoringAverage_PLAYERNAME_2006","Front9ScoringAverage_ROUNDS_2006","Front9ScoringAverage_AVG_2006","Front9ScoringAverage_TOTALSTROKES_2006","Front9ScoringAverage_TOTALHOLES_2006","stat_name","year"
81,81,"Omar Uresti",61,35.39,2088,59,"Front9ScoringAverage",2006
81,81,"Duffy Waldorf",96,35.39,3256,92,"Front9ScoringAverage",2006
83,83,"Corey Pavin",74,35.4,2478,70,"Front9ScoringAverage",2006
84,84,"Mathias Gronberg",92,35.42,3152,89,"Front9ScoringAverage",2006
84,84,"Dudley Hart",83,35.42,2940,83,"Front9ScoringAverage",2006
84,84,"Will Ma Kenzie",91,35.42,3117,88,"Front9ScoringAverage",2006
87,87,"Shaun Micheel",96,35.43,3295,93,"Front9ScoringAverage",2006
88,88,"Jerry Kelly",100,35.44,3544,100,"Front9ScoringAverage",2006
89,89,"Jason Bohn",104,35.45,3687,104,"Front9ScoringAverage",2006
90,90,"Robert Garrigus",85,35.46,2943,83,"Front9ScoringAverage",2006
90,90,"Tim Herron",82,35.46,2872,81,"Front9ScoringAverage",2006
92,92,"Bob May",65,35.47,2199,62,"Front9ScoringAverage",2006
93,93,"John Cook",67,35.48,2377,67,"Front9ScoringAverage",2006
93,93,"Bubba Dickerson",98,35.48,3406,96,"Front9ScoringAverage",2006
93,93,"Brandt Jobe",91,35.48,3122,88,"Front9ScoringAverage",2006
93,93,"Nick Watney",97,35.48,3371,95,"Front9ScoringAverage",2006
