"PercentageofYardagecoveredbyTeeShotsPar5s_RANKTHISWEEK_2005","PercentageofYardagecoveredbyTeeShotsPar5s_RANKLASTWEEK_2005","PercentageofYardagecoveredbyTeeShotsPar5s_PLAYERNAME_2005","PercentageofYardagecoveredbyTeeShotsPar5s_ROUNDS_2005","PercentageofYardagecoveredbyTeeShotsPar5s_AVGPct_2005","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALSHOTDISTANCE_2005","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALDISTANCE_2005","stat_name","year"
88,88,"Todd Hamilton",94,51.91,74741.6,143981,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
89,89,"Zach Johnson",96,51.89,77556.6,149464,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
90,90,"Vaughn Taylor",99,51.87,88196.6,170029,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
91,91,"Andrew Magee",82,51.86,67943.5,131014,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
92,92,"Peter Lonard",85,51.8,62988.1,121605,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
92,92,"Shaun Micheel",81,51.8,63317.5,122245,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
94,94,"Ryuji Imada",78,51.79,64750.5,125024,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
94,94,"Craig Perks",67,51.79,55861.8,107861,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
96,96,"Hunter Haas",83,51.75,70831.6,136869,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
97,97,"JL Lewis",98,51.72,80342.6,155333,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
97,97,"David Toms",87,51.72,57056.1,110313,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
99,99,"Kevin Sutherland",89,51.71,72247.8,139718,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
100,100,"Craig Barlow",81,51.67,64507,124846,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
100,100,"Frank Lickliter II",100,51.67,86441,167305,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
102,102,"Joey Sindelar",104,51.66,99678.1,192966,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
103,103,"Freddie Jacobson",72,51.63,51803.9,100333,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
104,104,"Jeff Brehaut",71,51.6,61493.5,119165,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
105,105,"Mark Calcavecchia",92,51.54,70226.7,136267,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
105,105,"Hideto Tanihara",50,51.54,42101.5,81681,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
107,107,"Mario Tiziani",67,51.52,57722.3,112040,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
108,108,"Stephen Ames",82,51.49,54062.4,105001,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
