"MoneyLeadersFallSeries_RANKTHISWEEK_2009","MoneyLeadersFallSeries_RANKLASTWEEK_2009","MoneyLeadersFallSeries_PLAYERNAME_2009","MoneyLeadersFallSeries_EVENTS_2009","MoneyLeadersFallSeries_MONEY_2009","MoneyLeadersFallSeries_YTDVICTORIES_2009","stat_name","year"
138,138,"Rod Perry",1,10798,846000,"MoneyLeadersFallSeries",2009
138,138,"Darron Stiles",20,10798,7000,"MoneyLeadersFallSeries",2009
138,138,"Charles Warren",20,10798,8000,"MoneyLeadersFallSeries",2009
142,142,"Mathew Goggin",26,10788,5000,"MoneyLeadersFallSeries",2009
142,142,"Ernie Gonzalez",1,10788,756000,"MoneyLeadersFallSeries",2009
144,144,"Fred Couples",16,10300,5000,"MoneyLeadersFallSeries",2009
145,145,"Kris Blanks",20,10199,7000,"MoneyLeadersFallSeries",2009
146,146,"Rick Price",21,9823,8000,"MoneyLeadersFallSeries",2009
146,146,"Marc Turnesa",30,9823,12000,"MoneyLeadersFallSeries",2009
148,148,"Jerry Kelly",26,9618,10000,"MoneyLeadersFallSeries",2009
149,149,"Brad Faxon",23,9500,9000,"MoneyLeadersFallSeries",2009
150,150,"Ryuji Imada",25,9282,5000,"MoneyLeadersFallSeries",2009
151,151,"Tommy Armour III",19,8442,6000,"MoneyLeadersFallSeries",2009
152,152,"Brian Bateman",25,8232,10000,"MoneyLeadersFallSeries",2009
