"BirdietoBogeyRatio_RANKTHISWEEK_2016","BirdietoBogeyRatio_RANKLASTWEEK_2016","BirdietoBogeyRatio_PLAYERNAME_2016","BirdietoBogeyRatio_ROUNDS_2016","BirdietoBogeyRatio_BIRDIETOBOGEYRATIO_2016","BirdietoBogeyRatio_TOTALBIRDIESANDBETTER_2016","BirdietoBogeyRatio_TOTALBOGEYSANDWORSE_2016","stat_name","year"
44,54,"Graeme McDowell",33,1.4,115,82,"BirdietoBogeyRatio",2016
45,50,"Ricky Barnes",57,1.39,212,153,"BirdietoBogeyRatio",2016
45,47,"David Hearn",55,1.39,196,141,"BirdietoBogeyRatio",2016
45,55,"John Huh",51,1.39,192,138,"BirdietoBogeyRatio",2016
45,47,"Patrick Rodgers",49,1.39,188,135,"BirdietoBogeyRatio",2016
49,32,"Luke Donald",49,1.38,157,114,"BirdietoBogeyRatio",2016
49,44,"Spencer Levin",62,1.38,225,163,"BirdietoBogeyRatio",2016
49,57,"Bryce Molder",50,1.38,174,126,"BirdietoBogeyRatio",2016
49,57,"Scott Piercy",45,1.38,171,124,"BirdietoBogeyRatio",2016
53,38,"Brian Stuard",24,1.37,86,63,"BirdietoBogeyRatio",2016
53,64,"Gary Woodland",45,1.37,171,125,"BirdietoBogeyRatio",2016
55,64,"Zach Johnson",42,1.36,150,110,"BirdietoBogeyRatio",2016
55,50,"Jason Kokrak",52,1.36,190,140,"BirdietoBogeyRatio",2016
55,64,"Steve Stricker",25,1.36,95,70,"BirdietoBogeyRatio",2016
58,70,"Jason Dufner",53,1.35,208,154,"BirdietoBogeyRatio",2016
58,70,"Brice Garnett",29,1.35,112,83,"BirdietoBogeyRatio",2016
58,70,"Ryan Palmer",46,1.35,186,138,"BirdietoBogeyRatio",2016
61,50,"Graham DeLaet",50,1.34,196,146,"BirdietoBogeyRatio",2016
61,70,"Johnson Wagner",44,1.34,162,121,"BirdietoBogeyRatio",2016
63,57,"Tony Finau",49,1.33,184,138,"BirdietoBogeyRatio",2016
63,61,"Adam Hadwin",53,1.33,195,147,"BirdietoBogeyRatio",2016
63,64,"Colt Knost",56,1.33,190,143,"BirdietoBogeyRatio",2016
63,61,"Luke List",51,1.33,190,143,"BirdietoBogeyRatio",2016
63,57,"Nick Taylor",57,1.33,205,154,"BirdietoBogeyRatio",2016
63,79,"Jimmy Walker",43,1.33,167,126,"BirdietoBogeyRatio",2016
69,43,"Byeong Hun An",23,1.32,79,60,"BirdietoBogeyRatio",2016
69,82,"KJ Choi",47,1.32,156,118,"BirdietoBogeyRatio",2016
69,61,"Si Woo Kim",63,1.32,225,170,"BirdietoBogeyRatio",2016
69,84,"David Lingmerth",54,1.32,198,150,"BirdietoBogeyRatio",2016
69,79,"Daniel Summerhays",55,1.32,214,162,"BirdietoBogeyRatio",2016
74,77,"Jason Gore",51,1.31,191,146,"BirdietoBogeyRatio",2016
74,70,"Justin Thomas",53,1.31,198,151,"BirdietoBogeyRatio",2016
76,87,"Fabian Gomez",49,1.3,167,128,"BirdietoBogeyRatio",2016
76,87,"Brooks Koepka",39,1.3,139,107,"BirdietoBogeyRatio",2016
76,96,"Danny Lee",53,1.3,196,151,"BirdietoBogeyRatio",2016
76,64,"Ryan Moore",40,1.3,130,100,"BirdietoBogeyRatio",2016
76,79,"Kevin Streelman",46,1.3,169,130,"BirdietoBogeyRatio",2016
81,91,"Stewart Cink",45,1.29,173,134,"BirdietoBogeyRatio",2016
81,91,"Chris Kirk",51,1.29,156,121,"BirdietoBogeyRatio",2016
81,64,"Martin Laird",46,1.29,173,134,"BirdietoBogeyRatio",2016
81,77,"Cameron Tringale",47,1.29,174,135,"BirdietoBogeyRatio",2016
85,70,"Chad Campbell",54,1.28,187,146,"BirdietoBogeyRatio",2016
85,55,"Padraig Harrington",38,1.28,143,112,"BirdietoBogeyRatio",2016
85,93,"Jerry Kelly",44,1.28,133,104,"BirdietoBogeyRatio",2016
85,93,"Hudson Swafford",52,1.28,193,151,"BirdietoBogeyRatio",2016
85,50,"David Toms",38,1.28,128,100,"BirdietoBogeyRatio",2016
90,101,"Harris English",51,1.27,185,146,"BirdietoBogeyRatio",2016
90,84,"Emiliano Grillo",47,1.27,176,139,"BirdietoBogeyRatio",2016
90,82,"Peter Malnati",53,1.27,195,154,"BirdietoBogeyRatio",2016
90,84,"Ben Martin",48,1.27,188,148,"BirdietoBogeyRatio",2016
90,93,"John Senden",48,1.27,177,139,"BirdietoBogeyRatio",2016
95,87,"Mark Hubbard",73,1.26,256,203,"BirdietoBogeyRatio",2016
95,70,"Henrik Norlander",41,1.26,137,109,"BirdietoBogeyRatio",2016
97,96,"Jonas Blixt",46,1.25,176,141,"BirdietoBogeyRatio",2016
97,103,"Luke Guthrie",31,1.25,114,91,"BirdietoBogeyRatio",2016
97,103,"Charley Hoffman",49,1.25,171,137,"BirdietoBogeyRatio",2016
100,123,"Andrew Loupe",50,1.24,214,172,"BirdietoBogeyRatio",2016
100,96,"Kyle Reifers",63,1.24,239,193,"BirdietoBogeyRatio",2016
100,108,"DJ Trahan",23,1.24,89,72,"BirdietoBogeyRatio",2016
103,96,"Jim Herman",55,1.23,198,161,"BirdietoBogeyRatio",2016
103,87,"Webb Simpson",34,1.23,128,104,"BirdietoBogeyRatio",2016
103,108,"Harold Varner III",58,1.23,229,186,"BirdietoBogeyRatio",2016
106,113,"Shane Bertsch",30,1.22,101,83,"BirdietoBogeyRatio",2016
106,113,"Jon Curran",55,1.22,186,153,"BirdietoBogeyRatio",2016
106,120,"Retief Goosen",37,1.22,124,102,"BirdietoBogeyRatio",2016
106,113,"Billy Horschel",45,1.22,161,132,"BirdietoBogeyRatio",2016
106,103,"Sung Kang",51,1.22,178,146,"BirdietoBogeyRatio",2016
106,113,"Troy Merritt",41,1.22,144,118,"BirdietoBogeyRatio",2016
106,108,"Jeff Overton",51,1.22,174,143,"BirdietoBogeyRatio",2016
106,113,"Andres Romero",22,1.22,73,60,"BirdietoBogeyRatio",2016
106,96,"Will Wilcox",47,1.22,175,144,"BirdietoBogeyRatio",2016
115,113,"Zac Blair",56,1.21,182,151,"BirdietoBogeyRatio",2016
115,120,"Matthew Fitzpatrick",23,1.21,75,62,"BirdietoBogeyRatio",2016
115,111,"Brian Harman",60,1.21,221,183,"BirdietoBogeyRatio",2016
115,111,"Tom Hoge",47,1.21,163,135,"BirdietoBogeyRatio",2016
115,101,"Anirban Lahiri",44,1.21,154,127,"BirdietoBogeyRatio",2016
120,142,"James Hahn",45,1.2,164,137,"BirdietoBogeyRatio",2016
120,123,"Seung Yul Noh",54,1.2,204,170,"BirdietoBogeyRatio",2016
120,103,"Martin Piller",37,1.2,125,104,"BirdietoBogeyRatio",2016
123,120,"Thomas Aiken",42,1.19,136,114,"BirdietoBogeyRatio",2016
124,103,"Michael Thompson",46,1.17,177,151,"BirdietoBogeyRatio",2016
124,127,"Camilo Villegas",50,1.17,171,146,"BirdietoBogeyRatio",2016
126,129,"Scott Brown",59,1.16,210,181,"BirdietoBogeyRatio",2016
126,129,"Bronson Burgoon",53,1.16,181,156,"BirdietoBogeyRatio",2016
126,123,"Matt Jones",45,1.16,159,137,"BirdietoBogeyRatio",2016
126,133,"Francesco Molinari",36,1.16,124,107,"BirdietoBogeyRatio",2016
126,133,"Cameron Percy",22,1.16,72,62,"BirdietoBogeyRatio",2016
126,113,"Brett Stegmaier",57,1.16,197,170,"BirdietoBogeyRatio",2016
126,127,"Boo Weekley",53,1.16,191,165,"BirdietoBogeyRatio",2016
126,133,"Bernd Wiesberger",23,1.16,65,56,"BirdietoBogeyRatio",2016
134,131,"Stuart Appleby",39,1.15,126,110,"BirdietoBogeyRatio",2016
134,142,"Keegan Bradley",40,1.15,139,121,"BirdietoBogeyRatio",2016
134,133,"Scott Langley",41,1.15,135,117,"BirdietoBogeyRatio",2016
134,133,"Dawie van der Walt",48,1.15,179,156,"BirdietoBogeyRatio",2016
138,123,"Derek Fathauer",58,1.14,212,186,"BirdietoBogeyRatio",2016
138,142,"Vaughn Taylor",30,1.14,115,101,"BirdietoBogeyRatio",2016
140,133,"Ben Crane",48,1.13,177,157,"BirdietoBogeyRatio",2016
140,133,"Michael Kim",62,1.13,215,191,"BirdietoBogeyRatio",2016
140,142,"Kyle Stanley",57,1.13,207,183,"BirdietoBogeyRatio",2016
140,142,"Chris Stroud",52,1.13,178,158,"BirdietoBogeyRatio",2016
