"OnePuttPercentage_RANKTHISWEEK_2012","OnePuttPercentage_RANKLASTWEEK_2012","OnePuttPercentage_PLAYERNAME_2012","OnePuttPercentage_ROUNDS_2012","OnePuttPercentage_Pct_2012","OnePuttPercentage_OF1PUTTS_2012","OnePuttPercentage_OFHOLES_2012","stat_name","year"
67,67,"Garth Mulroy",59,38.89,399,1026,"OnePuttPercentage",2012
67,67,"Josh Teater",97,38.89,651,1674,"OnePuttPercentage",2012
69,69,"Nick Watney",97,38.83,657,1692,"OnePuttPercentage",2012
70,70,"Jimmy Walker",101,38.78,705,1818,"OnePuttPercentage",2012
71,71,"James Driscoll",83,38.76,579,1494,"OnePuttPercentage",2012
72,72,"Billy Hurley III",70,38.73,474,1224,"OnePuttPercentage",2012
73,73,"Davis Love III",64,38.72,446,1152,"OnePuttPercentage",2012
74,74,"Kevin Chappell",91,38.7,606,1566,"OnePuttPercentage",2012
75,75,"David Hearn",95,38.65,661,1710,"OnePuttPercentage",2012
76,76,"Marc Leishman",84,38.62,584,1512,"OnePuttPercentage",2012
77,77,"Martin Flores",95,38.54,659,1710,"OnePuttPercentage",2012
78,78,"Sung Kang",75,38.51,506,1314,"OnePuttPercentage",2012
79,79,"John Huh",99,38.5,686,1782,"OnePuttPercentage",2012
80,80,"Jim Furyk",85,38.49,582,1512,"OnePuttPercentage",2012
81,81,"Hunter Haas",69,38.46,450,1170,"OnePuttPercentage",2012
82,82,"Martin Laird",77,38.43,505,1314,"OnePuttPercentage",2012
83,83,"Chris Kirk",93,38.39,615,1602,"OnePuttPercentage",2012
84,84,"Tommy Biershenk",74,38.19,495,1296,"OnePuttPercentage",2012
84,84,"Matt Every",80,38.19,550,1440,"OnePuttPercentage",2012
86,86,"Ernie Els",80,38.18,536,1404,"OnePuttPercentage",2012
87,87,"Tim Clark",60,38.15,412,1080,"OnePuttPercentage",2012
88,88,"Nick OHern",78,38.14,508,1332,"OnePuttPercentage",2012
89,89,"Matt Bettencourt",80,38.08,521,1368,"OnePuttPercentage",2012
89,89,"Trevor Immelman",76,38.08,521,1368,"OnePuttPercentage",2012
91,91,"Johnson Wagner",88,38.01,602,1584,"OnePuttPercentage",2012
92,92,"Mark Wilson",84,37.96,533,1404,"OnePuttPercentage",2012
93,93,"Robert Garrigus",89,37.95,608,1602,"OnePuttPercentage",2012
94,94,"Troy Kelly",68,37.93,437,1152,"OnePuttPercentage",2012
94,94,"Jason Kokrak",79,37.93,512,1350,"OnePuttPercentage",2012
96,96,"JB Holmes",90,37.86,586,1548,"OnePuttPercentage",2012
97,97,"Andres Romero",68,37.85,436,1152,"OnePuttPercentage",2012
98,98,"Justin Rose",69,37.83,463,1224,"OnePuttPercentage",2012
99,99,"Mark Anderson",75,37.75,496,1314,"OnePuttPercentage",2012
99,99,"Jeff Maggert",83,37.75,564,1494,"OnePuttPercentage",2012
101,101,"Billy Mayfair",90,37.66,583,1548,"OnePuttPercentage",2012
102,102,"Erik Compton",81,37.52,520,1386,"OnePuttPercentage",2012
102,102,"George McNeill",85,37.52,574,1530,"OnePuttPercentage",2012
104,104,"Charley Hoffman",88,37.5,594,1584,"OnePuttPercentage",2012
