"GreensorFringeinRegulation_RANKTHISWEEK_2016","GreensorFringeinRegulation_RANKLASTWEEK_2016","GreensorFringeinRegulation_PLAYERNAME_2016","GreensorFringeinRegulation_ROUNDS_2016","GreensorFringeinRegulation_Pct_2016","GreensorFringeinRegulation_TOTALHIT_2016","GreensorFringeinRegulation_TOTALATTEMPTS_2016","GreensorFringeinRegulation_RTPSCORE_2016","stat_name","year"
159,167,"Andy Sullivan",25,66.67,192,288,-47,"GreensorFringeinRegulation",2016
159,165,"Daniel Summerhays",55,66.67,516,774,-146,"GreensorFringeinRegulation",2016
163,159,"Scott Brown",59,66.53,479,720,-122,"GreensorFringeinRegulation",2016
163,155,"Peter Malnati",53,66.53,503,756,-128,"GreensorFringeinRegulation",2016
165,154,"Matt Jones",45,66.47,335,504,-81,"GreensorFringeinRegulation",2016
166,163,"Will Wilcox",47,66.38,466,702,-126,"GreensorFringeinRegulation",2016
167,171,"Francesco Molinari",36,66.33,394,594,-100,"GreensorFringeinRegulation",2016
168,172,"Sam Saunders",40,66.24,310,468,-78,"GreensorFringeinRegulation",2016
169,173,"Camilo Villegas",50,66.14,500,756,-121,"GreensorFringeinRegulation",2016
169,170,"Steve Wheatcroft",53,66.14,500,756,-123,"GreensorFringeinRegulation",2016
171,169,"Ricky Barnes",57,66.04,523,792,-148,"GreensorFringeinRegulation",2016
172,175,"Abraham Ancer",26,65.97,190,288,-44,"GreensorFringeinRegulation",2016
173,174,"Hunter Mahan",43,65.95,368,558,-92,"GreensorFringeinRegulation",2016
174,177,"Aaron Baddeley",51,65.9,427,648,-117,"GreensorFringeinRegulation",2016
175,179,"Andres Romero",22,65.81,154,234,-36,"GreensorFringeinRegulation",2016
176,161,"Geoff Ogilvy",37,65.74,355,540,-63,"GreensorFringeinRegulation",2016
177,181,"Billy Hurley III",22,65.69,201,306,-45,"GreensorFringeinRegulation",2016
177,180,"Carlos Ortiz",47,65.69,402,612,-101,"GreensorFringeinRegulation",2016
179,182,"Steve Stricker",25,65.61,248,378,-73,"GreensorFringeinRegulation",2016
180,184,"Miguel Angel Carballo",24,65.48,165,252,-37,"GreensorFringeinRegulation",2016
181,161,"Retief Goosen",37,65.45,377,576,-96,"GreensorFringeinRegulation",2016
182,176,"Tom Hoge",47,65.4,412,630,-113,"GreensorFringeinRegulation",2016
183,187,"Anirban Lahiri",44,65.38,306,468,-77,"GreensorFringeinRegulation",2016
184,185,"DA Points",32,65.28,235,360,-55,"GreensorFringeinRegulation",2016
185,183,"Morgan Hoffmann",43,65.08,410,630,-116,"GreensorFringeinRegulation",2016
186,190,"Ken Duke",26,65,234,360,-40,"GreensorFringeinRegulation",2016
187,191,"Carl Pettersson",31,64.88,327,504,-73,"GreensorFringeinRegulation",2016
188,193,"Lucas Lee",22,64.81,175,270,-30,"GreensorFringeinRegulation",2016
189,186,"Derek Fathauer",58,64.6,500,774,-129,"GreensorFringeinRegulation",2016
190,178,"Erik Compton",45,64.58,372,576,-96,"GreensorFringeinRegulation",2016
191,192,"Brian Harman",60,64.54,546,846,-151,"GreensorFringeinRegulation",2016
192,194,"Matthew Fitzpatrick",23,64.35,139,216,-34,"GreensorFringeinRegulation",2016
193,188,"Jonas Blixt",46,64.26,428,666,-133,"GreensorFringeinRegulation",2016
194,195,"Andrew Landry",24,63.89,138,216,-34,"GreensorFringeinRegulation",2016
195,197,"Darron Stiles",28,63.54,183,288,-32,"GreensorFringeinRegulation",2016
196,199,"Steven Bowditch",40,63.29,319,504,-80,"GreensorFringeinRegulation",2016
197,198,"Chad Collins",45,63.27,410,648,-112,"GreensorFringeinRegulation",2016
198,189,"Ernie Els",34,62.9,317,504,-79,"GreensorFringeinRegulation",2016
199,201,"Justin Leonard",28,62.63,248,396,-55,"GreensorFringeinRegulation",2016
200,199,"George McNeill",33,62.5,315,504,-73,"GreensorFringeinRegulation",2016
201,202,"Dicky Pride",33,62.32,258,414,-58,"GreensorFringeinRegulation",2016
202,206,"Ian Poulter",37,61.84,256,414,-50,"GreensorFringeinRegulation",2016
203,205,"DH Lee",35,61.57,266,432,-70,"GreensorFringeinRegulation",2016
204,203,"Brendon Todd",43,61.27,375,612,-82,"GreensorFringeinRegulation",2016
205,203,"Hiroshi Iwata",51,60.95,373,612,-86,"GreensorFringeinRegulation",2016
206,207,"Robert Allenby",35,60.89,274,450,-37,"GreensorFringeinRegulation",2016
207,208,"Brian Gay",22,56.48,183,324,-48,"GreensorFringeinRegulation",2016
