"ProximitytoHolefromSand_RANKTHISWEEK_2009","ProximitytoHolefromSand_RANKLASTWEEK_2009","ProximitytoHolefromSand_PLAYERNAME_2009","ProximitytoHolefromSand_ROUNDS_2009","ProximitytoHolefromSand_AVGDTP_2009","ProximitytoHolefromSand_TOTALDISTANCEFEET_2009","ProximitytoHolefromSand_OFSHOTS_2009","ProximitytoHolefromSand_SCRAMBLINGRANK_2009","stat_name","year"
46,46,"Lee Janzen",74,NA,868.25,99,66,"ProximitytoHolefromSand",2009
46,46,"Chez Reavie",81,NA,940.583,108,71,"ProximitytoHolefromSand",2009
46,46,"Jimmy Walker",74,NA,941.5,108,27,"ProximitytoHolefromSand",2009
46,46,"Charles Warren",63,NA,675.083,77,121,"ProximitytoHolefromSand",2009
46,46,"Matt Weibring",65,NA,602.167,69,42,"ProximitytoHolefromSand",2009
55,55,"Brian Davis",103,NA,1241,141,95,"ProximitytoHolefromSand",2009
55,55,"Bob Estes",78,NA,855.583,97,28,"ProximitytoHolefromSand",2009
55,55,"Anthony Kim",76,NA,823.167,93,124,"ProximitytoHolefromSand",2009
55,55,"Bill Lunde",83,NA,870.667,99,49,"ProximitytoHolefromSand",2009
55,55,"Jarrod Lyle",65,NA,705.917,80,65,"ProximitytoHolefromSand",2009
55,55,"Will Ma Kenzie",69,NA,794.25,90,164,"ProximitytoHolefromSand",2009
55,55,"Phil Mickelson",66,NA,749.917,85,109,"ProximitytoHolefromSand",2009
55,55,"Nick Watney",86,NA,978.75,111,84,"ProximitytoHolefromSand",2009
63,63,"Chris DiMarco",97,NA,1129.417,127,15,"ProximitytoHolefromSand",2009
63,63,"Ken Duke",87,NA,1092.667,123,53,"ProximitytoHolefromSand",2009
63,63,"Paul Goydos",79,NA,955.583,107,145,"ProximitytoHolefromSand",2009
63,63,"Charley Hoffman",97,NA,1244.417,140,79,"ProximitytoHolefromSand",2009
63,63,"Charles Howell III",99,NA,1125.917,126,118,"ProximitytoHolefromSand",2009
63,63,"DA Points",99,NA,1235,139,111,"ProximitytoHolefromSand",2009
63,63,"Darron Stiles",52,NA,444.417,50,133,"ProximitytoHolefromSand",2009
70,70,"Aaron Baddeley",66,NA,952.5,106,92,"ProximitytoHolefromSand",2009
70,70,"Mark Brooks",55,NA,568.917,63,10,"ProximitytoHolefromSand",2009
70,70,"Ben Curtis",63,NA,811.667,90,85,"ProximitytoHolefromSand",2009
70,70,"Luke Donald",79,NA,1087.75,121,20,"ProximitytoHolefromSand",2009
70,70,"Freddie Jacobson",83,NA,1146.083,127,51,"ProximitytoHolefromSand",2009
70,70,"Joe Ogilvie",85,NA,1236.25,137,41,"ProximitytoHolefromSand",2009
70,70,"Geoff Ogilvy",78,NA,941.917,105,62,"ProximitytoHolefromSand",2009
70,70,"Rory Sabbatini",81,NA,1003.75,112,129,"ProximitytoHolefromSand",2009
70,70,"Patrick Sheehan",51,NA,370.083,41,23,"ProximitytoHolefromSand",2009
70,70,"Scott Verplank",88,NA,1155.167,128,75,"ProximitytoHolefromSand",2009
80,80,"Mathew Goggin",76,NA,844.833,93,134,"ProximitytoHolefromSand",2009
80,80,"Jeff Overton",92,NA,1118.083,123,95,"ProximitytoHolefromSand",2009
82,82,"Jason Gore",74,NA,739.667,81,127,"ProximitytoHolefromSand",2009
82,82,"Jeff Klauk",97,NA,1266.667,138,34,"ProximitytoHolefromSand",2009
82,82,"Bryce Molder",69,NA,713.917,78,37,"ProximitytoHolefromSand",2009
82,82,"Ryan Palmer",78,NA,906.917,99,138,"ProximitytoHolefromSand",2009
82,82,"Pat Perez",74,NA,862.083,94,78,"ProximitytoHolefromSand",2009
82,82,"Rick Price",54,NA,476.083,52,161,"ProximitytoHolefromSand",2009
82,82,"John Senden",100,NA,1304.25,142,128,"ProximitytoHolefromSand",2009
89,89,"Woody Austin",84,NA,1025.5,111,39,"ProximitytoHolefromSand",2009
89,89,"Briny Baird",89,NA,987.667,107,126,"ProximitytoHolefromSand",2009
89,89,"Dustin Johnson",85,NA,813.25,88,143,"ProximitytoHolefromSand",2009
89,89,"Kirk Triplett",60,NA,617.417,67,24,"ProximitytoHolefromSand",2009
93,93,"Sergio Garcia",59,NA,641.75,69,101,"ProximitytoHolefromSand",2009
93,93,"Marc Leishman",91,NA,1189.333,127,116,"ProximitytoHolefromSand",2009
93,93,"Justin Leonard",95,NA,1016.583,109,63,"ProximitytoHolefromSand",2009
93,93,"Steve Marino",98,NA,1181.417,127,60,"ProximitytoHolefromSand",2009
93,93,"Scott McCarron",91,NA,1139.167,122,18,"ProximitytoHolefromSand",2009
93,93,"Kenny Perry",92,NA,833.667,89,13,"ProximitytoHolefromSand",2009
93,93,"Tiger Woods",64,NA,717,77,1,"ProximitytoHolefromSand",2009
100,100,"Lucas Glover",93,NA,1175.833,125,97,"ProximitytoHolefromSand",2009
100,100,"Billy Mayfair",83,NA,936.083,99,169,"ProximitytoHolefromSand",2009
100,100,"Aron Price",89,NA,1098.417,117,93,"ProximitytoHolefromSand",2009
100,100,"Vijay Singh",71,NA,698.083,74,147,"ProximitytoHolefromSand",2009
104,104,"Richard Johnson",85,NA,1053.833,111,87,"ProximitytoHolefromSand",2009
104,104,"Davis Love III",89,NA,1057.167,111,109,"ProximitytoHolefromSand",2009
104,104,"Rocco Mediate",79,NA,880.583,93,145,"ProximitytoHolefromSand",2009
104,104,"Ted Purdy",101,NA,1166.5,123,151,"ProximitytoHolefromSand",2009
104,104,"Nicholas Thompson",96,NA,1368.75,144,122,"ProximitytoHolefromSand",2009
104,104,"Dean Wilson",81,NA,861.667,91,119,"ProximitytoHolefromSand",2009
