"HitFairwayPercentage_RANKTHISWEEK_2016","HitFairwayPercentage_RANKLASTWEEK_2016","HitFairwayPercentage_PLAYERNAME_2016","HitFairwayPercentage_ROUNDS_2016","HitFairwayPercentage_Pct_2016","HitFairwayPercentage_FAIRWAYSHIT_2016","HitFairwayPercentage_POSSIBLEFAIRWAYS_2016","HitFairwayPercentage_RELATIVETOPAR_2016","stat_name","year"
173,174,"Tyrone Van Aswegen",67,54.49,388,712,-0.15,"HitFairwayPercentage",2016
174,177,"Miguel Angel Carballo",24,54.4,105,193,-0.1,"HitFairwayPercentage",2016
175,178,"Stewart Cink",45,54.37,249,458,-0.16,"HitFairwayPercentage",2016
176,176,"Justin Thomas",53,54.21,277,511,-0.14,"HitFairwayPercentage",2016
177,181,"Bubba Watson",30,53.97,129,239,-0.26,"HitFairwayPercentage",2016
178,165,"Harris English",51,53.83,253,470,-0.2,"HitFairwayPercentage",2016
179,183,"Charl Schwartzel",29,53.7,145,270,-0.21,"HitFairwayPercentage",2016
180,182,"Andres Gonzales",46,53.66,249,464,-0.14,"HitFairwayPercentage",2016
181,185,"Patton Kizzire",57,53.39,323,605,-0.2,"HitFairwayPercentage",2016
182,184,"Dustin Johnson",37,53.38,150,281,-0.3,"HitFairwayPercentage",2016
183,186,"Charley Hoffman",49,53.32,265,497,-0.23,"HitFairwayPercentage",2016
184,190,"Rob Oppenheim",37,53.28,203,381,-0.15,"HitFairwayPercentage",2016
185,180,"Shawn Stefani",45,53.21,257,483,-0.11,"HitFairwayPercentage",2016
186,170,"Ernie Els",34,52.99,204,385,-0.13,"HitFairwayPercentage",2016
187,188,"Charlie Beljan",26,52.77,124,235,0,"HitFairwayPercentage",2016
188,189,"Luke Guthrie",31,52.45,150,286,-0.12,"HitFairwayPercentage",2016
189,192,"Jimmy Walker",43,52.26,231,442,-0.31,"HitFairwayPercentage",2016
190,193,"Pat Perez",28,52.12,123,236,-0.07,"HitFairwayPercentage",2016
191,186,"Gary Woodland",45,52.09,249,478,-0.22,"HitFairwayPercentage",2016
192,191,"Anirban Lahiri",44,51.93,188,362,-0.18,"HitFairwayPercentage",2016
193,197,"Ricky Barnes",57,51.74,312,603,-0.22,"HitFairwayPercentage",2016
194,194,"Charles Howell III",63,51.16,352,688,-0.27,"HitFairwayPercentage",2016
195,195,"Derek Fathauer",58,51.02,301,590,-0.17,"HitFairwayPercentage",2016
196,196,"Carlos Ortiz",47,50.98,235,461,-0.13,"HitFairwayPercentage",2016
197,200,"Rhein Gibson",36,50.7,180,355,-0.13,"HitFairwayPercentage",2016
198,198,"Camilo Villegas",50,50.43,291,577,-0.19,"HitFairwayPercentage",2016
199,201,"Seung Yul Noh",54,50.33,303,602,-0.18,"HitFairwayPercentage",2016
200,202,"Luke List",51,50,265,530,-0.19,"HitFairwayPercentage",2016
201,205,"Robert Garrigus",34,49.84,158,317,-0.18,"HitFairwayPercentage",2016
202,203,"Ollie Schniederjans",23,49.22,127,258,-0.31,"HitFairwayPercentage",2016
203,204,"Carl Pettersson",31,48.71,189,388,-0.14,"HitFairwayPercentage",2016
204,199,"Jamie Donaldson",28,48.62,141,290,-0.15,"HitFairwayPercentage",2016
205,206,"Tony Finau",49,48.43,246,508,-0.19,"HitFairwayPercentage",2016
206,208,"Steven Bowditch",40,47.26,181,383,-0.11,"HitFairwayPercentage",2016
207,207,"Andrew Loupe",50,45.96,256,557,-0.27,"HitFairwayPercentage",2016
