"BonusPutting_RANKTHISWEEK_2010","BonusPutting_RANKLASTWEEK_2010","BonusPutting_PLAYERNAME_2010","BonusPutting_ROUNDS_2010","BonusPutting_VALUE_2010","BonusPutting_ATTEMPTS_2010","BonusPutting_TOTMADE20_2010","BonusPutting_TOTMADE_2010","stat_name","year"
175,175,"Rocco Mediate",71,97.59,912,21,869,"BonusPutting",2010
176,176,"Roger Tambellini",77,97.56,944,20,901,"BonusPutting",2010
177,177,"Adam Scott",70,97.31,781,26,734,"BonusPutting",2010
178,178,"David Lutterus",69,97.14,838,28,786,"BonusPutting",2010
179,179,"Jeff Maggert",76,97.08,926,21,878,"BonusPutting",2010
180,180,"Nicholas Thompson",88,96.95,1148,28,1085,"BonusPutting",2010
181,181,"Cameron Percy",73,96.91,906,20,858,"BonusPutting",2010
182,182,"Jason Dufner",87,96.86,1051,25,993,"BonusPutting",2010
183,183,"Mathias Gronberg",61,96.61,738,16,697,"BonusPutting",2010
184,184,"Greg Owen",69,96.45,959,20,905,"BonusPutting",2010
185,185,"Kevin Johnson",62,96.34,737,17,693,"BonusPutting",2010
186,186,"Justin Bolli",55,96.21,634,12,598,"BonusPutting",2010
187,187,"Craig Bowden",56,96.19,734,16,690,"BonusPutting",2010
188,188,"Billy Mayfair",78,96.11,977,18,921,"BonusPutting",2010
189,189,"Jeff Gove",57,96.05,683,14,642,"BonusPutting",2010
190,190,"Mark Calcavecchia",50,95.73,492,15,456,"BonusPutting",2010
191,191,"Chris Wilson",65,95.56,789,15,739,"BonusPutting",2010
192,192,"Garth Mulroy",53,95.02,642,8,602,"BonusPutting",2010
