"ApproachesLeftRoughRTPScore_RANKTHISWEEK_2013","ApproachesLeftRoughRTPScore_RANKLASTWEEK_2013","ApproachesLeftRoughRTPScore_PLAYERNAME_2013","ApproachesLeftRoughRTPScore_ROUNDS_2013","ApproachesLeftRoughRTPScore_AVGRTP_2013","stat_name","year"
160,160,"Andrew Svoboda",46,0.221,"ApproachesLeftRoughRTPScore",2013
161,161,"David Mathis",71,0.223,"ApproachesLeftRoughRTPScore",2013
162,162,"Tim Clark",64,0.231,"ApproachesLeftRoughRTPScore",2013
162,162,"Aaron Watkins",46,0.231,"ApproachesLeftRoughRTPScore",2013
164,164,"Kyle Stanley",71,0.233,"ApproachesLeftRoughRTPScore",2013
165,165,"Michael Bradley",56,0.24,"ApproachesLeftRoughRTPScore",2013
166,166,"Scott Brown",65,0.253,"ApproachesLeftRoughRTPScore",2013
166,166,"Colt Knost",69,0.253,"ApproachesLeftRoughRTPScore",2013
168,168,"Rod Pampling",46,0.255,"ApproachesLeftRoughRTPScore",2013
169,169,"Camilo Villegas",79,0.258,"ApproachesLeftRoughRTPScore",2013
170,170,"Ben Curtis",59,0.259,"ApproachesLeftRoughRTPScore",2013
171,171,"YE Yang",56,0.269,"ApproachesLeftRoughRTPScore",2013
172,172,"Bob Estes",66,0.272,"ApproachesLeftRoughRTPScore",2013
173,173,"Darron Stiles",51,0.275,"ApproachesLeftRoughRTPScore",2013
174,174,"Mike Weir",60,0.277,"ApproachesLeftRoughRTPScore",2013
175,175,"Vaughn Taylor",50,0.281,"ApproachesLeftRoughRTPScore",2013
176,176,"Robert Allenby",58,0.282,"ApproachesLeftRoughRTPScore",2013
177,177,"Tom Gillis",69,0.286,"ApproachesLeftRoughRTPScore",2013
178,178,"Michael Thompson",66,0.314,"ApproachesLeftRoughRTPScore",2013
179,179,"Sean OHair",56,0.327,"ApproachesLeftRoughRTPScore",2013
180,180,"Alistair Presnell",59,0.341,"ApproachesLeftRoughRTPScore",2013
