"StrokesGainedTotal_RANKTHISWEEK_2011","StrokesGainedTotal_RANKLASTWEEK_2011","StrokesGainedTotal_PLAYERNAME_2011","StrokesGainedTotal_ROUNDS_2011","StrokesGainedTotal_AVERAGE_2011","StrokesGainedTotal_TOTALSGT_2011","StrokesGainedTotal_TOTALSGT2G_2011","StrokesGainedTotal_TOTALSGP_2011","StrokesGainedTotal_MEASUREDROUNDS_2011","stat_name","year"
48,48,"Chad Campbell",99,0.544,47.3,84.113,-36.813,87,"StrokesGainedTotal",2011
49,49,"Brandt Jobe",100,0.526,42.571,44.203,-1.632,81,"StrokesGainedTotal",2011
50,50,"Steve Marino",76,0.516,31.963,24.456,7.507,62,"StrokesGainedTotal",2011
51,51,"Dustin Johnson",72,0.496,26.76,53.448,-26.688,54,"StrokesGainedTotal",2011
52,52,"Charley Hoffman",93,0.477,35.328,51.709,-16.381,74,"StrokesGainedTotal",2011
53,53,"Rod Pampling",72,0.472,28.323,24.375,3.948,60,"StrokesGainedTotal",2011
54,54,"Briny Baird",60,0.471,23.095,18.482,4.613,49,"StrokesGainedTotal",2011
55,55,"Ben Crane",76,0.461,28.602,22.34,6.262,62,"StrokesGainedTotal",2011
56,56,"Mark Wilson",89,0.453,31.717,18.836,12.881,70,"StrokesGainedTotal",2011
57,57,"Jonathan Byrd",83,0.433,31.202,22.962,8.24,72,"StrokesGainedTotal",2011
58,58,"Pat Perez",76,0.429,30.054,15.969,14.085,70,"StrokesGainedTotal",2011
59,59,"Woody Austin",59,0.416,20.821,22.052,-1.231,50,"StrokesGainedTotal",2011
60,60,"Lucas Glover",74,0.413,25.182,9.49,15.692,61,"StrokesGainedTotal",2011
61,61,"Andres Romero",77,0.408,27.769,-3.854,31.623,68,"StrokesGainedTotal",2011
62,62,"Chris Couch",73,0.405,27.563,4.877,22.686,68,"StrokesGainedTotal",2011
63,63,"Chris Kirk",87,0.397,30.542,42.71,-12.168,77,"StrokesGainedTotal",2011
64,64,"Nick OHern",89,0.392,29.775,29.198,0.577,76,"StrokesGainedTotal",2011
65,65,"Chez Reavie",92,0.377,30.926,37.091,-6.165,82,"StrokesGainedTotal",2011
66,66,"Greg Chalmers",88,0.374,29.512,-25.974,55.486,79,"StrokesGainedTotal",2011
67,67,"Blake Adams",116,0.368,38.677,-13.457,52.134,105,"StrokesGainedTotal",2011
68,68,"John Merrick",71,0.365,21.9,20.44,1.46,60,"StrokesGainedTotal",2011
69,69,"Retief Goosen",50,0.352,14.077,1.522,12.555,40,"StrokesGainedTotal",2011
70,70,"Billy Mayfair",94,0.349,29.701,48.39,-18.689,85,"StrokesGainedTotal",2011
71,71,"Jimmy Walker",79,0.324,24.618,6.842,17.776,76,"StrokesGainedTotal",2011
72,72,"JJ Henry",96,0.3,23.715,13.69,10.025,79,"StrokesGainedTotal",2011
73,73,"Davis Love III",70,0.271,14.088,29.378,-15.29,52,"StrokesGainedTotal",2011
73,73,"Scott Piercy",78,0.271,17.045,2.284,14.761,63,"StrokesGainedTotal",2011
75,75,"Shane Bertsch",62,0.265,13.765,8.808,4.957,52,"StrokesGainedTotal",2011
76,76,"Trevor Immelman",84,0.262,17.561,-4.214,21.775,67,"StrokesGainedTotal",2011
77,77,"Ian Poulter",52,0.238,9.3,-3.377,12.677,39,"StrokesGainedTotal",2011
78,78,"YE Yang",63,0.226,9.486,0.156,9.33,42,"StrokesGainedTotal",2011
79,79,"Ricky Barnes",78,0.224,14.333,46.935,-32.602,64,"StrokesGainedTotal",2011
79,79,"Charlie Wi",83,0.224,17.261,-41.809,59.07,77,"StrokesGainedTotal",2011
81,81,"Keegan Bradley",91,0.22,16.953,15.44,1.513,77,"StrokesGainedTotal",2011
82,82,"DA Points",89,0.209,15.459,-2.071,17.53,74,"StrokesGainedTotal",2011
83,83,"Hunter Haas",96,0.204,17.326,-13.22,30.546,85,"StrokesGainedTotal",2011
84,84,"Aron Price",58,0.201,9.826,4.151,5.675,49,"StrokesGainedTotal",2011
85,85,"Padraig Harrington",60,0.198,8.894,-0.777,9.671,45,"StrokesGainedTotal",2011
86,86,"Tommy Gainey",104,0.197,17.969,5.564,12.405,91,"StrokesGainedTotal",2011
86,86,"Graeme McDowell",50,0.197,7.304,4.146,3.158,37,"StrokesGainedTotal",2011
88,88,"Cameron Tringale",110,0.184,17.872,3.757,14.115,97,"StrokesGainedTotal",2011
89,89,"Jeff Overton",92,0.171,12.467,0.131,12.336,73,"StrokesGainedTotal",2011
90,90,"Ernie Els",71,0.16,9.428,51.382,-41.954,59,"StrokesGainedTotal",2011
91,91,"David Hearn",88,0.142,10.771,-2.988,13.759,76,"StrokesGainedTotal",2011
92,92,"DJ Trahan",91,0.127,10.558,74.36,-63.802,83,"StrokesGainedTotal",2011
93,93,"Ben Curtis",66,0.126,7.786,-5.327,13.113,62,"StrokesGainedTotal",2011
94,94,"Angel Cabrera",50,0.122,4.272,-13.852,18.124,35,"StrokesGainedTotal",2011
95,95,"William McGirt",103,0.096,8.837,-11.776,20.613,92,"StrokesGainedTotal",2011
96,96,"Kris Blanks",92,0.095,7.893,45.342,-37.449,83,"StrokesGainedTotal",2011
97,97,"Camilo Villegas",69,0.058,3.287,18.538,-15.251,57,"StrokesGainedTotal",2011
98,98,"Robert Garrigus",83,0.057,3.908,35.58,-31.672,69,"StrokesGainedTotal",2011
99,99,"Tim Herron",85,0.053,4.098,-6.194,10.292,77,"StrokesGainedTotal",2011
100,100,"Josh Teater",104,0.05,4.595,17.044,-12.449,92,"StrokesGainedTotal",2011
101,101,"Vaughn Taylor",89,0.03,2.454,-16.056,18.51,83,"StrokesGainedTotal",2011
102,102,"Chris Stroud",88,0.023,1.786,14.954,-13.168,78,"StrokesGainedTotal",2011
103,103,"David Mathis",83,0.017,1.181,-14.563,15.744,70,"StrokesGainedTotal",2011
104,104,"Johnson Wagner",81,0.007,0.479,-25.452,25.931,70,"StrokesGainedTotal",2011
105,105,"Bill Lunde",92,-0.016,-1.206,-0.313,-0.893,77,"StrokesGainedTotal",2011
106,106,"Marc Leishman",87,-0.024,-1.942,9.246,-11.188,80,"StrokesGainedTotal",2011
107,107,"Scott Stallings",84,-0.03,-2.104,10.578,-12.682,69,"StrokesGainedTotal",2011
108,108,"Brendan Steele",89,-0.045,-3.431,-1.265,-2.166,77,"StrokesGainedTotal",2011
109,109,"George McNeill",69,-0.069,-4.022,-4.467,0.445,58,"StrokesGainedTotal",2011
110,110,"Chris DiMarco",93,-0.098,-8.041,6.554,-14.595,82,"StrokesGainedTotal",2011
111,111,"Heath Slocum",89,-0.1,-7.423,30.341,-37.764,74,"StrokesGainedTotal",2011
112,112,"Anthony Kim",72,-0.104,-6.016,-19.747,13.731,58,"StrokesGainedTotal",2011
113,113,"Paul Stankowski",78,-0.12,-7.771,-28.287,20.516,65,"StrokesGainedTotal",2011
