"Back9LowestRound_RANKTHISWEEK_2014","Back9LowestRound_RANKLASTWEEK_2014","Back9LowestRound_PLAYERNAME_2014","Back9LowestRound_ROUNDS_2014","Back9LowestRound_LOWRND_2014","stat_name","year"
49,49,"Webb Simpson",87,31,"Back9LowestRound",2014
49,49,"Vijay Singh",83,31,"Back9LowestRound",2014
49,49,"Heath Slocum",71,31,"Back9LowestRound",2014
49,49,"Jordan Spieth",102,31,"Back9LowestRound",2014
49,49,"Scott Stallings",77,31,"Back9LowestRound",2014
49,49,"Henrik Stenson",56,31,"Back9LowestRound",2014
49,49,"Robert Streb",75,31,"Back9LowestRound",2014
49,49,"Chris Stroud",88,31,"Back9LowestRound",2014
49,49,"Brian Stuard",91,31,"Back9LowestRound",2014
49,49,"Hudson Swafford",75,31,"Back9LowestRound",2014
49,49,"Josh Teater",90,31,"Back9LowestRound",2014
49,49,"Nicholas Thompson",85,31,"Back9LowestRound",2014
49,49,"Brendon Todd",108,31,"Back9LowestRound",2014
49,49,"David Toms",64,31,"Back9LowestRound",2014
49,49,"Cameron Tringale",111,31,"Back9LowestRound",2014
49,49,"Kevin Tway",64,31,"Back9LowestRound",2014
49,49,"Tyrone Van Aswegen",79,31,"Back9LowestRound",2014
49,49,"Bo Van Pelt",83,31,"Back9LowestRound",2014
49,49,"Camilo Villegas",95,31,"Back9LowestRound",2014
49,49,"Johnson Wagner",69,31,"Back9LowestRound",2014
49,49,"Nick Watney",80,31,"Back9LowestRound",2014
49,49,"Bubba Watson",76,31,"Back9LowestRound",2014
49,49,"Charlie Wi",72,31,"Back9LowestRound",2014
49,49,"Will Wilcox",51,31,"Back9LowestRound",2014
49,49,"Gary Woodland",93,31,"Back9LowestRound",2014
138,138,"Woody Austin",63,32,"Back9LowestRound",2014
138,138,"Aaron Baddeley",74,32,"Back9LowestRound",2014
138,138,"Angel Cabrera",69,32,"Back9LowestRound",2014
138,138,"Roberto Castro",76,32,"Back9LowestRound",2014
138,138,"Greg Chalmers",85,32,"Back9LowestRound",2014
138,138,"Ben Crane",81,32,"Back9LowestRound",2014
138,138,"Ben Curtis",77,32,"Back9LowestRound",2014
138,138,"Jason Day",54,32,"Back9LowestRound",2014
138,138,"Jason Dufner",57,32,"Back9LowestRound",2014
138,138,"Derek Ernst",80,32,"Back9LowestRound",2014
138,138,"Martin Flores",85,32,"Back9LowestRound",2014
138,138,"Brice Garnett",92,32,"Back9LowestRound",2014
138,138,"Lucas Glover",68,32,"Back9LowestRound",2014
138,138,"Luke Guthrie",85,32,"Back9LowestRound",2014
138,138,"Chesson Hadley",84,32,"Back9LowestRound",2014
138,138,"David Hearn",97,32,"Back9LowestRound",2014
138,138,"JB Holmes",86,32,"Back9LowestRound",2014
138,138,"Charles Howell III",106,32,"Back9LowestRound",2014
138,138,"John Huh",87,32,"Back9LowestRound",2014
138,138,"Trevor Immelman",84,32,"Back9LowestRound",2014
138,138,"Spencer Levin",59,32,"Back9LowestRound",2014
138,138,"Jeff Maggert",54,32,"Back9LowestRound",2014
138,138,"Hunter Mahan",88,32,"Back9LowestRound",2014
138,138,"Troy Merritt",62,32,"Back9LowestRound",2014
138,138,"Jeff Overton",80,32,"Back9LowestRound",2014
138,138,"John Peterson",62,32,"Back9LowestRound",2014
138,138,"Ted Potter Jr",68,32,"Back9LowestRound",2014
138,138,"Ian Poulter",57,32,"Back9LowestRound",2014
138,138,"Justin Rose",70,32,"Back9LowestRound",2014
138,138,"Shawn Stefani",60,32,"Back9LowestRound",2014
138,138,"Jhonattan Vegas",77,32,"Back9LowestRound",2014
138,138,"Boo Weekley",73,32,"Back9LowestRound",2014
138,138,"Mike Weir",69,32,"Back9LowestRound",2014
138,138,"Lee Westwood",57,32,"Back9LowestRound",2014
138,138,"Mark Wilson",69,32,"Back9LowestRound",2014
173,173,"Robert Allenby",83,33,"Back9LowestRound",2014
173,173,"Chad Campbell",57,33,"Back9LowestRound",2014
173,173,"DH Lee",54,33,"Back9LowestRound",2014
173,173,"Richard Lee",80,33,"Back9LowestRound",2014
173,173,"DA Points",75,33,"Back9LowestRound",2014
