"Approachesfrominside100yardsRgh_RANKTHISWEEK_2008","Approachesfrominside100yardsRgh_RANKLASTWEEK_2008","Approachesfrominside100yardsRgh_PLAYERNAME_2008","Approachesfrominside100yardsRgh_ROUNDS_2008","Approachesfrominside100yardsRgh_AVG_2008","Approachesfrominside100yardsRgh_TOTALDISTANCEFEET_2008","Approachesfrominside100yardsRgh_OFATTEMPTS_2008","Approachesfrominside100yardsRgh_RELATIVETOPAR_2008","stat_name","year"
18,18,"Will Ma Kenzie",62,NA,469.083,25,8,"Approachesfrominside100yardsRgh",2008
19,19,"Steve Stricker",75,NA,507.75,27,-2,"Approachesfrominside100yardsRgh",2008
20,20,"Craig Kanada",65,NA,434.75,23,7,"Approachesfrominside100yardsRgh",2008
21,21,"Rocco Mediate",87,NA,436.083,23,-5,"Approachesfrominside100yardsRgh",2008
21,21,"Adam Scott",51,NA,303.667,16,-1,"Approachesfrominside100yardsRgh",2008
23,23,"Paul Goydos",78,NA,896.5,47,8,"Approachesfrominside100yardsRgh",2008
23,23,"Doug LaBelle II",65,NA,305.583,16,1,"Approachesfrominside100yardsRgh",2008
25,25,"Charlie Wi",97,NA,497.25,26,6,"Approachesfrominside100yardsRgh",2008
26,26,"Brad Elder",67,NA,539.833,28,6,"Approachesfrominside100yardsRgh",2008
26,26,"Kevin Sutherland",98,NA,788.167,41,3,"Approachesfrominside100yardsRgh",2008
28,28,"Todd Demsey",80,NA,485.583,25,5,"Approachesfrominside100yardsRgh",2008
29,29,"Briny Baird",113,NA,664.333,34,0,"Approachesfrominside100yardsRgh",2008
30,30,"Alex Cejka",75,NA,570.333,29,4,"Approachesfrominside100yardsRgh",2008
31,31,"Ben Curtis",80,NA,397.167,20,-2,"Approachesfrominside100yardsRgh",2008
31,31,"Vijay Singh",82,NA,971.583,49,-3,"Approachesfrominside100yardsRgh",2008
33,33,"Stephen Ames",83,NA,737.833,37,-2,"Approachesfrominside100yardsRgh",2008
33,33,"Gavin Coles",54,NA,477.083,24,-4,"Approachesfrominside100yardsRgh",2008
35,35,"Vaughn Taylor",103,NA,759.917,38,6,"Approachesfrominside100yardsRgh",2008
36,36,"Shane Bertsch",96,NA,721.75,36,-3,"Approachesfrominside100yardsRgh",2008
37,37,"Parker McLachlin",88,NA,744.833,37,1,"Approachesfrominside100yardsRgh",2008
38,38,"Daniel Chopra",84,NA,1136.25,56,-3,"Approachesfrominside100yardsRgh",2008
38,38,"Travis Perkins",53,NA,486.833,24,1,"Approachesfrominside100yardsRgh",2008
40,40,"Tom Pernice Jr",104,NA,1085,53,10,"Approachesfrominside100yardsRgh",2008
41,41,"Michael Letzig",88,NA,871.75,42,8,"Approachesfrominside100yardsRgh",2008
41,41,"Corey Pavin",69,NA,331.583,16,1,"Approachesfrominside100yardsRgh",2008
43,43,"Brett Rumford",72,NA,793.417,38,5,"Approachesfrominside100yardsRgh",2008
44,44,"Chris Riley",51,NA,294.417,14,2,"Approachesfrominside100yardsRgh",2008
45,45,"John Huston",56,NA,526.917,25,5,"Approachesfrominside100yardsRgh",2008
45,45,"Steve Lowery",74,NA,758.25,36,6,"Approachesfrominside100yardsRgh",2008
47,47,"Trevor Immelman",70,NA,467.167,22,6,"Approachesfrominside100yardsRgh",2008
48,48,"Brandt Jobe",52,NA,384.167,18,6,"Approachesfrominside100yardsRgh",2008
48,48,"Phil Mickelson",80,NA,745.417,35,-1,"Approachesfrominside100yardsRgh",2008
50,50,"Ben Crane",86,NA,772.167,36,1,"Approachesfrominside100yardsRgh",2008
51,51,"Justin Leonard",101,NA,603.083,28,2,"Approachesfrominside100yardsRgh",2008
52,52,"Billy Andrade",71,NA,647.333,30,4,"Approachesfrominside100yardsRgh",2008
52,52,"Brenden Pappas",66,NA,582,27,6,"Approachesfrominside100yardsRgh",2008
54,54,"Lucas Glover",91,NA,740.5,34,11,"Approachesfrominside100yardsRgh",2008
55,55,"Chad Collins",72,NA,633.583,29,7,"Approachesfrominside100yardsRgh",2008
55,55,"Sean OHair",81,NA,874.083,40,3,"Approachesfrominside100yardsRgh",2008
57,57,"John Mallinger",95,NA,809.917,37,8,"Approachesfrominside100yardsRgh",2008
57,57,"Kenny Perry",97,NA,919.833,42,1,"Approachesfrominside100yardsRgh",2008
59,59,"Woody Austin",109,NA,1145.667,52,7,"Approachesfrominside100yardsRgh",2008
59,59,"John Rollins",94,NA,903.167,41,1,"Approachesfrominside100yardsRgh",2008
61,61,"Retief Goosen",59,NA,242.75,11,8,"Approachesfrominside100yardsRgh",2008
61,61,"Jeff Gove",50,NA,242.917,11,2,"Approachesfrominside100yardsRgh",2008
61,61,"Charles Howell III",101,NA,838.167,38,-8,"Approachesfrominside100yardsRgh",2008
61,61,"Freddie Jacobson",78,NA,794.333,36,3,"Approachesfrominside100yardsRgh",2008
61,61,"Billy Mayfair",103,NA,838.75,38,2,"Approachesfrominside100yardsRgh",2008
66,66,"Kevin Stadler",90,NA,1065.083,48,5,"Approachesfrominside100yardsRgh",2008
67,67,"Brad Adamonis",87,NA,867.083,39,5,"Approachesfrominside100yardsRgh",2008
67,67,"Brett Quigley",80,NA,802.25,36,5,"Approachesfrominside100yardsRgh",2008
69,69,"Scott Sterling",89,NA,514.583,23,5,"Approachesfrominside100yardsRgh",2008
70,70,"Chris DiMarco",87,NA,966.417,43,0,"Approachesfrominside100yardsRgh",2008
70,70,"Heath Slocum",104,NA,675.333,30,9,"Approachesfrominside100yardsRgh",2008
72,72,"Cliff Kresge",84,NA,563.75,25,5,"Approachesfrominside100yardsRgh",2008
72,72,"Steve Marino",119,NA,949.583,42,-4,"Approachesfrominside100yardsRgh",2008
74,74,"Jay Williamson",96,NA,794.667,35,6,"Approachesfrominside100yardsRgh",2008
75,75,"YE Yang",89,NA,658.667,29,5,"Approachesfrominside100yardsRgh",2008
76,76,"Glen Day",64,NA,663,29,2,"Approachesfrominside100yardsRgh",2008
76,76,"Jason Day",81,NA,937.5,41,5,"Approachesfrominside100yardsRgh",2008
76,76,"Stephen Leaney",53,NA,410.5,18,5,"Approachesfrominside100yardsRgh",2008
79,79,"Steve Flesch",95,NA,989.333,43,9,"Approachesfrominside100yardsRgh",2008
79,79,"Frank Lickliter II",107,NA,1171.25,51,11,"Approachesfrominside100yardsRgh",2008
79,79,"Kevin Streelman",114,NA,1240.333,54,2,"Approachesfrominside100yardsRgh",2008
82,82,"Richard Johnson",77,NA,1061.333,46,7,"Approachesfrominside100yardsRgh",2008
82,82,"Kevin Na",97,NA,737.667,32,0,"Approachesfrominside100yardsRgh",2008
82,82,"Jeff Overton",103,NA,1269.917,55,4,"Approachesfrominside100yardsRgh",2008
82,82,"Carl Pettersson",110,NA,970.333,42,-2,"Approachesfrominside100yardsRgh",2008
86,86,"Harrison Frazar",73,NA,718.333,31,1,"Approachesfrominside100yardsRgh",2008
86,86,"David Toms",70,NA,370,16,1,"Approachesfrominside100yardsRgh",2008
88,88,"DJ Trahan",94,NA,790.167,34,12,"Approachesfrominside100yardsRgh",2008
89,89,"Jonathan Byrd",88,NA,512.417,22,1,"Approachesfrominside100yardsRgh",2008
89,89,"Bob Estes",90,NA,723.083,31,3,"Approachesfrominside100yardsRgh",2008
