"ScramblingfromOtherLocations_RANKTHISWEEK_2011","ScramblingfromOtherLocations_RANKLASTWEEK_2011","ScramblingfromOtherLocations_PLAYERNAME_2011","ScramblingfromOtherLocations_ROUNDS_2011","ScramblingfromOtherLocations_Pct_2011","ScramblingfromOtherLocations_SUCCESSES_2011","ScramblingfromOtherLocations_ATTEMPTS_2011","stat_name","year"
159,159,"Charley Hoffman",93,52.55,72,137,"ScramblingfromOtherLocations",2011
159,159,"Ben Martin",74,52.55,72,137,"ScramblingfromOtherLocations",2011
161,161,"Martin Piller",63,52.38,66,126,"ScramblingfromOtherLocations",2011
162,162,"Boo Weekley",66,52.22,47,90,"ScramblingfromOtherLocations",2011
163,163,"Ricky Barnes",78,52.17,60,115,"ScramblingfromOtherLocations",2011
164,164,"Kyle Stanley",98,52.03,64,123,"ScramblingfromOtherLocations",2011
165,165,"Bio Kim",71,51.97,79,152,"ScramblingfromOtherLocations",2011
166,166,"Gary Woodland",93,51.82,57,110,"ScramblingfromOtherLocations",2011
167,167,"Steven Bowditch",86,51.7,76,147,"ScramblingfromOtherLocations",2011
168,168,"Pat Perez",76,51.45,71,138,"ScramblingfromOtherLocations",2011
169,169,"Will Strickler",51,51.4,55,107,"ScramblingfromOtherLocations",2011
170,170,"Bryce Molder",82,51.33,77,150,"ScramblingfromOtherLocations",2011
171,171,"Tag Ridings",87,51.25,82,160,"ScramblingfromOtherLocations",2011
172,172,"Robert Garrigus",83,50.78,65,128,"ScramblingfromOtherLocations",2011
173,173,"Zack Miller",86,50.59,86,170,"ScramblingfromOtherLocations",2011
174,174,"Geoff Ogilvy",69,50.53,48,95,"ScramblingfromOtherLocations",2011
175,175,"Kevin Stadler",88,50.36,69,137,"ScramblingfromOtherLocations",2011
176,176,"Lee Janzen",62,49.61,63,127,"ScramblingfromOtherLocations",2011
177,177,"Ian Poulter",52,49.32,36,73,"ScramblingfromOtherLocations",2011
178,178,"Adam Scott",60,49.23,32,65,"ScramblingfromOtherLocations",2011
179,179,"Retief Goosen",50,49.12,28,57,"ScramblingfromOtherLocations",2011
180,180,"Derek Lamely",65,48.44,62,128,"ScramblingfromOtherLocations",2011
181,181,"DJ Brigman",67,48.05,74,154,"ScramblingfromOtherLocations",2011
182,182,"Phil Mickelson",79,47.89,34,71,"ScramblingfromOtherLocations",2011
183,183,"Robert Karlsson",61,47.5,38,80,"ScramblingfromOtherLocations",2011
184,184,"Graeme McDowell",50,46.48,33,71,"ScramblingfromOtherLocations",2011
185,185,"Alex Prugh",82,45.45,65,143,"ScramblingfromOtherLocations",2011
186,186,"Marc Turnesa",54,44.44,40,90,"ScramblingfromOtherLocations",2011
