"FirstTeeLateScoringAverage_RANKTHISWEEK_2010","FirstTeeLateScoringAverage_RANKLASTWEEK_2010","FirstTeeLateScoringAverage_PLAYERNAME_2010","FirstTeeLateScoringAverage_ROUNDS_2010","FirstTeeLateScoringAverage_AVG_2010","FirstTeeLateScoringAverage_TOTALSTROKES_2010","FirstTeeLateScoringAverage_TOTAL1STTEELATEROUNDS_2010","stat_name","year"
135,135,"Jason Day",82,71.16,2206,31,"FirstTeeLateScoringAverage",2010
135,135,"Matt Every",60,71.16,1352,19,"FirstTeeLateScoringAverage",2010
135,135,"Billy Mayfair",78,71.16,1352,19,"FirstTeeLateScoringAverage",2010
135,135,"Adam Scott",70,71.16,2206,31,"FirstTeeLateScoringAverage",2010
139,139,"Cliff Kresge",50,71.18,783,11,"FirstTeeLateScoringAverage",2010
140,140,"Brenden Pappas",66,71.2,1068,15,"FirstTeeLateScoringAverage",2010
141,141,"Chris Stroud",90,71.24,2066,29,"FirstTeeLateScoringAverage",2010
142,142,"Sergio Garcia",58,71.29,1212,17,"FirstTeeLateScoringAverage",2010
143,143,"Marc Leishman",87,71.3,2139,30,"FirstTeeLateScoringAverage",2010
144,144,"Kevin Stadler",86,71.32,1569,22,"FirstTeeLateScoringAverage",2010
145,145,"Michael Bradley",77,71.33,1070,15,"FirstTeeLateScoringAverage",2010
145,145,"Greg Kraft",52,71.33,1070,15,"FirstTeeLateScoringAverage",2010
145,145,"Jeff Maggert",76,71.33,1712,24,"FirstTeeLateScoringAverage",2010
145,145,"Steve Marino",81,71.33,2354,33,"FirstTeeLateScoringAverage",2010
149,149,"Skip Kendall",58,71.35,1213,17,"FirstTeeLateScoringAverage",2010
150,150,"Padraig Harrington",57,71.37,1927,27,"FirstTeeLateScoringAverage",2010
151,151,"George McNeill",79,71.39,1999,28,"FirstTeeLateScoringAverage",2010
152,152,"Jerry Kelly",99,71.4,2499,35,"FirstTeeLateScoringAverage",2010
153,153,"Blake Adams",84,71.43,1500,21,"FirstTeeLateScoringAverage",2010
154,154,"Ben Curtis",78,71.44,1286,18,"FirstTeeLateScoringAverage",2010
155,155,"Trevor Immelman",55,71.47,1358,19,"FirstTeeLateScoringAverage",2010
156,156,"Ted Purdy",86,71.48,1501,21,"FirstTeeLateScoringAverage",2010
157,157,"David Lutterus",69,71.5,858,12,"FirstTeeLateScoringAverage",2010
158,158,"Brian Gay",101,71.52,1788,25,"FirstTeeLateScoringAverage",2010
159,159,"Andrew McLardy",52,71.56,644,9,"FirstTeeLateScoringAverage",2010
160,160,"Michael Letzig",84,71.58,1360,19,"FirstTeeLateScoringAverage",2010
161,161,"Mathew Goggin",85,71.59,1575,22,"FirstTeeLateScoringAverage",2010
162,162,"Brian Davis",101,71.62,2435,34,"FirstTeeLateScoringAverage",2010
163,163,"Steve Wheatcroft",74,71.71,1506,21,"FirstTeeLateScoringAverage",2010
164,164,"Craig Bowden",56,71.72,1291,18,"FirstTeeLateScoringAverage",2010
164,164,"Joe Ogilvie",99,71.72,2080,29,"FirstTeeLateScoringAverage",2010
166,166,"Jeff Gove",57,71.75,861,12,"FirstTeeLateScoringAverage",2010
167,167,"Cameron Percy",73,71.77,1579,22,"FirstTeeLateScoringAverage",2010
168,168,"Brad Faxon",58,71.79,1005,14,"FirstTeeLateScoringAverage",2010
