"Percentageofpotentialmoneywon_RANKTHISWEEK_2016","Percentageofpotentialmoneywon_RANKLASTWEEK_2016","Percentageofpotentialmoneywon_PLAYERNAME_2016","Percentageofpotentialmoneywon_EVENTS_2016","Percentageofpotentialmoneywon_Pct_2016","Percentageofpotentialmoneywon_OFFICIALMONEYWON_2016","Percentageofpotentialmoneywon_POTENTIALMONEY_2016","stat_name","year"
222,220,"Ernie Els",10,1.74,213943,12330000,"Percentageofpotentialmoneywon",2016
223,218,"Thomas Aiken",13,1.69,246390,14612000,"Percentageofpotentialmoneywon",2016
224,216,"Davis Love III",11,1.67,222421,13294000,"Percentageofpotentialmoneywon",2016
224,223,"Rob Oppenheim",11,1.67,194269,11646000,"Percentageofpotentialmoneywon",2016
226,223,"Whee Kim",18,1.63,320553,19710000,"Percentageofpotentialmoneywon",2016
227,227,"Tim Clark",7,1.53,110360,7200000,"Percentageofpotentialmoneywon",2016
228,225,"Ben Crane",17,1.51,293395,19458000,"Percentageofpotentialmoneywon",2016
229,229,"Brandon Hagy",2,1.47,33226,2268000,"Percentageofpotentialmoneywon",2016
229,226,"Will Ma Kenzie",17,1.47,268289,18306000,"Percentageofpotentialmoneywon",2016
231,230,"Ryan Ruffels",6,1.44,100802,7002000,"Percentageofpotentialmoneywon",2016
231,243,"Dawie van der Walt",16,1.44,250278,17406000,"Percentageofpotentialmoneywon",2016
233,231,"Jorge Fernandez Valdes",1,1.43,7705,540000,"Percentageofpotentialmoneywon",2016
234,233,"Marc Turnesa",5,1.41,69390,4914000,"Percentageofpotentialmoneywon",2016
235,236,"Larry Mize",1,1.38,24900,1800000,"Percentageofpotentialmoneywon",2016
236,237,"Benjamin Taylor",1,1.35,16968,1260000,"Percentageofpotentialmoneywon",2016
237,232,"Brendon de Jonge",19,1.34,282112,21132000,"Percentageofpotentialmoneywon",2016
238,241,"Angel Cabrera",13,1.31,206677,15786000,"Percentageofpotentialmoneywon",2016
239,235,"Michael Thompson",14,1.28,191023,14958000,"Percentageofpotentialmoneywon",2016
240,233,"George McNeill",13,1.27,179894,14112000,"Percentageofpotentialmoneywon",2016
241,243,"Curtis Reed",1,1.26,14012,1116000,"Percentageofpotentialmoneywon",2016
242,245,"Hunter Mahan",14,1.25,217625,17402000,"Percentageofpotentialmoneywon",2016
243,237,"Sam Saunders",15,1.24,204119,16398000,"Percentageofpotentialmoneywon",2016
244,247,"Prayad Marksaeng",1,1.23,15540,1260000,"Percentageofpotentialmoneywon",2016
245,241,"JJ Henry",14,1.21,197603,16390000,"Percentageofpotentialmoneywon",2016
245,240,"Mark Wilson",13,1.21,171846,14202000,"Percentageofpotentialmoneywon",2016
247,249,"Matt Atkins",1,1.17,11970,1026000,"Percentageofpotentialmoneywon",2016
248,250,"Ben Leong",1,1.16,14630,1260000,"Percentageofpotentialmoneywon",2016
249,251,"Scott Pinckney",18,1.11,221366,19998000,"Percentageofpotentialmoneywon",2016
250,251,"Shane Bertsch",9,1.1,105492,9630000,"Percentageofpotentialmoneywon",2016
250,251,"Erik Compton",16,1.1,194407,17622000,"Percentageofpotentialmoneywon",2016
252,274,"Robert Garrigus",11,1.09,127172,11628000,"Percentageofpotentialmoneywon",2016
253,248,"Kelly Kraft",12,1.08,138915,12816000,"Percentageofpotentialmoneywon",2016
253,255,"Hideto Tanihara",1,1.08,11252,1044000,"Percentageofpotentialmoneywon",2016
255,256,"Mardan Mamat",1,1.07,13440,1260000,"Percentageofpotentialmoneywon",2016
256,258,"Arie Ahmad Irawan",1,1.05,13230,1260000,"Percentageofpotentialmoneywon",2016
256,258,"Henrik Norlander",13,1.05,146178,13860000,"Percentageofpotentialmoneywon",2016
258,261,"Jin Park",1,1.04,11968,1152000,"Percentageofpotentialmoneywon",2016
259,262,"Billy Mayfair",3,0.99,23681,2394000,"Percentageofpotentialmoneywon",2016
260,256,"Shawn Stefani",16,0.98,168351,17118000,"Percentageofpotentialmoneywon",2016
261,246,"Jonathan Byrd",6,0.97,58655,6030000,"Percentageofpotentialmoneywon",2016
261,258,"Matt Every",14,0.97,158452,16354000,"Percentageofpotentialmoneywon",2016
263,268,"Derek Ernst",12,0.96,123246,12780000,"Percentageofpotentialmoneywon",2016
263,264,"Tim Herron",7,0.96,67842,7074000,"Percentageofpotentialmoneywon",2016
265,270,"Steve Wheatcroft",16,0.94,165885,17712000,"Percentageofpotentialmoneywon",2016
266,265,"Michael Bradley",5,0.93,45730,4914000,"Percentageofpotentialmoneywon",2016
267,266,"Michael Putnam",7,0.92,65600,7110000,"Percentageofpotentialmoneywon",2016
268,263,"Andres Gonzales",17,0.91,170068,18594000,"Percentageofpotentialmoneywon",2016
269,267,"Ryo Ishikawa",6,0.9,62102,6876000,"Percentageofpotentialmoneywon",2016
269,254,"Ollie Schniederjans",7,0.9,68585,7596000,"Percentageofpotentialmoneywon",2016
271,268,"Steve Flesch",3,0.88,21054,2394000,"Percentageofpotentialmoneywon",2016
272,271,"Greg Chalmers",5,0.84,44791,5342000,"Percentageofpotentialmoneywon",2016
273,272,"Frank Lickliter II",4,0.79,28985,3654000,"Percentageofpotentialmoneywon",2016
273,272,"Rory Sabbatini",14,0.79,119213,15174000,"Percentageofpotentialmoneywon",2016
275,275,"Cameron Beckman",7,0.75,52855,7056000,"Percentageofpotentialmoneywon",2016
276,276,"Carlos Ortiz",17,0.73,138105,18846000,"Percentageofpotentialmoneywon",2016
277,276,"Mark Hensby",2,0.7,10944,1566000,"Percentageofpotentialmoneywon",2016
278,278,"John Rollins",5,0.68,31888,4680000,"Percentageofpotentialmoneywon",2016
279,280,"Brian Gay",8,0.63,57419,9054000,"Percentageofpotentialmoneywon",2016
280,281,"Ken Duke",9,0.62,61335,9936000,"Percentageofpotentialmoneywon",2016
281,282,"John Merrick",7,0.61,42188,6912000,"Percentageofpotentialmoneywon",2016
282,279,"DA Points",11,0.6,70534,11808000,"Percentageofpotentialmoneywon",2016
283,305,"Matt Dobyns",5,0.58,29101,5040000,"Percentageofpotentialmoneywon",2016
284,284,"Wes Roach",12,0.56,70530,12564000,"Percentageofpotentialmoneywon",2016
285,283,"DH Lee",13,0.53,73474,13860000,"Percentageofpotentialmoneywon",2016
286,285,"Fred Funk",4,0.5,18661,3726000,"Percentageofpotentialmoneywon",2016
287,286,"Rhein Gibson",13,0.49,68127,13950000,"Percentageofpotentialmoneywon",2016
287,286,"Tim Petrovic",3,0.49,11286,2304000,"Percentageofpotentialmoneywon",2016
287,286,"Adam Svensson",2,0.49,7705,1566000,"Percentageofpotentialmoneywon",2016
290,289,"Billy Hurley III",8,0.48,39313,8172000,"Percentageofpotentialmoneywon",2016
291,290,"Lucas Lee",9,0.45,41253,9252000,"Percentageofpotentialmoneywon",2016
292,291,"Austin Connelly",3,0.44,15050,3384000,"Percentageofpotentialmoneywon",2016
293,292,"Eric Axley",3,0.43,9861,2304000,"Percentageofpotentialmoneywon",2016
294,293,"Rod Pampling",8,0.42,34469,8244000,"Percentageofpotentialmoneywon",2016
295,295,"Ted Purdy",4,0.41,15017,3654000,"Percentageofpotentialmoneywon",2016
296,296,"Dicky Pride",13,0.4,55134,13734000,"Percentageofpotentialmoneywon",2016
297,297,"Miguel Angel Carballo",11,0.39,44433,11394000,"Percentageofpotentialmoneywon",2016
297,297,"John Peterson",3,0.39,13020,3366000,"Percentageofpotentialmoneywon",2016
299,300,"Andrew Landry",9,0.38,34777,9270000,"Percentageofpotentialmoneywon",2016
299,293,"Geoff Ogilvy",14,0.38,61690,16164000,"Percentageofpotentialmoneywon",2016
299,300,"Pat Perez",11,0.38,47840,12618000,"Percentageofpotentialmoneywon",2016
302,303,"Tom Gillis",7,0.37,26072,7038000,"Percentageofpotentialmoneywon",2016
303,300,"Brendon Todd",18,0.36,69916,19476000,"Percentageofpotentialmoneywon",2016
304,304,"Carl Pettersson",14,0.35,54710,15480000,"Percentageofpotentialmoneywon",2016
305,305,"Brian Davis",8,0.34,27880,8154000,"Percentageofpotentialmoneywon",2016
305,297,"Justin Hicks",10,0.34,39543,11520000,"Percentageofpotentialmoneywon",2016
307,307,"Blake Adams",4,0.31,13764,4464000,"Percentageofpotentialmoneywon",2016
308,308,"Alex Prugh",7,0.3,21352,7092000,"Percentageofpotentialmoneywon",2016
309,309,"Bo Van Pelt",5,0.29,15392,5328000,"Percentageofpotentialmoneywon",2016
310,310,"Darron Stiles",10,0.27,27742,10368000,"Percentageofpotentialmoneywon",2016
311,314,"Trevor Immelman",7,0.26,20509,7884000,"Percentageofpotentialmoneywon",2016
312,311,"Tommy Gainey",4,0.23,7872,3366000,"Percentageofpotentialmoneywon",2016
313,312,"Abraham Ancer",11,0.17,19468,11502000,"Percentageofpotentialmoneywon",2016
314,313,"Jarrod Lyle",7,0.12,8569,7056000,"Percentageofpotentialmoneywon",2016
315,315,"Charlie Beljan",13,0.08,11160,13860000,"Percentageofpotentialmoneywon",2016
316,315,"Robert Allenby",16,0.07,12586,17190000,"Percentageofpotentialmoneywon",2016
