"RoughTendency_RANKTHISWEEK_2008","RoughTendency_RANKLASTWEEK_2008","RoughTendency_PLAYERNAME_2008","RoughTendency_ROUNDS_2008","RoughTendency_Pct_2008","RoughTendency_TOTALROUGH_2008","RoughTendency_POSSIBLEFWYS_2008","RoughTendency_RELATIVETOPAR_2008","stat_name","year"
118,118,"Will Ma Kenzie",62,28.97,226,780,2.04,"RoughTendency",2008
119,119,"Aaron Baddeley",76,28.98,242,835,0.74,"RoughTendency",2008
120,120,"Jesper Parnevik",88,29.04,295,1016,1.53,"RoughTendency",2008
121,121,"Paul Casey",55,29.07,143,492,2.17,"RoughTendency",2008
122,122,"Ted Purdy",68,29.08,237,815,1.6,"RoughTendency",2008
123,123,"Cliff Kresge",84,29.1,293,1007,2.01,"RoughTendency",2008
124,124,"Tim Herron",97,29.28,349,1192,1.03,"RoughTendency",2008
125,125,"KJ Choi",74,29.31,233,795,0.64,"RoughTendency",2008
125,125,"Lee Janzen",89,29.31,301,1027,1.73,"RoughTendency",2008
127,127,"Sean OHair",81,29.32,275,938,0.98,"RoughTendency",2008
128,128,"Charley Hoffman",94,29.33,349,1190,0.92,"RoughTendency",2008
129,129,"Chris DiMarco",87,29.4,309,1051,1.04,"RoughTendency",2008
130,130,"Steve Lowery",74,29.42,271,921,1.18,"RoughTendency",2008
131,131,"Steve Flesch",95,29.65,330,1113,0.7,"RoughTendency",2008
132,132,"Kevin Streelman",114,29.72,398,1339,1.03,"RoughTendency",2008
133,133,"Lucas Glover",91,29.85,343,1149,1.46,"RoughTendency",2008
134,134,"Carl Pettersson",110,29.93,399,1333,0.85,"RoughTendency",2008
135,135,"Johnson Wagner",83,29.99,281,937,1.53,"RoughTendency",2008
136,136,"Ken Duke",116,30.03,436,1452,0.99,"RoughTendency",2008
137,137,"Camilo Villegas",79,30.17,264,875,0.8,"RoughTendency",2008
138,138,"Geoff Ogilvy",65,30.25,203,671,1.28,"RoughTendency",2008
139,139,"Nick Watney",96,30.29,352,1162,0.97,"RoughTendency",2008
140,140,"Alejandro Canizares",52,30.34,172,567,1.28,"RoughTendency",2008
140,140,"Richard Johnson",60,30.34,206,679,1.36,"RoughTendency",2008
142,142,"Parker McLachlin",88,30.35,329,1084,0.36,"RoughTendency",2008
143,143,"Billy Andrade",71,30.38,257,846,1.4,"RoughTendency",2008
143,143,"Harrison Frazar",73,30.38,257,846,0.19,"RoughTendency",2008
145,145,"Nathan Green",95,30.48,381,1250,0.84,"RoughTendency",2008
146,146,"George McNeill",97,30.56,378,1237,1.3,"RoughTendency",2008
147,147,"Dean Wilson",109,30.67,391,1275,1.33,"RoughTendency",2008
148,148,"Mark Hensby",71,30.72,270,879,0.89,"RoughTendency",2008
149,149,"Bo Van Pelt",101,30.83,399,1294,0.95,"RoughTendency",2008
150,150,"Padraig Harrington",52,30.95,134,433,-0.37,"RoughTendency",2008
151,151,"Ernie Els",51,31.03,153,493,2.22,"RoughTendency",2008
151,151,"Davis Love III",78,31.03,278,896,0.5,"RoughTendency",2008
153,153,"Trevor Immelman",70,31.05,231,744,2.08,"RoughTendency",2008
154,154,"Ian Poulter",51,31.14,156,501,1.09,"RoughTendency",2008
155,155,"Bill Haas",99,31.15,386,1239,0.39,"RoughTendency",2008
156,156,"Steve Allan",58,31.19,204,654,0.49,"RoughTendency",2008
157,157,"Retief Goosen",59,31.21,181,580,1.88,"RoughTendency",2008
158,158,"Kenny Perry",97,31.23,396,1268,1.04,"RoughTendency",2008
159,159,"Carlos Franco",73,31.26,267,854,0.75,"RoughTendency",2008
159,159,"Anthony Kim",81,31.26,282,902,-0.14,"RoughTendency",2008
161,161,"Jon Mills",95,31.33,334,1066,1.83,"RoughTendency",2008
