"ParBreakers_RANKTHISWEEK_2013","ParBreakers_RANKLASTWEEK_2013","ParBreakers_PLAYERNAME_2013","ParBreakers_ROUNDS_2013","ParBreakers_Pct_2013","ParBreakers_BIRDIESEAGLES_2013","ParBreakers_HOLES_2013","stat_name","year"
162,162,"Darron Stiles",51,17.35,153,882,"ParBreakers",2013
164,164,"Colt Knost",69,17.26,202,1170,"ParBreakers",2013
165,165,"Sean OHair",56,17.16,173,1008,"ParBreakers",2013
166,166,"JJ Henry",83,17.15,250,1458,"ParBreakers",2013
167,167,"Robert Allenby",58,17.06,172,1008,"ParBreakers",2013
168,168,"Lee Williams",62,17.04,184,1080,"ParBreakers",2013
169,169,"Michael Bradley",56,16.99,159,936,"ParBreakers",2013
169,169,"Mark Wilson",56,16.99,159,936,"ParBreakers",2013
171,171,"Nicolas Colsaerts",50,16.9,143,846,"ParBreakers",2013
172,172,"Padraig Harrington",52,16.78,148,882,"ParBreakers",2013
173,173,"Ben Curtis",59,16.76,172,1026,"ParBreakers",2013
174,174,"Tom Gillis",69,16.75,196,1170,"ParBreakers",2013
174,174,"Michael Thompson",66,16.75,199,1188,"ParBreakers",2013
176,176,"Vijay Singh",61,16.58,182,1098,"ParBreakers",2013
177,177,"Johnson Wagner",64,16.11,174,1080,"ParBreakers",2013
178,178,"Casey Wittenberg",72,15.87,200,1260,"ParBreakers",2013
179,179,"Trevor Immelman",73,15.7,195,1242,"ParBreakers",2013
180,180,"Bobby Gates",49,15.68,127,810,"ParBreakers",2013
