"Par4BirdieorBetterLeaders_RANKTHISWEEK_2005","Par4BirdieorBetterLeaders_RANKLASTWEEK_2005","Par4BirdieorBetterLeaders_PLAYERNAME_2005","Par4BirdieorBetterLeaders_ROUNDS_2005","Par4BirdieorBetterLeaders_Pct_2005","Par4BirdieorBetterLeaders_PAR4BIRDIESORBETTER_2005","Par4BirdieorBetterLeaders_PAR4HOLES_2005","stat_name","year"
165,165,"Loren Roberts",54,14.29,82,574,"Par4BirdieorBetterLeaders",2005
166,166,"Mike Weir",71,14.25,102,716,"Par4BirdieorBetterLeaders",2005
167,167,"Larry Mize",54,14.21,77,542,"Par4BirdieorBetterLeaders",2005
168,168,"Charles Howell III",95,14.2,137,965,"Par4BirdieorBetterLeaders",2005
169,169,"Scott Hend",75,14.19,110,775,"Par4BirdieorBetterLeaders",2005
170,170,"Brendan Jones",81,14.1,118,837,"Par4BirdieorBetterLeaders",2005
171,171,"Brent Geiberger",61,14.06,89,633,"Par4BirdieorBetterLeaders",2005
172,172,"Kevin Sutherland",89,13.98,129,923,"Par4BirdieorBetterLeaders",2005
173,173,"Skip Kendall",80,13.87,113,815,"Par4BirdieorBetterLeaders",2005
174,174,"Paul Claxton",79,13.83,116,839,"Par4BirdieorBetterLeaders",2005
175,175,"Jay Williamson",53,13.82,76,550,"Par4BirdieorBetterLeaders",2005
176,176,"Robert Damron",89,13.78,128,929,"Par4BirdieorBetterLeaders",2005
177,177,"Jeff Hart",63,13.75,88,640,"Par4BirdieorBetterLeaders",2005
177,177,"Len Mattiace",86,13.75,122,887,"Par4BirdieorBetterLeaders",2005
179,179,"Michael Long",72,13.69,102,745,"Par4BirdieorBetterLeaders",2005
180,180,"Franklin Langham",91,13.65,126,923,"Par4BirdieorBetterLeaders",2005
181,181,"Rich Beem",66,13.64,91,667,"Par4BirdieorBetterLeaders",2005
182,182,"Chris Riley",67,13.48,93,690,"Par4BirdieorBetterLeaders",2005
183,183,"DJ Brigman",76,13.45,104,773,"Par4BirdieorBetterLeaders",2005
183,183,"Mark OMeara",66,13.45,92,684,"Par4BirdieorBetterLeaders",2005
185,185,"Matt Davidson",53,13.39,75,560,"Par4BirdieorBetterLeaders",2005
185,185,"Craig Perks",67,13.39,92,687,"Par4BirdieorBetterLeaders",2005
187,187,"Ian Poulter",62,13.29,82,617,"Par4BirdieorBetterLeaders",2005
188,188,"Dennis Paulson",63,13.28,87,655,"Par4BirdieorBetterLeaders",2005
189,189,"Thomas Levet",54,13.18,77,584,"Par4BirdieorBetterLeaders",2005
190,190,"Matt Kuchar",60,13.17,84,638,"Par4BirdieorBetterLeaders",2005
190,190,"Shaun Micheel",81,13.17,110,835,"Par4BirdieorBetterLeaders",2005
192,192,"Mark Brooks",72,13.15,99,753,"Par4BirdieorBetterLeaders",2005
192,192,"Fred Funk",102,13.15,145,1103,"Par4BirdieorBetterLeaders",2005
194,194,"Jason Allred",75,13.12,101,770,"Par4BirdieorBetterLeaders",2005
195,195,"Glen Hnatiuk",59,13.1,76,580,"Par4BirdieorBetterLeaders",2005
196,196,"Bill Glasson",54,12.89,71,551,"Par4BirdieorBetterLeaders",2005
197,197,"Danny Briggs",70,12.61,90,714,"Par4BirdieorBetterLeaders",2005
198,198,"Hideto Tanihara",50,12.6,64,508,"Par4BirdieorBetterLeaders",2005
199,199,"Rob Rashell",65,12.39,86,694,"Par4BirdieorBetterLeaders",2005
200,200,"Jim Carter",62,12.32,79,641,"Par4BirdieorBetterLeaders",2005
201,201,"James Driscoll",73,11.67,86,737,"Par4BirdieorBetterLeaders",2005
202,202,"Steve Jones",56,11.09,65,586,"Par4BirdieorBetterLeaders",2005
