"ApexHeight_RANKTHISWEEK_2013","ApexHeight_RANKLASTWEEK_2013","ApexHeight_PLAYERNAME_2013","ApexHeight_ROUNDS_2013","ApexHeight_AVG_2013","ApexHeight_TOTALAPEXHEIGHT_2013","ApexHeight_TOTALATTEMPTS_2013","ApexHeight_HIGHESTAPEXPOINT_2013","ApexHeight_LOWESTAPEXPOINT_2013","stat_name","year"
148,148,"Jason Kokrak",78,NA,NA,62,NA,NA,"ApexHeight",2013
148,148,"Charlie Wi",75,NA,NA,62,NA,NA,"ApexHeight",2013
150,150,"Fabian Gomez",65,NA,NA,53,NA,NA,"ApexHeight",2013
151,151,"Bryce Molder",82,NA,NA,69,NA,NA,"ApexHeight",2013
151,151,"Robert Streb",75,NA,NA,56,NA,NA,"ApexHeight",2013
153,153,"Tim Clark",64,NA,NA,42,NA,NA,"ApexHeight",2013
154,154,"Stuart Appleby",88,NA,NA,73,NA,NA,"ApexHeight",2013
154,154,"Lucas Glover",65,NA,NA,45,NA,NA,"ApexHeight",2013
156,156,"Jason Bohn",70,NA,NA,64,NA,NA,"ApexHeight",2013
157,157,"Will Claxton",67,NA,NA,54,NA,NA,"ApexHeight",2013
158,158,"Bob Estes",66,NA,NA,47,NA,NA,"ApexHeight",2013
159,159,"Justin Hicks",79,NA,NA,54,NA,NA,"ApexHeight",2013
160,160,"Boo Weekley",100,NA,NA,86,NA,NA,"ApexHeight",2013
161,161,"Jason Dufner",78,NA,NA,61,NA,NA,"ApexHeight",2013
162,162,"David Lynn",70,NA,NA,51,NA,NA,"ApexHeight",2013
163,163,"Stephen Ames",49,NA,NA,38,NA,NA,"ApexHeight",2013
164,164,"Mike Weir",60,NA,NA,43,NA,NA,"ApexHeight",2013
165,165,"Graeme McDowell",53,NA,NA,37,NA,NA,"ApexHeight",2013
166,166,"DA Points",87,NA,NA,64,NA,NA,"ApexHeight",2013
167,167,"Dicky Pride",71,NA,NA,62,NA,NA,"ApexHeight",2013
168,168,"Chad Campbell",78,NA,NA,67,NA,NA,"ApexHeight",2013
169,169,"Justin Leonard",86,NA,NA,74,NA,NA,"ApexHeight",2013
170,170,"Tom Gillis",69,NA,NA,56,NA,NA,"ApexHeight",2013
