"OnePuttPercentageRound1_RANKTHISWEEK_2014","OnePuttPercentageRound1_RANKLASTWEEK_2014","OnePuttPercentageRound1_PLAYERNAME_2014","OnePuttPercentageRound1_ROUNDS_2014","OnePuttPercentageRound1_Pct_2014","OnePuttPercentageRound1_OF1PUTTS_2014","OnePuttPercentageRound1_OFHOLES_2014","stat_name","year"
141,141,"Dustin Johnson",58,35.42,102,288,"OnePuttPercentageRound1",2014
141,141,"Hunter Mahan",88,35.42,153,432,"OnePuttPercentageRound1",2014
143,143,"David Toms",64,35.38,121,342,"OnePuttPercentageRound1",2014
144,144,"Angel Cabrera",69,35.27,146,414,"OnePuttPercentageRound1",2014
144,144,"Ben Curtis",77,35.27,146,414,"OnePuttPercentageRound1",2014
146,146,"Martin Flores",85,35.26,165,468,"OnePuttPercentageRound1",2014
146,146,"Billy Horschel",92,35.26,165,468,"OnePuttPercentageRound1",2014
148,148,"Will Ma Kenzie",82,35.19,171,486,"OnePuttPercentageRound1",2014
148,148,"Josh Teater",90,35.19,171,486,"OnePuttPercentageRound1",2014
150,150,"Kevin Stadler",90,35.11,158,450,"OnePuttPercentageRound1",2014
151,151,"Brooks Koepka",56,35.07,101,288,"OnePuttPercentageRound1",2014
152,152,"Ken Duke",80,34.95,151,432,"OnePuttPercentageRound1",2014
153,153,"Hudson Swafford",75,34.89,157,450,"OnePuttPercentageRound1",2014
154,154,"Will Wilcox",51,34.81,94,270,"OnePuttPercentageRound1",2014
155,155,"Paul Casey",56,34.72,100,288,"OnePuttPercentageRound1",2014
156,156,"Justin Hicks",103,34.67,181,522,"OnePuttPercentageRound1",2014
157,157,"Brad Fritsch",50,34.64,106,306,"OnePuttPercentageRound1",2014
158,158,"JJ Henry",91,34.62,162,468,"OnePuttPercentageRound1",2014
159,159,"Robert Allenby",83,34.52,174,504,"OnePuttPercentageRound1",2014
160,160,"Jeff Maggert",54,34.5,118,342,"OnePuttPercentageRound1",2014
161,161,"John Senden",99,34.36,167,486,"OnePuttPercentageRound1",2014
162,162,"Bud Cauley",56,34.21,117,342,"OnePuttPercentageRound1",2014
163,163,"Graham DeLaet",80,34.06,141,414,"OnePuttPercentageRound1",2014
164,164,"Mark Wilson",69,33.8,146,432,"OnePuttPercentageRound1",2014
165,165,"Lucas Glover",68,33.56,151,450,"OnePuttPercentageRound1",2014
166,166,"Nicholas Thompson",85,33.52,175,522,"OnePuttPercentageRound1",2014
167,167,"Chad Campbell",57,33.33,102,306,"OnePuttPercentageRound1",2014
167,167,"Jim Herman",62,33.33,120,360,"OnePuttPercentageRound1",2014
169,169,"Boo Weekley",73,32.83,130,396,"OnePuttPercentageRound1",2014
170,170,"Martin Laird",66,32.75,112,342,"OnePuttPercentageRound1",2014
171,171,"Trevor Immelman",84,32.72,159,486,"OnePuttPercentageRound1",2014
171,171,"John Rollins",84,32.72,159,486,"OnePuttPercentageRound1",2014
171,171,"Kyle Stanley",87,32.72,159,486,"OnePuttPercentageRound1",2014
174,174,"Bronson La Cassie",51,32.68,100,306,"OnePuttPercentageRound1",2014
175,175,"Jason Dufner",57,32.22,87,270,"OnePuttPercentageRound1",2014
176,176,"Scott Stallings",77,32.1,156,486,"OnePuttPercentageRound1",2014
177,177,"John Peterson",62,31.4,130,414,"OnePuttPercentageRound1",2014
