"Scrambling_RANKTHISWEEK_2014","Scrambling_RANKLASTWEEK_2014","Scrambling_PLAYERNAME_2014","Scrambling_ROUNDS_2014","Scrambling_Pct_2014","Scrambling_PARORBETTER_2014","Scrambling_MISSEDGIR_2014","stat_name","year"
139,139,"Andrew Loupe",65,55.56,225,405,"Scrambling",2014
140,140,"Davis Love III",74,55.43,255,460,"Scrambling",2014
141,141,"James Driscoll",71,55.4,277,500,"Scrambling",2014
142,142,"Stewart Cink",91,55.35,305,551,"Scrambling",2014
142,142,"Rory Sabbatini",82,55.35,269,486,"Scrambling",2014
144,144,"Billy Horschel",92,55.32,265,479,"Scrambling",2014
145,145,"James Hahn",82,55.11,286,519,"Scrambling",2014
146,146,"Woody Austin",63,54.81,228,416,"Scrambling",2014
146,146,"Justin Hicks",103,54.81,279,509,"Scrambling",2014
148,148,"Hunter Mahan",88,54.71,279,510,"Scrambling",2014
149,149,"Jim Herman",62,54.7,192,351,"Scrambling",2014
150,150,"Trevor Immelman",84,54.6,273,500,"Scrambling",2014
151,151,"David Lingmerth",80,54.58,274,502,"Scrambling",2014
152,152,"Ryo Ishikawa",75,54.55,258,473,"Scrambling",2014
153,153,"Chesson Hadley",84,54.2,303,559,"Scrambling",2014
154,154,"Scott Stallings",77,54.17,273,504,"Scrambling",2014
155,155,"Kevin Streelman",79,54.07,279,516,"Scrambling",2014
156,156,"DA Points",75,53.88,264,490,"Scrambling",2014
157,157,"Martin Laird",66,53.72,202,376,"Scrambling",2014
158,158,"Martin Kaymer",65,53.43,218,408,"Scrambling",2014
159,159,"Kevin Stadler",90,53.41,266,498,"Scrambling",2014
160,160,"Boo Weekley",73,53.14,220,414,"Scrambling",2014
161,161,"Angel Cabrera",69,53.1,231,435,"Scrambling",2014
162,162,"Charlie Beljan",76,52.99,239,451,"Scrambling",2014
162,162,"Kevin Tway",64,52.99,204,385,"Scrambling",2014
164,164,"Nicholas Thompson",85,52.88,257,486,"Scrambling",2014
165,165,"John Rollins",84,52.77,267,506,"Scrambling",2014
166,166,"Jason Dufner",57,52.74,173,328,"Scrambling",2014
167,167,"Kyle Stanley",87,52.73,261,495,"Scrambling",2014
168,168,"Troy Matteson",62,52.64,209,397,"Scrambling",2014
169,169,"Hudson Swafford",75,52.63,210,399,"Scrambling",2014
170,170,"Russell Henley",92,52.37,331,632,"Scrambling",2014
171,171,"Henrik Stenson",56,51.83,156,301,"Scrambling",2014
172,172,"Louis Oosthuizen",50,51.8,144,278,"Scrambling",2014
173,173,"Derek Ernst",80,51.3,256,499,"Scrambling",2014
174,174,"Tommy Gainey",73,50.56,226,447,"Scrambling",2014
175,175,"John Merrick",87,50.31,240,477,"Scrambling",2014
176,176,"Lucas Glover",68,49.74,195,392,"Scrambling",2014
177,177,"Jim Renner",61,47.98,190,396,"Scrambling",2014
