"LeftRoughProximity_RANKTHISWEEK_2005","LeftRoughProximity_RANKLASTWEEK_2005","LeftRoughProximity_PLAYERNAME_2005","LeftRoughProximity_ROUNDS_2005","LeftRoughProximity_AVG_2005","LeftRoughProximity_ATTEMPTS_2005","LeftRoughProximity_TOTALDISTANCEFEET_2005","LeftRoughProximity_RELATIVETOPAR_2005","stat_name","year"
73,73,"Mark Hensby",70,NA,92,3895.333,32,"LeftRoughProximity",2005
75,75,"Alex Cejka",84,NA,121,5129.25,25,"LeftRoughProximity",2005
75,75,"JP Hayes",63,NA,86,3644.917,6,"LeftRoughProximity",2005
75,75,"John Huston",90,NA,131,5553,12,"LeftRoughProximity",2005
78,78,"Tag Ridings",93,NA,166,7054.083,34,"LeftRoughProximity",2005
79,79,"Woody Austin",100,NA,148,6301.417,10,"LeftRoughProximity",2005
80,80,"Cameron Beckman",96,NA,159,6803.667,19,"LeftRoughProximity",2005
80,80,"Jay Haas",54,NA,49,2096.583,11,"LeftRoughProximity",2005
80,80,"Kevin Na",88,NA,139,5947.667,-5,"LeftRoughProximity",2005
80,80,"Omar Uresti",84,NA,83,3549.083,1,"LeftRoughProximity",2005
84,84,"John Senden",101,NA,140,5999.417,7,"LeftRoughProximity",2005
84,84,"Charles Warren",89,NA,113,4840.083,1,"LeftRoughProximity",2005
86,86,"Mark Brooks",72,NA,97,4166.833,26,"LeftRoughProximity",2005
86,86,"Andrew Magee",82,NA,136,5833.5,26,"LeftRoughProximity",2005
88,88,"Paul Gow",78,NA,102,4391.75,24,"LeftRoughProximity",2005
88,88,"Bob Tway",87,NA,109,4696.333,5,"LeftRoughProximity",2005
90,90,"Lucas Glover",88,NA,165,7124.417,13,"LeftRoughProximity",2005
91,91,"Jim Carter",62,NA,93,4023.5,19,"LeftRoughProximity",2005
91,91,"Mark OMeara",66,NA,83,3592.167,22,"LeftRoughProximity",2005
91,91,"Corey Pavin",77,NA,77,3331.083,17,"LeftRoughProximity",2005
91,91,"Tiger Woods",76,NA,96,4150.5,-1,"LeftRoughProximity",2005
95,95,"Billy Andrade",83,NA,105,4551.167,13,"LeftRoughProximity",2005
95,95,"DA Points",94,NA,132,5723.417,33,"LeftRoughProximity",2005
97,97,"Brent Geiberger",61,NA,91,3953.167,9,"LeftRoughProximity",2005
97,97,"Dudley Hart",84,NA,108,4688.667,19,"LeftRoughProximity",2005
99,99,"Stephen Leaney",89,NA,120,5218.833,18,"LeftRoughProximity",2005
99,99,"Scott McCarron",78,NA,104,4520.583,6,"LeftRoughProximity",2005
99,99,"Sean OHair",103,NA,166,7219.167,39,"LeftRoughProximity",2005
99,99,"Greg Owen",84,NA,108,4699.917,4,"LeftRoughProximity",2005
99,99,"Kenny Perry",82,NA,111,4824,4,"LeftRoughProximity",2005
104,104,"Bradley Hughes",52,NA,67,2922.333,14,"LeftRoughProximity",2005
104,104,"Frank Lickliter II",100,NA,128,5583.333,27,"LeftRoughProximity",2005
104,104,"Brett Wetterich",76,NA,144,6276.5,12,"LeftRoughProximity",2005
107,107,"Brian Bateman",98,NA,165,7205.083,22,"LeftRoughProximity",2005
107,107,"Matt Kuchar",60,NA,72,3142.083,14,"LeftRoughProximity",2005
107,107,"Joey Sindelar",104,NA,122,5326.75,24,"LeftRoughProximity",2005
110,110,"Bart Bryant",91,NA,77,3367.833,15,"LeftRoughProximity",2005
110,110,"Tim Herron",100,NA,140,6121.583,9,"LeftRoughProximity",2005
112,112,"Jason Allred",75,NA,163,7138.75,16,"LeftRoughProximity",2005
112,112,"Len Mattiace",86,NA,125,5482.5,14,"LeftRoughProximity",2005
112,112,"David Toms",87,NA,93,4078.25,2,"LeftRoughProximity",2005
115,115,"Olin Browne",99,NA,121,5327,12,"LeftRoughProximity",2005
116,116,"Harrison Frazar",105,NA,150,6611.583,14,"LeftRoughProximity",2005
116,116,"Scott Gutschewski",86,NA,130,5735.25,-8,"LeftRoughProximity",2005
118,118,"Brad Faxon",75,NA,88,3889.333,7,"LeftRoughProximity",2005
119,119,"Matt Gogel",78,NA,96,4256.75,10,"LeftRoughProximity",2005
119,119,"Craig Perks",67,NA,142,6296.25,44,"LeftRoughProximity",2005
121,121,"Craig Barlow",81,NA,89,3953.417,10,"LeftRoughProximity",2005
122,122,"Steve Elkington",67,NA,78,3469.75,9,"LeftRoughProximity",2005
122,122,"Hank Kuehne",84,NA,157,6981.583,24,"LeftRoughProximity",2005
124,124,"Todd Fischer",99,NA,127,5660.75,17,"LeftRoughProximity",2005
124,124,"Hunter Mahan",103,NA,166,7405.833,19,"LeftRoughProximity",2005
126,126,"Tom Lehman",69,NA,69,3082,19,"LeftRoughProximity",2005
126,126,"Michael Long",72,NA,104,4648,25,"LeftRoughProximity",2005
128,128,"Retief Goosen",71,NA,88,3936.833,-2,"LeftRoughProximity",2005
128,128,"Phil Mickelson",81,NA,114,5099.083,-4,"LeftRoughProximity",2005
128,128,"Tim Petrovic",97,NA,133,5948.25,44,"LeftRoughProximity",2005
131,131,"Carlos Franco",78,NA,128,5733.75,13,"LeftRoughProximity",2005
131,131,"Joe Ogilvie",103,NA,125,5604.167,24,"LeftRoughProximity",2005
133,133,"Justin Leonard",78,NA,90,4039.917,4,"LeftRoughProximity",2005
134,134,"Ben Curtis",65,NA,70,3150.667,19,"LeftRoughProximity",2005
135,135,"James Driscoll",73,NA,126,5681,5,"LeftRoughProximity",2005
136,136,"Pat Perez",89,NA,136,6151,30,"LeftRoughProximity",2005
