"BirdieorBetterPercentage200yards_RANKTHISWEEK_2008","BirdieorBetterPercentage200yards_RANKLASTWEEK_2008","BirdieorBetterPercentage200yards_PLAYERNAME_2008","BirdieorBetterPercentage200yards_ROUNDS_2008","BirdieorBetterPercentage200yards_Pct_2008","BirdieorBetterPercentage200yards_TOTALBIRDIES_2008","BirdieorBetterPercentage200yards_TOTALHOLES_2008","stat_name","year"
164,164,"Shigeki Maruyama",50,22.22,40,180,"BirdieorBetterPercentage200yards",2008
168,168,"Ron Whittaker",54,22.06,30,136,"BirdieorBetterPercentage200yards",2008
169,169,"Justin Leonard",101,21.91,55,251,"BirdieorBetterPercentage200yards",2008
170,170,"Chad Collins",72,21.67,52,240,"BirdieorBetterPercentage200yards",2008
171,171,"Steve Lowery",74,21.51,57,265,"BirdieorBetterPercentage200yards",2008
172,172,"Glen Day",64,21.47,41,191,"BirdieorBetterPercentage200yards",2008
173,173,"Dean Wilson",109,21.29,76,357,"BirdieorBetterPercentage200yards",2008
174,174,"Jeff Quinney",87,21.07,59,280,"BirdieorBetterPercentage200yards",2008
175,175,"Scott Verplank",82,20.82,56,269,"BirdieorBetterPercentage200yards",2008
176,176,"Alex Cejka",75,20.73,51,246,"BirdieorBetterPercentage200yards",2008
178,178,"Jay Williamson",96,20.6,55,267,"BirdieorBetterPercentage200yards",2008
179,179,"Billy Andrade",71,20.57,43,209,"BirdieorBetterPercentage200yards",2008
180,180,"Chez Reavie",102,20.52,71,346,"BirdieorBetterPercentage200yards",2008
181,181,"Craig Kanada",65,20.41,40,196,"BirdieorBetterPercentage200yards",2008
182,182,"Tim Clark",90,20.4,61,299,"BirdieorBetterPercentage200yards",2008
182,182,"Omar Uresti",74,20.4,51,250,"BirdieorBetterPercentage200yards",2008
184,184,"Nick OHern",82,20.23,52,257,"BirdieorBetterPercentage200yards",2008
185,185,"Heath Slocum",104,20.21,58,287,"BirdieorBetterPercentage200yards",2008
186,186,"Bob Estes",90,19.94,64,321,"BirdieorBetterPercentage200yards",2008
187,187,"Brian Gay",102,19.71,67,340,"BirdieorBetterPercentage200yards",2008
188,188,"Ian Poulter",51,19.7,26,132,"BirdieorBetterPercentage200yards",2008
189,189,"Jin Park",85,19.61,50,255,"BirdieorBetterPercentage200yards",2008
190,190,"Scott Sterling",89,19.52,49,251,"BirdieorBetterPercentage200yards",2008
191,191,"Matt Kuchar",88,19.25,51,265,"BirdieorBetterPercentage200yards",2008
192,192,"Corey Pavin",69,18.78,43,229,"BirdieorBetterPercentage200yards",2008
193,193,"Paul Goydos",78,18.53,53,286,"BirdieorBetterPercentage200yards",2008
194,194,"Paul Claxton",63,17.14,30,175,"BirdieorBetterPercentage200yards",2008
195,195,"Stephen Leaney",53,16.99,26,153,"BirdieorBetterPercentage200yards",2008
196,196,"Bart Bryant",81,16.67,41,246,"BirdieorBetterPercentage200yards",2008
197,197,"Olin Browne",77,15.95,37,232,"BirdieorBetterPercentage200yards",2008
