"TenthTeeLateRound4ScoringAverage_RANKTHISWEEK_2005","TenthTeeLateRound4ScoringAverage_RANKLASTWEEK_2005","TenthTeeLateRound4ScoringAverage_PLAYERNAME_2005","TenthTeeLateRound4ScoringAverage__2005","TenthTeeLateRound4ScoringAverage_AVG_2005","TenthTeeLateRound4ScoringAverage_TOTALSTROKES_2005","TenthTeeLateRound4ScoringAverage_TOTALROUNDS_2005","stat_name","year"
35,35,"Brian Bateman",NA,70,210,3,"TenthTeeLateRound4ScoringAverage",2005
35,35,"Olin Browne",NA,70,210,3,"TenthTeeLateRound4ScoringAverage",2005
35,35,"Jonathan Byrd",NA,70,70,1,"TenthTeeLateRound4ScoringAverage",2005
35,35,"Chad Campbell",NA,70,70,1,"TenthTeeLateRound4ScoringAverage",2005
35,35,"John Elliott",NA,70,70,1,"TenthTeeLateRound4ScoringAverage",2005
35,35,"Bob Heintz",NA,70,140,2,"TenthTeeLateRound4ScoringAverage",2005
35,35,"Kent Jones",NA,70,210,3,"TenthTeeLateRound4ScoringAverage",2005
35,35,"Shigeki Maruyama",NA,70,70,1,"TenthTeeLateRound4ScoringAverage",2005
35,35,"Craig Perks",NA,70,140,2,"TenthTeeLateRound4ScoringAverage",2005
35,35,"Jeff Sluman",NA,70,140,2,"TenthTeeLateRound4ScoringAverage",2005
35,35,"Bob Tway",NA,70,70,1,"TenthTeeLateRound4ScoringAverage",2005
47,47,"Aaron Baddeley",NA,70.5,141,2,"TenthTeeLateRound4ScoringAverage",2005
47,47,"Bart Bryant",NA,70.5,141,2,"TenthTeeLateRound4ScoringAverage",2005
47,47,"John Senden",NA,70.5,141,2,"TenthTeeLateRound4ScoringAverage",2005
47,47,"Vaughn Taylor",NA,70.5,141,2,"TenthTeeLateRound4ScoringAverage",2005
51,51,"Steve Allan",NA,71,142,2,"TenthTeeLateRound4ScoringAverage",2005
51,51,"Robert Allenby",NA,71,71,1,"TenthTeeLateRound4ScoringAverage",2005
51,51,"Chris Anderson",NA,71,142,2,"TenthTeeLateRound4ScoringAverage",2005
51,51,"Stuart Appleby",NA,71,71,1,"TenthTeeLateRound4ScoringAverage",2005
51,51,"DJ Brigman",NA,71,71,1,"TenthTeeLateRound4ScoringAverage",2005
51,51,"Tom Gillis",NA,71,71,1,"TenthTeeLateRound4ScoringAverage",2005
51,51,"Todd Hamilton",NA,71,71,1,"TenthTeeLateRound4ScoringAverage",2005
51,51,"Padraig Harrington",NA,71,142,2,"TenthTeeLateRound4ScoringAverage",2005
51,51,"Charles Howell III",NA,71,71,1,"TenthTeeLateRound4ScoringAverage",2005
51,51,"Scott McCarron",NA,71,142,2,"TenthTeeLateRound4ScoringAverage",2005
51,51,"Dennis Paulson",NA,71,71,1,"TenthTeeLateRound4ScoringAverage",2005
51,51,"Brett Quigley",NA,71,71,1,"TenthTeeLateRound4ScoringAverage",2005
