"LongestPutts_RANKTHISWEEK_2011","LongestPutts_RANKLASTWEEK_2011","LongestPutts_PLAYERNAME_2011","LongestPutts_ROUNDS_2011","LongestPutts_DISTANCE_2011","LongestPutts_YEARTOURN_2011","LongestPutts_ROUND_2011","LongestPutts_HOLE_2011","stat_name","year"
136,139,"Pat Perez",76,NA,NA,4,7,"LongestPutts",2011
140,143,"Rocco Mediate",53,NA,NA,2,12,"LongestPutts",2011
140,140,"Erik Compton",21,NA,NA,2,17,"LongestPutts",2011
145,146,"Webb Simpson",98,NA,NA,3,17,"LongestPutts",2011
147,148,"Peter Hanson",35,NA,NA,2,6,"LongestPutts",2011
147,147,"JJ Henry",96,NA,NA,4,16,"LongestPutts",2011
149,149,"John Mallinger",42,NA,NA,3,1,"LongestPutts",2011
152,152,"Kenny Perry",36,NA,NA,1,1,"LongestPutts",2011
153,153,"Kevin Na",84,NA,NA,1,13,"LongestPutts",2011
154,154,"Craig Bowden",9,NA,NA,1,7,"LongestPutts",2011
155,155,"Garrett Willis",71,NA,NA,2,6,"LongestPutts",2011
159,159,"Bo Van Pelt",92,NA,NA,3,8,"LongestPutts",2011
160,160,"Graeme McDowell",50,NA,NA,3,6,"LongestPutts",2011
165,165,"Bill Lunde",92,NA,NA,1,17,"LongestPutts",2011
170,170,"Hiroyuki Fujita",17,NA,NA,4,18,"LongestPutts",2011
170,171,"Joe Ogilvie",75,NA,NA,3,12,"LongestPutts",2011
180,180,"Bobby Gates",82,NA,NA,1,2,"LongestPutts",2011
185,185,"Adam Scott",60,NA,NA,4,4,"LongestPutts",2011
187,187,"Will Claxton",4,NA,NA,1,13,"LongestPutts",2011
189,190,"Michael Connell",76,NA,NA,1,15,"LongestPutts",2011
189,191,"Derek Lamely",65,NA,NA,2,12,"LongestPutts",2011
192,193,"Scott McCarron",65,NA,NA,2,8,"LongestPutts",2011
192,195,"Nick OHern",89,NA,NA,2,2,"LongestPutts",2011
192,192,"Dustin Johnson",72,NA,NA,2,1,"LongestPutts",2011
197,197,"Stuart Appleby",65,NA,NA,2,11,"LongestPutts",2011
199,199,"Sam Saunders",22,NA,NA,1,8,"LongestPutts",2011
199,200,"Joseph Bramlett",73,NA,NA,1,14,"LongestPutts",2011
