"BirdieAverage_RANKTHISWEEK_2013","BirdieAverage_RANKLASTWEEK_2013","BirdieAverage_PLAYERNAME_2013","BirdieAverage_ROUNDS_2013","BirdieAverage_AVG_2013","BirdieAverage_OFBIRDIES_2013","BirdieAverage_TOTALROUNDS_2013","stat_name","year"
59,59,"Rickie Fowler",75,3.58,265,74,"BirdieAverage",2013
59,59,"Chris Stroud",88,3.58,315,88,"BirdieAverage",2013
59,59,"Nicholas Thompson",99,3.58,354,99,"BirdieAverage",2013
63,63,"Zach Johnson",84,3.57,296,83,"BirdieAverage",2013
63,63,"Josh Teater",86,3.57,293,82,"BirdieAverage",2013
65,65,"Luke Guthrie",82,3.56,292,82,"BirdieAverage",2013
65,65,"Justin Leonard",86,3.56,306,86,"BirdieAverage",2013
65,65,"DA Points",87,3.56,310,87,"BirdieAverage",2013
65,65,"Nick Watney",88,3.56,306,86,"BirdieAverage",2013
69,69,"Greg Chalmers",77,3.55,259,73,"BirdieAverage",2013
70,70,"Fabian Gomez",65,3.54,230,65,"BirdieAverage",2013
71,71,"Stewart Cink",71,3.51,249,71,"BirdieAverage",2013
71,71,"Martin Flores",83,3.51,291,83,"BirdieAverage",2013
71,71,"Jim Furyk",80,3.51,274,78,"BirdieAverage",2013
74,74,"Aaron Baddeley",68,3.5,231,66,"BirdieAverage",2013
74,74,"Kevin Chappell",80,3.5,280,80,"BirdieAverage",2013
74,74,"Boo Weekley",100,3.5,350,100,"BirdieAverage",2013
77,77,"Angel Cabrera",73,3.48,254,73,"BirdieAverage",2013
77,77,"Scott Stallings",79,3.48,275,79,"BirdieAverage",2013
